1539764838761,34.7,-2.60,-2.77
1539764838805,34.83,37.43,-2.60,-2.78
1539764838805,34.81,37.37,-2.56,-2.78
1539764838805,34.71,37.41,-2.70,-2.78
1539764838944,6
1539764838948,34.69,37.45,-2.76,-2.77
1539764838953,34.77,37.37,-2.60,-2.77
1539764838957,34.83,37.43,-2.60,-2.78
1539764838961,34.81,37.37,-2.56,-2.78
1539764838965,34.71,37.41,-2.70,-2.78
1539764838969,34.69,37.37,-2.68,-2.78
1539764839145,34.67,37.37,-2.70,-2.78
1539764839150,34.67,37.37,-2.70,-2.78
1539764839341,34.63,37.33,-2.70,-2.78
1539764839547,34.63,37.29,-2.66,-2.78
1539764839747,34.61,37.27,-2.66,-2.78
1539764839944,34.59,37.29,-2.70,-2.78
1539764840149,34.59,37.29,-2.70,-2.78
1539764840345,34.69,37.29,-2.60,-2.77
1539764840546,34.75,37.27,-2.52,-2.77
1539764840743,34.75,37.25,-2.50,-2.77
1539764840948,34.81,37.33,-2.52,-2.76
1539764841145,34.85,37.41,-2.56,-2.76
1539764841345,34.83,37.27,-2.44,-2.75
1539764841542,34.83,37.25,-2.42,-2.75
1539764841747,34.81,37.21,-2.40,-2.74
1539764841947,34.81,37.27,-2.46,-2.74
1539764842144,34.69,37.25,-2.56,-2.73
1539764842344,34.69,37.25,-2.56,-2.72
1539764842545,34.59,37.25,-2.66,-2.71
1539764842746,34.53,37.21,-2.68,-2.71
1539764842942,34.59,37.19,-2.60,-2.70
1539764843147,34.59,37.19,-2.60,-2.70
1539764843344,34.59,37.19,-2.60,-2.69
1539764843545,34.61,37.19,-2.58,-2.69
1539764843741,34.55,37.21,-2.66,-2.68
1539764843942,34.47,37.25,-2.78,-2.68
1539764844143,34.55,37.17,-2.62,-2.67
1539764844343,34.59,37.21,-2.62,-2.67
1539764844539,34.67,37.19,-2.52,-2.67
1539764844741,34.63,37.21,-2.58,-2.66
1539764844945,34.61,37.25,-2.64,-2.66
1539764845142,34.67,37.17,-2.50,-2.66
1539764845342,34.75,37.19,-2.44,-2.65
1539764845539,34.77,37.21,-2.44,-2.65
1539764845743,34.81,37.19,-2.38,-2.64
1539764845940,34.77,37.19,-2.42,-2.64
1539764846141,34.71,37.19,-2.48,-2.64
1539764846338,34.77,37.17,-2.40,-2.63
1539764846543,34.69,37.19,-2.50,-2.63
1539764846739,34.71,37.19,-2.48,-2.62
1539764846940,34.71,37.13,-2.42,-2.62
1539764847137,34.61,37.13,-2.52,-2.61
1539764847341,34.59,37.09,-2.50,-2.61
1539764847538,34.59,37.11,-2.52,-2.60
1539764847739,34.55,37.11,-2.56,-2.60
1539764847943,34.63,37.09,-2.46,-2.59
1539764848140,34.61,37.17,-2.56,-2.59
1539764848341,34.71,37.13,-2.42,-2.58
1539764848537,34.77,37.17,-2.40,-2.58
1539764848742,34.71,37.13,-2.42,-2.57
1539764848939,34.71,37.11,-2.40,-2.57
1539764849140,34.77,37.11,-2.34,-2.57
1539764849336,34.71,37.09,-2.38,-2.56
1539764849541,34.71,37.09,-2.38,-2.56
1539764849738,34.69,37.03,-2.34,-2.55
1539764849938,34.69,37.11,-2.42,-2.55
1539764850135,34.75,37.09,-2.34,-2.54
1539764850340,34.67,37.09,-2.42,-2.54
1539764850535,34.63,37.09,-2.46,-2.53
1539764850737,34.61,36.97,-2.36,-2.53
1539764850941,34.67,37.03,-2.36,-2.52
1539764851138,34.75,37.09,-2.34,-2.52
1539764851338,34.81,37.11,-2.30,-2.51
1539764851536,34.77,37.05,-2.28,-2.51
1539764851740,34.81,37.09,-2.28,-2.50
1539764851936,34.85,37.09,-2.24,-2.50
1539764852138,34.85,37.09,-2.24,-2.49
1539764852334,34.77,37.09,-2.32,-2.48
1539764852539,34.75,37.09,-2.34,-2.48
1539764852736,34.67,37.05,-2.38,-2.47
1539764852937,34.67,37.03,-2.36,-2.47
1539764853132,34.63,37.03,-2.40,-2.46
1539764853338,34.67,37.03,-2.36,-2.45
1539764853534,34.71,37.03,-2.32,-2.45
1539764853735,34.71,37.01,-2.30,-2.44
1539764853940,34.63,37.05,-2.42,-2.44
1539764854137,34.67,36.97,-2.30,-2.44
1539764854337,34.69,37.01,-2.32,-2.43
1539764854534,34.77,37.05,-2.28,-2.43
1539764854738,34.71,37.05,-2.34,-2.42
1539764854935,34.77,37.09,-2.32,-2.42
1539764855135,34.85,36.95,-2.10,-2.41
1539764855332,34.81,36.95,-2.14,-2.41
1539764855537,34.85,36.97,-2.12,-2.40
1539764855734,34.85,36.97,-2.12,-2.40
1539764855934,34.91,36.93,-2.02,-2.39
1539764856131,34.85,36.95,-2.10,-2.38
1539764856336,34.75,36.89,-2.14,-2.38
1539764856532,34.63,36.93,-2.30,-2.37
1539764856733,34.55,36.87,-2.32,-2.36
1539764856930,34.55,37.01,-2.46,-2.36
1539764857135,34.59,37.03,-2.44,-2.35
1539764857335,34.55,37.09,-2.54,-2.35
1539764857532,34.43,37.03,-2.60,-2.34
1539764857737,34.43,37.03,-2.60,-2.34
1539764857933,34.43,37.01,-2.58,-2.34
1539764858134,34.43,37.11,-2.68,-2.34
1539764858330,34.55,37.11,-2.56,-2.34
1539764858531,34.53,37.09,-2.56,-2.35
1539764858732,34.59,37.11,-2.52,-2.35
1539764858932,34.67,37.13,-2.46,-2.35
1539764859129,34.69,37.11,-2.42,-2.36
1539764859330,34.63,37.03,-2.40,-2.36
1539764859530,34.55,37.05,-2.50,-2.37
1539764859731,34.43,37.03,-2.60,-2.37
1539764859931,34.39,37.03,-2.64,-2.37
1539764860128,34.37,37.03,-2.66,-2.38
1539764860334,34.39,37.01,-2.62,-2.38
1539764860529,34.47,37.03,-2.56,-2.39
1539764860730,34.59,37.01,-2.42,-2.40
1539764860927,34.67,36.97,-2.30,-2.40
1539764861131,34.61,37.01,-2.40,-2.41
1539764861329,34.59,37.03,-2.44,-2.41
1539764861529,34.55,37.03,-2.48,-2.41
1539764861726,34.55,37.03,-2.48,-2.42
1539764861930,34.53,37.01,-2.48,-2.42
1539764862127,34.59,37.03,-2.44,-2.42
1539764862328,34.63,37.09,-2.46,-2.42
1539764862533,34.69,37.09,-2.40,-2.43
1539764862729,34.67,37.05,-2.38,-2.43
1539764862930,34.71,37.09,-2.38,-2.43
1539764863126,34.75,37.05,-2.30,-2.43
1539764863332,34.77,37.05,-2.28,-2.43
1539764863528,34.71,37.11,-2.40,-2.43
1539764863729,34.69,37.01,-2.32,-2.43
1539764863925,34.67,37.01,-2.34,-2.43
1539764864130,34.61,37.05,-2.44,-2.43
1539764864327,34.59,37.05,-2.46,-2.42
1539764864528,34.51,36.97,-2.46,-2.43
1539764864728,34.51,37.03,-2.52,-2.42
1539764864925,34.59,37.03,-2.44,-2.42
1539764865129,34.53,37.05,-2.52,-2.42
1539764865326,34.43,37.05,-2.62,-2.42
1539764865527,34.37,37.11,-2.74,-2.43
1539764865724,34.43,37.11,-2.68,-2.43
1539764865928,34.51,37.13,-2.62,-2.43
1539764866125,34.63,37.25,-2.62,-2.44
1539764866326,34.63,37.25,-2.62,-2.44
1539764866521,34.67,37.21,-2.54,-2.44
1539764866726,34.63,37.25,-2.62,-2.45
1539764866923,34.53,37.21,-2.68,-2.45
1539764867124,34.51,37.21,-2.70,-2.46
1539764867329,34.61,37.17,-2.56,-2.46
1539764867526,34.71,37.17,-2.46,-2.47
1539764867726,34.75,37.13,-2.38,-2.47
1539764867923,34.81,37.25,-2.44,-2.47
1539764868128,34.75,37.21,-2.46,-2.47
1539764868331,34.81,37.17,-2.36,-2.48
1539764868525,34.67,37.17,-2.50,-2.48
1539764868721,34.59,37.13,-2.54,-2.48
1539764868926,34.43,37.17,-2.74,-2.48
1539764869123,34.37,37.13,-2.76,-2.48
1539764869323,34.37,37.13,-2.76,-2.48
1539764869524,34.31,37.05,-2.74,-2.49
1539764869721,34.39,37.13,-2.74,-2.49
1539764869926,34.39,37.13,-2.74,-2.50
1539764870122,34.37,37.17,-2.80,-2.50
1539764870323,34.53,37.11,-2.58,-2.51
1539764870520,34.51,37.13,-2.62,-2.52
1539764870724,34.59,37.13,-2.54,-2.52
1539764870921,34.61,37.13,-2.52,-2.52
1539764871122,34.55,37.17,-2.62,-2.53
1539764871319,34.45,37.13,-2.68,-2.53
1539764871523,34.51,37.13,-2.62,-2.54
1539764871724,34.43,37.17,-2.74,-2.54
1539764871920,34.39,37.21,-2.82,-2.55
1539764872125,34.55,37.25,-2.70,-2.55
1539764872322,34.55,37.21,-2.66,-2.56
1539764872522,34.61,37.17,-2.56,-2.56
1539764872719,34.59,37.21,-2.62,-2.56
1539764872924,34.61,37.19,-2.58,-2.57
1539764873121,34.63,37.21,-2.58,-2.57
1539764873321,34.53,37.25,-2.72,-2.57
1539764873518,34.55,37.27,-2.72,-2.58
1539764873722,34.47,37.21,-2.74,-2.58
1539764873919,34.51,37.21,-2.70,-2.59
1539764874120,34.37,37.17,-2.80,-2.59
