1539763082394,3485,0.00,-0.21
1539763082430,34.81,34.91,-0.10,-0.21
1539763082434,34.71,34.93,-0.22,-0.20
1539763082453,34.77,34.8934.97,-0.06,-0.22
1539763082459,34.93,34.89,0.04,-0.22
1539763082468,34.85,34.85,0.00,-0.21
1539763082474,34.81,34.91,-0.10,-0.21
1539763082474,34.71,34.93,-0.22,-0.20
1539763082475,34.77,34.89r??bj?r??j
1539763082477,34.83,34.85,-0.02,-0.20
1539763082650,34.83,34.81,0.02,-0.19
1539763082846,34.75,34.85,-0.10,-0.19
1539763083047,34.71,34.83,-0.12,-0.18
1539763083243,34.69,34.83,-0.14,-0.18
1539763083448,34.77,34.83,-0.06,-0.18
1539763083645,34.71,34.89,-0.18,-0.17
1539763083846,34.71,34.85,-0.14,-0.17
1539763084042,34.71,34.89,-0.18,-0.17
1539763084247,34.59,34.85,-0.26,-0.17
1539763084448,34.59,34.85,-0.26,-0.16
1539763084644,34.51,34.85,-0.34,-0.16
1539763084849,34.33,34.89,-0.56,-0.16
1539763085046,34.43,34.89,-0.46,-0.16
1539763085247,34.51,34.85,-0.34,-0.17
1539763085443,34.53,34.89,-0.36,-0.17
1539763085648,34.69,34.85,-0.16,-0.17
1539763085845,34.67,34.89,-0.22,-0.18
1539763086045,34.75,34.89,-0.14,-0.18
1539763086250,34.69,34.91,-0.22,-0.18
1539763086447,34.61,34.85,-0.24,-0.18
1539763086647,34.63,34.81,-0.18,-0.18
1539763086844,34.83,34.83,0.00,-0.19
1539763087045,34.77,34.83,-0.06,-0.19
1539763087241,34.85,34.83,0.02,-0.19
1539763087446,34.93,34.89,0.04,-0.19
1539763087647,35.05,34.91,0.14,-0.19
1539763087843,34.97,34.91,0.06,-0.18
1539763088048,34.89,34.83,0.06,-0.18
1539763088245,34.91,34.93,-0.02,-0.18
1539763088445,34.89,34.83,0.06,-0.17
1539763088642,34.69,34.89,-0.20,-0.17
1539763088847,34.67,34.91,-0.24,-0.16
1539763089043,34.63,34.93,-0.30,-0.16
1539763089243,34.63,34.93,-0.30,-0.16
1539763089440,34.67,34.85,-0.18,-0.16
