1540168160111,35..43,0.56,0.54
1540168160132,34.93,34.43,0.50,0.53
1540168160132,3,0.44,0.56
1540168160281,34.97,34.53,0.44,0.56
1540168160286,35.01,34.53,0.48,0.55
1540168160290,34.99,34.51,0.48,0.54
1540168160294,34.99,34.43,0.56,0.54
1540168160298,34.93,34.43,0.50,0.53
1540168160302,34.99,34.39,0.60,0.52
1540168160306,34.99,34.43,0.56,0.52
1540168160480,34.99,34.51,0.48,0.52
1540168160679,35.01,34.51,0.50,0.51
1540168160880,34.99,34.51,0.48,0.51
1540168161080,34.97,34.45,0.52,0.51
1540168161277,34.97,34.47,0.50,0.51
1540168161478,34.93,34.45,0.48,0.50
1540168161679,34.97,34.43,0.54,0.50
1540168161879,34.91,34.43,0.48,0.50
1540168162076,35.01,34.43,0.58,0.50
1540168162277,35.01,34.43,0.58,0.50
1540168162482,34.99,34.39,0.60,0.49
1540168162678,34.99,34.37,0.62,0.50
1540168162879,35.05,34.33,0.72,0.50
1540168163076,35.05,34.33,0.72,0.50
1540168163280,35.01,34.39,0.62,0.50
1540168163477,35.01,34.43,0.58,0.50
1540168163678,35.05,34.47,0.58,0.50
1540168163874,35.01,34.47,0.54,0.51
1540168164079,34.99,34.47,0.52,0.51
1540168164276,34.99,34.43,0.56,0.51
1540168164476,35.01,34.47,0.54,0.51
1540168164673,34.99,34.53,0.46,0.51
1540168164878,35.01,34.51,0.50,0.52
1540168165074,35.05,34.53,0.52,0.52
1540168165275,34.99,34.55,0.44,0.52
1540168165472,34.99,34.51,0.48,0.52
1540168165676,35.01,34.51,0.50,0.52
1540168165877,35.07,34.51,0.56,0.52
1540168166073,35.07,34.51,0.56,0.52
1540168166278,35.07,34.51,0.56,0.52
1540168166475,35.05,34.53,0.52,0.52
1540168166676,35.05,34.45,0.60,0.52
1540168166873,35.05,34.51,0.54,0.52
1540168167077,35.07,34.45,0.62,0.52
1540168167273,35.09,34.39,0.70,0.53
1540168167475,35.05,34.39,0.66,0.53
1540168167671,35.07,34.37,0.70,0.53
1540168167876,35.01,34.33,0.68,0.53
1540168168073,34.99,34.37,0.62,0.53
1540168168273,35.09,34.33,0.76,0.54
1540168168478,34.99,34.33,0.66,0.54
1540168168675,35.01,34.37,0.64,0.54
1540168168875,35.05,34.37,0.68,0.55
1540168169072,34.99,34.39,0.60,0.55
1540168169276,35.05,34.47,0.58,0.56
1540168169473,35.05,34.53,0.52,0.56
1540168169674,34.99,34.51,0.48,0.56
1540168169825,0,0,0,0
1540168169871,35.07,34.45,0.62,0.56
1540168170071,35.01,34.43,0.58,0.56
1540168170272,35.01,34.43,0.58,0.57
1540168170473,35.01,34.37,0.64,0.57
1540168170669,34.99,34.33,0.66,0.57
1540168170870,35.01,34.33,0.68,0.57
1540168171075,34.99,34.31,0.68,0.57
1540168171272,34.99,34.25,0.74,0.58
1540168171472,35.01,34.23,0.78,0.58
1540168171668,35.05,34.23,0.82,0.58
1540168171874,34.99,34.25,0.74,0.59
1540168172070,35.01,34.23,0.78,0.59
1540168172271,34.97,34.17,0.80,0.59
1540168172467,35.07,34.17,0.90,0.60
1540168172672,35.01,34.17,0.84,0.60
1540168172869,35.01,34.25,0.76,0.61
1540168173070,35.05,34.29,0.76,0.61
1540168173266,34.97,34.29,0.68,0.62
1540168173470,34.97,34.25,0.72,0.62
1540168173671,34.97,34.23,0.74,0.63
1540168173868,34.93,34.21,0.72,0.64
1540168174072,35.01,34.17,0.84,0.64
1540168174270,35.01,34.21,0.80,0.65
1540168174470,35.05,34.23,0.82,0.65
1540168174667,35.01,34.23,0.78,0.66
1540168174872,34.99,34.23,0.76,0.66
1540168175068,35.09,34.23,0.86,0.66
1540168175269,35.05,34.25,0.80,0.67
1540168175465,35.05,34.17,0.88,0.67
1540168175666,34.99,34.21,0.78,0.68
1540168175867,35.05,34.15,0.90,0.68
1540168176068,35.07,34.15,0.92,0.69
1540168176268,35.05,34.17,0.88,0.69
1540168176465,35.07,34.15,0.92,0.70
1540168176670,35.05,34.13,0.92,0.71
1540168176866,35.01,34.09,0.92,0.71
1540168177067,35.01,34.15,0.86,0.72
1540168177264,35.05,34.15,0.90,0.72
1540168177469,35.05,34.13,0.92,0.73
1540168177665,34.99,34.23,0.76,0.74
1540168177866,34.99,34.17,0.82,0.74
1540168178062,35.01,34.15,0.86,0.75
1540168178267,34.99,34.15,0.84,0.75
1540168178468,34.99,34.25,0.74,0.76
1540168178664,34.99,34.17,0.82,0.76
1540168178869,34.99,34.23,0.76,0.76
1540168179065,34.97,34.23,0.74,0.77
1540168179266,35.05,34.25,0.80,0.77
1540168179462,35.01,34.17,0.84,0.77
1540168179667,35.01,34.23,0.78,0.77
1540168179864,35.01,34.29,0.72,0.78
1540168180065,34.99,34.25,0.74,0.78
1540168180261,34.99,34.15,0.84,0.78
1540168180466,35.01,34.15,0.86,0.78
1540168180662,35.05,34.15,0.90,0.78
1540168180863,35.01,34.25,0.76,0.78
1540168181064,34.99,34.25,0.74,0.79
1540168181265,34.99,34.33,0.66,0.79
1540168181465,35.07,34.31,0.76,0.79
1540168181662,34.99,34.25,0.74,0.79
