1540168604961,34.6,0.89
1540168604995,3,0.84,0.89
1540168604998,35.01,34.09,0.92,0.89
1540168605001,34.97,34.13,0.84,0.89
1540168605134,34.91,34.15,0.76,0.89
1540168605136,34.93,34.15,0.78,0.89
1540168605140,34.93,34.17,0.76,0.89
1540168605144,3,0.84,0.89
1540168605148,35.01,34.09,0.92,0.89
1540168605152,34.97,34.13,0.84,0.89
1540168605329,34.91,34.15,0.76,0.89
1540168605333,34.93,34.15,0.78,0.89
1540168605337,34.93,34.17,0.76,0.89
1540168605341,3,0.84,0.89
1540168605345,35.01,34.09,0.92,0.89
1540168605349,34.97,34.13,0.84,0.89
1540168605354,34.91,34.15,0.76,0.89
1540168605529,34.93,34.15,0.78,0.89
1540168605533,34.93,34.17,0.76,0.89
1540168605537,35.01,34.17,0.84,0.89
1540168605541,34.97,34.13,0.84,0.88
1540168605545,34.97,34.15,0.82,0.88
1540168605550,34.97,34.23,0.74,0.88
1540168605726,35.01,34.23,0.78,0.88
1540168605930,34.99,34.25,0.74,0.88
1540168606128,35.01,34.25,0.76,0.87
1540168606328,35.01,34.31,0.70,0.87
1540168606533,34.99,34.31,0.68,0.87
1540168606730,34.99,34.33,0.66,0.86
1540168606931,35.01,34.33,0.68,0.86
1540168607127,35.05,34.29,0.76,0.86
1540168607332,34.99,34.25,0.74,0.85
1540168607529,35.01,34.23,0.78,0.85
1540168607729,35.01,34.23,0.78,0.84
1540168607926,34.99,34.23,0.76,0.84
1540168608131,34.97,34.17,0.80,0.84
1540168608327,35.01,34.21,0.80,0.84
1540168608528,35.01,34.17,0.84,0.83
1540168608724,34.99,34.17,0.82,0.83
1540168608930,34.99,34.15,0.84,0.83
1540168609126,35.01,34.17,0.84,0.83
1540168609327,34.99,34.25,0.74,0.83
1540168609531,34.99,34.21,0.78,0.83
1540168609728,34.93,34.21,0.72,0.82
1540168609928,34.99,34.23,0.76,0.82
1540168610125,35.01,34.25,0.76,0.82
1540168610329,34.93,34.25,0.68,0.82
