1540169210086,343.27
1540169210151,7,1.46,1.29
1540169210152,34.61,33.07,1.54,1.29
1540169210257,34.61,33.21,1.40,1.28
1540169210261,34.63,33.19,1.44,1.27
1540169210265,34.61,33.17,1.44,1.27
1540169210269,34.61,33.19,1.42,1.27
1540169210273,34.63,33.11,1.52,1.27
1540169210276,34.53,33.11,1.42,1.27
1540169210457,34.61,33.13,1.48,1.27
1540169210653,34.63,33.13,1.50,1.27
1540169210858,34.63,33.13,1.50,1.27
1540169211054,34.59,33.05,1.54,1.27
1540169211256,34.63,33.07,1.56,1.28
1540169211453,34.63,33.05,1.58,1.28
1540169211657,34.69,32.95,1.74,1.28
1540169211854,34.69,32.97,1.72,1.29
1540169212055,34.61,32.91,1.70,1.30
1540169212260,34.61,32.97,1.64,1.30
1540169212456,34.63,32.91,1.72,1.31
1540169212656,34.61,32.89,1.72,1.32
1540169212853,34.63,32.85,1.78,1.33
1540169213058,34.69,32.91,1.78,1.34
1540169213255,34.61,32.97,1.64,1.35
1540169213456,34.61,32.99,1.62,1.36
1540169213652,34.63,32.99,1.64,1.37
1540169213857,34.69,32.99,1.70,1.38
1540169214054,34.67,32.99,1.68,1.39
1540169214254,34.67,32.99,1.68,1.40
1540169214451,34.61,32.97,1.64,1.41
1540169214656,34.67,32.97,1.70,1.42
1540169214856,34.63,32.99,1.64,1.43
1540169215053,34.63,32.95,1.68,1.44
1540169215253,34.69,32.91,1.78,1.45
1540169215451,34.69,32.97,1.72,1.46
1540169215655,34.63,32.99,1.64,1.47
1540169215851,34.63,32.91,1.72,1.48
1540169216052,34.69,32.99,1.70,1.49
1540169216249,34.67,32.95,1.72,1.50
1540169216454,34.61,32.95,1.66,1.50
1540169216651,34.61,33.03,1.58,1.51
1540169216851,34.69,32.97,1.72,1.52
1540169217056,34.69,32.97,1.72,1.53
1540169217252,34.69,32.97,1.72,1.54
1540169217453,34.67,33.05,1.62,1.54
1540169217649,34.69,33.07,1.62,1.55
1540169217854,34.69,33.07,1.62,1.55
1540169218051,34.67,33.07,1.60,1.56
1540169218251,34.75,33.11,1.64,1.56
1540169218448,34.69,33.07,1.62,1.57
1540169218653,34.69,33.11,1.58,1.57
1540169218850,34.71,33.05,1.66,1.58
1540169219050,34.69,33.11,1.58,1.58
1540169219247,34.63,33.05,1.58,1.58
1540169219448,34.67,33.13,1.54,1.58
1540169219652,34.71,33.03,1.68,1.59
1540169219849,34.75,32.99,1.76,1.59
1540169220050,34.67,32.97,1.70,1.59
1540169220246,34.71,32.95,1.76,1.60
1540169220452,34.71,33.03,1.68,1.60
1540169220648,34.71,32.99,1.72,1.60
1540169220849,34.67,33.05,1.62,1.60
1540169221045,34.71,33.05,1.66,1.61
1540169221250,34.69,32.99,1.70,1.61
1540169221447,34.69,33.03,1.66,1.61
1540169221647,34.69,33.05,1.64,1.62
1540169221852,34.71,33.17,1.54,1.62
1540169222048,34.71,33.07,1.64,1.62
1540169222249,34.67,33.07,1.60,1.62
1540169222446,34.71,33.07,1.64,1.62
1540169222653,34.67,33.03,1.64,1.62
1540169222847,34.71,33.03,1.68,1.62
1540169223048,34.77,33.05,1.72,1.63
1540169223244,34.71,32.97,1.74,1.63
1540169223445,34.81,33.03,1.78,1.63
1540169223646,34.67,33.03,1.64,1.63
1540169223847,34.71,33.13,1.58,1.63
1540169224047,34.77,33.03,1.74,1.63
1540169224244,34.67,33.03,1.64,1.63
1540169224449,34.75,33.11,1.64,1.63
1540169224645,34.71,33.13,1.58,1.64
1540169224846,34.77,33.13,1.64,1.63
1540169225042,34.69,33.19,1.50,1.64
1540169225247,34.75,33.13,1.62,1.64
1540169225444,34.77,33.13,1.64,1.63
1540169225645,34.75,33.13,1.62,1.64
1540169225841,34.75,33.13,1.62,1.64
1540169226046,34.75,33.11,1.64,1.64
1540169226247,34.67,33.19,1.48,1.64
1540169226443,34.81,33.17,1.64,1.63
1540169226648,34.77,33.17,1.60,1.64
1540169226845,34.75,33.13,1.62,1.63
1540169227045,34.81,33.13,1.68,1.63
1540169227242,34.75,33.17,1.58,1.64
1540169227447,34.75,33.19,1.56,1.63
1540169227643,34.75,33.19,1.56,1.63
1540169227844,34.71,33.19,1.52,1.63
1540169228040,34.81,33.13,1.68,1.63
1540169228245,34.77,33.13,1.64,1.63
1540169228442,34.77,33.11,1.66,1.63
