1539676182641,3571,-2.78,-2.79
1539676182652,34.99,37.71,-2.72,-2.79
1539676182711,35.09,37.67,-2.58,-2.79
1539676182916,35.13,37.69,-2.56,-2.79
1539676183112,35.01,37.69,-2.68,-2.79
1539676183313,34.97,37.71,-2.74,-2.79
1539676183509,35.01,37.71,-2.70,-2.79
1539676183710,35.01,37.71,-2.70,-2.78
1539676183907,34.93,37.71,-2.78,-2.78
1539676184112,34.89,37.71,-2.82,-2.78
1539676184313,34.89,37.67,-2.78,-2.78
1539676184509,34.81,37.69,-2.88,-2.78
1539676184714,34.83,37.71,-2.88,-2.78
1539676184910,34.81,37.71,-2.90,-2.78
1539676185111,34.89,37.71,-2.82,-2.78
1539676185308,34.97,37.71,-2.74,-2.78
1539676185512,34.97,37.69,-2.72,-2.78
1539676185710,35.01,37.69,-2.68,-2.78
1539676185910,34.99,37.69,-2.70,-2.78
1539676186111,34.91,37.67,-2.76,-2.78
1539676186307,34.97,37.71,-2.74,-2.78
1539676186512,34.91,37.71,-2.80,-2.78
1539676186709,34.93,37.69,-2.76,-2.78
1539676186910,34.91,37.69,-2.78,-2.78
1539676187106,34.91,37.63,-2.72,-2.77
1539676187311,34.91,37.67,-2.76,-2.78
1539676187512,34.93,37.69,-2.76,-2.78
1539676187708,34.91,37.63,-2.72,-2.77
1539676187909,34.89,37.71,-2.82,-2.77
1539676188106,34.89,37.67,-2.78,-2.77
1539676188310,34.85,37.69,-2.84,-2.77
1539676188507,34.85,37.67,-2.82,-2.77
1539676188708,34.81,37.67,-2.86,-2.77
1539676188904,34.89,37.71,-2.82,-2.77
1539676189109,34.85,37.69,-2.84,-2.77
1539676189309,34.91,37.67,-2.76,-2.77
1539676189506,34.93,37.63,-2.70,-2.77
1539676189707,34.91,37.69,-2.78,-2.77
1539676189907,34.85,37.69,-2.84,-2.78
1539676190108,34.85,37.61,-2.76,-2.77
1539676190305,34.89,37.59,-2.70,-2.78
1539676190506,34.91,37.63,-2.72,-2.78
1539676190702,34.93,37.55,-2.62,-2.77
1539676190907,34.91,37.51,-2.60,-2.78
1539676191108,34.97,37.45,-2.48,-2.77
1539676191304,34.93,37.43,-2.50,-2.77
1539676191509,34.93,37.49,-2.56,-2.77
1539676191706,34.85,37.51,-2.66,-2.76
1539676191906,34.89,37.45,-2.56,-2.76
1539676192103,34.85,37.49,-2.64,-2.75
1539676192308,34.83,37.51,-2.68,-2.75
