1539676719819,347.27,-2.38,-0.61
1539676719842,34.97,37.27,-2.30,-0.67
1539676719843,35.01,37.29,-2.28,-0.73
1539676719992,35.09,37.29,-2.20,-0.79
1539676719996,35.19,37.25,-2.06,-0.84
1539676720193,35.15,37.25,-2.10,-0.89
1539676720389,35.15,37.25,-2.10,-0.95
1539676720590,34.99,37.25,-2.26,-0.99
1539676720791,34.91,37.25,-2.34,-1.05
1539676720987,34.77,37.25,-2.48,-1.09
1539676721192,34.77,37.25,-2.48,-1.14
1539676721393,34.81,37.21,-2.40,-1.19
1539676721589,34.85,37.21,-2.36,-1.23
1539676721790,34.93,37.25,-2.32,-1.28
1539676721991,34.81,37.25,-2.44,-1.33
1539676722188,34.67,37.21,-2.54,-1.37
1539676722388,34.71,37.19,-2.48,-1.41
1539676722592,34.83,37.25,-2.42,-1.45
1539676722785,34.93,37.21,-2.28,-1.50
1539676722991,34.93,37.25,-2.32,-1.53
1539676723191,34.97,37.25,-2.28,-1.57
1539676723388,34.97,37.25,-2.28,-1.61
1539676723588,35.07,37.35,-2.28,-1.64
1539676723789,35.09,37.29,-2.20,-1.68
1539676723993,35.19,37.29,-2.10,-1.71
1539676724186,35.21,37.25,-2.04,-1.74
1539676724391,35.21,37.21,-2.00,-1.76
1539676724592,35.29,37.25,-1.96,-1.79
1539676724788,35.27,37.27,-2.00,-1.81
1539676724989,35.31,37.19,-1.88,-1.83
1539676725189,35.35,37.19,-1.84,-1.85
1539676725386,35.29,37.21,-1.92,-1.87
1539676725591,35.31,37.19,-1.88,-1.88
1539676725788,35.29,37.21,-1.92,-1.89
1539676725989,35.31,37.21,-1.90,-1.90
1539676726190,35.29,37.21,-1.92,-1.91
1539676726386,35.29,37.27,-1.98,-1.92
1539676726587,35.23,37.19,-1.96,-1.93
1539676726791,35.13,37.25,-2.12,-1.94
1539676726983,35.15,37.25,-2.10,-1.94
1539676727188,35.19,37.21,-2.02,-1.95
1539676727389,35.05,37.25,-2.20,-1.96
1539676727586,35.07,37.21,-2.14,-1.96
1539676727787,35.05,37.19,-2.14,-1.97
1539676727992,35.05,37.21,-2.16,-1.97
1539676728184,34.99,37.13,-2.14,-1.98
1539676728388,34.89,37.17,-2.28,-1.99
1539676728585,34.83,37.17,-2.34,-1.99
1539676728786,34.85,37.11,-2.26,-2.00
1539676728986,34.81,37.11,-2.30,-2.01
1539676729183,34.83,37.19,-2.36,-2.02
1539676729384,34.85,37.21,-2.36,-2.02
1539676729589,34.77,37.21,-2.44,-2.03
1539676729785,34.77,37.19,-2.42,-2.04
1539676729986,34.81,37.19,-2.38,-2.05
1539676730188,34.81,37.21,-2.40,-2.06
1539676730383,34.91,37.19,-2.28,-2.07
1539676730584,34.89,37.25,-2.36,-2.08
1539676730789,34.77,37.19,-2.42,-2.09
1539676730982,34.75,37.25,-2.50,-2.10
1539676731186,34.63,37.25,-2.62,-2.11
1539676731387,34.61,37.19,-2.58,-2.12
1539676731584,34.63,37.25,-2.62,-2.13
1539676731784,34.77,37.21,-2.44,-2.14
1539676731985,34.81,37.21,-2.40,-2.15
1539676732181,34.83,37.25,-2.42,-2.17
1539676732272,0,0,0,0
1539676732386,34.77,37.25,-2.48,-2.18
1539676732587,34.81,37.27,-2.46,-2.19
1539676732784,34.89,37.27,-2.38,-2.20
1539676732984,34.97,37.27,-2.30,-2.21
1539676733184,34.97,37.21,-2.24,-2.22
1539676733382,35.01,37.27,-2.26,-2.23
1539676733586,34.93,37.27,-2.34,-2.23
1539676733786,34.83,37.25,-2.42,-2.24
1539676733983,34.85,37.27,-2.42,-2.25
1539676734184,34.83,37.25,-2.42,-2.25
1539676734385,34.85,37.19,-2.34,-2.26
1539676734582,34.83,37.27,-2.44,-2.26
1539676734782,34.83,37.25,-2.42,-2.27
1539676734987,34.81,37.27,-2.46,-2.28
1539676735183,34.77,37.27,-2.50,-2.28
1539676735384,34.89,37.35,-2.46,-2.29
1539676735585,34.89,37.41,-2.52,-2.29
1539676735782,34.83,37.41,-2.58,-2.30
1539676735982,34.85,37.29,-2.44,-2.31
1539676736179,34.75,37.41,-2.66,-2.32
1539676736384,34.77,37.45,-2.68,-2.32
1539676736585,34.77,37.37,-2.60,-2.33
1539676736781,34.83,37.37,-2.54,-2.34
1539676736981,34.91,37.41,-2.50,-2.34
1539676737183,34.99,37.49,-2.50,-2.35
1539676737379,35.07,37.43,-2.36,-2.36
1539676737583,34.99,37.41,-2.42,-2.36
1539676737784,34.99,37.43,-2.44,-2.37
1539676737981,34.91,37.43,-2.52,-2.37
1539676738181,34.89,37.43,-2.54,-2.38
1539676738383,34.77,37.43,-2.66,-2.39
1539676738579,34.71,37.37,-2.66,-2.39
1539676738783,34.75,37.37,-2.62,-2.40
1539676738984,34.81,37.35,-2.54,-2.40
1539676739181,34.83,37.43,-2.60,-2.41
1539676739381,34.89,37.35,-2.46,-2.41
1539676739583,34.91,37.37,-2.46,-2.42
1539676739779,34.97,37.35,-2.38,-2.43
1539676739980,34.93,37.43,-2.50,-2.43
1539676740185,34.99,37.43,-2.44,-2.43
1539676740381,34.93,37.43,-2.50,-2.44
1539676740582,34.89,37.41,-2.52,-2.44
1539676740779,34.91,37.43,-2.52,-2.45
1539676740979,34.91,37.43,-2.52,-2.45
1539676741180,34.91,37.49,-2.58,-2.45
1539676741377,34.89,37.43,-2.54,-2.45
1539676741581,34.97,37.45,-2.48,-2.46
1539676741782,35.01,37.43,-2.42,-2.46
1539676741978,34.99,37.49,-2.50,-2.46
1539676742179,35.01,37.45,-2.44,-2.46
1539676742380,34.99,37.43,-2.44,-2.47
1539676742576,34.93,37.43,-2.50,-2.47
1539676742781,34.97,37.45,-2.48,-2.47
1539676742982,34.97,37.53,-2.56,-2.47
1539676743178,35.01,37.45,-2.44,-2.47
1539676743379,34.97,37.45,-2.48,-2.47
1539676743579,34.97,37.55,-2.58,-2.47
1539676743776,34.91,37.53,-2.62,-2.47
1539676743977,34.93,37.51,-2.58,-2.47
1539676744182,35.01,37.49,-2.48,-2.48
1539676744378,34.99,37.53,-2.54,-2.48
1539676744579,34.91,37.51,-2.60,-2.48
1539676744780,34.91,37.49,-2.58,-2.48
1539676744977,34.93,37.53,-2.60,-2.48
1539676745177,34.91,37.49,-2.58,-2.48
1539676745382,34.93,37.49,-2.56,-2.49
1539676745578,34.97,37.51,-2.54,-2.49
1539676745779,34.93,37.49,-2.56,-2.49
1539676745980,34.85,37.49,-2.64,-2.49
1539676746176,34.81,37.53,-2.72,-2.50
1539676746377,34.89,37.51,-2.62,-2.50
1539676746573,34.97,37.51,-2.54,-2.50
1539676746775,34.89,37.51,-2.62,-2.51
1539676746979,34.91,37.51,-2.60,-2.51
1539676747176,34.93,37.53,-2.60,-2.51
1539676747376,34.97,37.51,-2.54,-2.51
1539676747577,34.91,37.53,-2.62,-2.51
1539676747774,34.93,37.53,-2.60,-2.52
1539676747975,34.89,37.53,-2.64,-2.52
1539676748179,34.85,37.53,-2.68,-2.52
1539676748376,34.91,37.55,-2.64,-2.53
1539676748577,34.77,37.51,-2.74,-2.53
1539676748777,34.77,37.53,-2.76,-2.54
1539676748974,34.85,37.53,-2.68,-2.54
1539676749174,34.91,37.55,-2.64,-2.55
1539676749379,34.91,37.55,-2.64,-2.55
1539676749576,34.97,37.53,-2.56,-2.55
1539676749777,34.97,37.53,-2.56,-2.56
1539676749977,34.99,37.53,-2.54,-2.56
1539676750174,34.99,37.53,-2.54,-2.56
1539676750374,34.93,37.53,-2.60,-2.57
1539676750572,34.85,37.53,-2.68,-2.57
1539676750776,34.97,37.55,-2.58,-2.57
1539676750977,35.01,37.51,-2.50,-2.57
1539676751173,35.05,37.53,-2.48,-2.57
1539676751373,35.09,37.51,-2.42,-2.58
1539676751575,35.01,37.51,-2.50,-2.58
1539676751771,35.05,37.51,-2.46,-2.58
1539676751976,34.99,37.51,-2.52,-2.57
1539676752176,34.99,37.49,-2.50,-2.57
1539676752305,Interruption
1539676752373,35.01,37.51,-2.50,-2.57
