1539675410381,3438.19,-3.26,-3.76
1539675410401,34.99,38.17,-3.18,-3.74
1539675410424,34.99,38.11,-3.12,-3.72
1539675410506,35.05,38.17,-3.12,-3.70
1539675410510,0
1539675410514,34.91,38.25,-3.34,-3.78
1539675410518,34.93,38.19,-3.26,-3.76
1539675410522,34.99,38.17,-3.18,-3.74
1539675410526,34.99,38.11,-3.12,-3.72
1539675410531,35.05,38.17,-3.12,-3.70
1539675410702,35.09,38.03,-2.94,-3.69
1539675410706,34.93,38.09,-3.16,-3.67
1539675410710,34.91,38.03,-3.12,-3.65
1539675410903,34.93,38.11,-3.18,-3.63
1539675411104,34.93,38.05,-3.12,-3.61
1539675411305,34.91,38.01,-3.10,-3.59
1539675411505,34.89,38.01,-3.12,-3.57
1539675411702,34.89,38.13,-3.24,-3.56
1539675411902,34.89,38.13,-3.24,-3.54
1539675412099,34.89,38.19,-3.30,-3.52
1539675412304,34.85,38.11,-3.26,-3.51
1539675412501,34.83,38.11,-3.28,-3.49
1539675412701,34.81,38.11,-3.30,-3.48
1539675412898,34.77,38.11,-3.34,-3.47
1539675413102,34.77,38.11,-3.34,-3.45
1539675413304,34.77,38.13,-3.36,-3.45
1539675413500,34.85,38.09,-3.24,-3.43
1539675413705,34.89,38.03,-3.14,-3.43
1539675413902,34.89,38.03,-3.14,-3.42
1539675414102,34.93,38.03,-3.10,-3.41
1539675414298,34.97,38.03,-3.06,-3.40
1539675414504,35.09,38.03,-2.94,-3.39
1539675414700,35.19,37.99,-2.80,-3.38
1539675414901,35.23,38.01,-2.78,-3.37
1539675415101,35.37,38.01,-2.64,-3.35
1539675415302,35.39,38.05,-2.66,-3.34
1539675415502,35.31,38.03,-2.72,-3.32
1539675415700,35.21,38.03,-2.82,-3.31
1539675415901,35.09,38.01,-2.92,-3.29
1539675416097,35.09,37.99,-2.90,-3.28
1539675416301,34.97,37.99,-3.02,-3.26
1539675416498,34.93,38.03,-3.10,-3.25
1539675416699,34.93,38.05,-3.12,-3.23
1539675416896,34.91,38.17,-3.26,-3.22
1539675417100,34.89,38.01,-3.12,-3.21
1539675417297,34.89,38.13,-3.24,-3.20
1539675417498,34.83,38.01,-3.18,-3.19
1539675417702,34.85,38.05,-3.20,-3.18
1539675417899,34.91,38.09,-3.18,-3.18
1539675418099,35.09,38.03,-2.94,-3.17
1539675418296,35.07,38.09,-3.02,-3.16
1539675418497,35.19,38.03,-2.84,-3.16
1539675418697,35.31,38.01,-2.70,-3.15
1539675418898,35.21,38.01,-2.80,-3.14
1539675419095,35.21,38.01,-2.80,-3.13
1539675419296,35.31,38.01,-2.70,-3.13
1539675419501,35.27,38.01,-2.74,-3.11
1539675419697,35.19,37.99,-2.80,-3.11
1539675419898,35.09,37.99,-2.90,-3.10
1539675420094,35.09,37.93,-2.84,-3.08
1539675420299,35.05,37.95,-2.90,-3.08
1539675420496,35.21,37.93,-2.72,-3.07
1539675420696,35.19,37.95,-2.76,-3.06
1539675420893,35.21,37.99,-2.78,-3.05
1539675421098,35.23,37.95,-2.72,-3.04
1539675421294,35.29,37.93,-2.64,-3.03
1539675421495,35.31,37.99,-2.68,-3.02
1539675421696,35.37,37.99,-2.62,-3.01
1539675421897,35.27,37.91,-2.64,-3.00
1539675422097,35.39,37.95,-2.56,-2.99
1539675422293,35.35,37.93,-2.58,-2.98
1539675422494,35.27,37.99,-2.72,-2.97
1539675422691,35.09,37.93,-2.84,-2.96
1539675422896,34.93,37.93,-3.00,-2.95
1539675423092,34.93,37.91,-2.98,-2.93
1539675423293,34.93,37.91,-2.98,-2.93
1539675423498,34.89,37.93,-3.04,-2.92
1539675423695,34.85,37.87,-3.02,-2.92
1539675423895,34.71,37.95,-3.24,-2.91
1539675424091,34.69,37.95,-3.26,-2.91
1539675424296,34.69,37.95,-3.26,-2.91
1539675424493,34.77,38.03,-3.26,-2.91
1539675424694,34.83,38.03,-3.20,-2.91
1539675424890,34.83,38.03,-3.20,-2.92
1539675425095,34.85,38.03,-3.18,-2.92
1539675425292,34.91,38.05,-3.14,-2.92
1539675425493,34.91,38.05,-3.14,-2.93
1539675425693,34.85,38.05,-3.20,-2.93
1539675425889,34.91,38.03,-3.12,-2.94
1539675426095,34.91,38.05,-3.14,-2.94
1539675426291,34.89,38.05,-3.16,-2.95
1539675426492,34.89,38.03,-3.14,-2.95
1539675426688,34.89,38.09,-3.20,-2.96
1539675426893,34.93,38.11,-3.18,-2.97
1539675427090,34.93,38.03,-3.10,-2.97
1539675427291,35.01,38.09,-3.08,-2.98
1539675427491,34.97,38.05,-3.08,-2.98
1539675427691,34.97,38.09,-3.12,-2.99
1539675427893,35.07,38.03,-2.96,-2.99
1539675428089,35.19,38.05,-2.86,-3.00
1539675428290,35.15,38.01,-2.86,-3.00
1539675428486,35.19,38.09,-2.90,-3.00
1539675428692,35.09,37.99,-2.90,-3.01
1539675428888,35.09,37.93,-2.84,-3.01
1539675429089,35.05,37.99,-2.94,-3.01
1539675429294,35.07,37.95,-2.88,-3.01
1539675429490,34.97,37.99,-3.02,-3.01
1539675429691,34.93,37.95,-3.02,-3.01
1539675429888,34.99,37.95,-2.96,-3.01
1539675430092,34.91,37.99,-3.08,-3.01
1539675430289,34.81,37.95,-3.14,-3.01
1539675430489,34.75,37.99,-3.24,-3.01
1539675430685,34.81,37.99,-3.18,-3.01
1539675430887,34.97,37.95,-2.98,-3.01
1539675431091,35.01,38.01,-3.00,-3.01
1539675431287,35.01,37.93,-2.92,-3.02
1539675431489,34.93,37.95,-3.02,-3.02
1539675431686,34.97,37.99,-3.02,-3.02
1539675431890,34.97,37.95,-2.98,-3.02
1539675432087,34.97,37.99,-3.02,-3.02
1539675432288,35.01,37.93,-2.92,-3.02
1539675432484,35.07,38.01,-2.94,-3.02
1539675432689,34.99,37.95,-2.96,-3.02
1539675432885,34.99,37.95,-2.96,-3.02
1539675433086,34.93,37.99,-3.06,-3.02
1539675433291,34.97,37.99,-3.02,-3.02
1539675433488,34.93,38.01,-3.08,-3.02
1539675433688,34.97,37.91,-2.94,-3.02
1539675433885,34.91,37.95,-3.04,-3.02
1539675434086,34.91,37.99,-3.08,-3.02
1539675434282,34.93,38.01,-3.08,-3.02
1539675434487,34.91,38.03,-3.12,-3.02
1539675434683,34.99,37.93,-2.94,-3.02
1539675434884,34.91,37.99,-3.08,-3.02
1539675435096,34.97,37.99,-3.02,-3.02
1539675435285,34.89,37.99,-3.10,-3.03
