1539748658860,34..55,-2.18,-2.74
1539748658960,34.25,36.57,-2.32,-2.72
1539748658965,9
1539748658969,34.15,36.69,-2.54,-2.78
1539748658973,34.21,36.61,-2.40,-2.76
1539748658977,34.29,36.57,-2.28,-2.75
1539748658981,34.37,36.55,-2.18,-2.74
1539748658985,34.25,36.57,-2.32,-2.72
1539748659162,9
1539748659166,34.15,36.69,-2.54,-2.78
1539748659170,34.21,36.61,-2.40,-2.76
1539748659174,34.29,36.57,-2.28,-2.75
1539748659178,34.37,36.55,-2.18,-2.74
1539748659182,34.25,36.57,-2.32,-2.72
1539748659186,34.33,36.57,-2.24,-2.71
1539748659358,34.25,36.57,-2.32,-2.70
1539748659362,34.29,36.53,-2.24,-2.69
1539748659563,34.29,36.57,-2.28,-2.67
1539748659763,34.33,36.53,-2.20,-2.66
1539748659961,34.39,36.53,-2.14,-2.65
1539748660161,34.29,36.55,-2.26,-2.63
1539748660357,34.25,36.49,-2.24,-2.62
1539748660563,34.25,36.57,-2.32,-2.60
1539748660759,34.15,36.55,-2.40,-2.59
1539748660960,34.13,36.49,-2.36,-2.58
1539748661165,34.07,36.53,-2.46,-2.57
1539748661361,34.09,36.55,-2.46,-2.56
1539748661562,34.17,36.49,-2.32,-2.55
1539748661759,34.13,36.47,-2.34,-2.54
1539748661963,34.15,36.49,-2.34,-2.53
1539748662160,34.07,36.49,-2.42,-2.52
1539748662361,34.15,36.49,-2.34,-2.52
1539748662561,34.21,36.53,-2.32,-2.51
1539748662758,34.21,36.53,-2.32,-2.50
1539748662963,34.25,36.63,-2.38,-2.49
1539748663160,34.23,36.57,-2.34,-2.49
1539748663360,34.21,36.57,-2.36,-2.48
1539748663557,34.21,36.63,-2.42,-2.47
1539748663761,34.17,36.61,-2.44,-2.47
1539748663962,34.09,36.63,-2.54,-2.46
1539748664158,34.01,36.55,-2.54,-2.46
1539748664360,33.99,36.57,-2.58,-2.46
1539748664556,33.93,36.57,-2.64,-2.45
1539748664761,33.93,36.61,-2.68,-2.45
1539748664962,33.87,36.65,-2.78,-2.45
1539748665158,33.91,36.61,-2.70,-2.45
1539748665359,33.83,36.65,-2.82,-2.46
1539748665560,33.93,36.63,-2.70,-2.46
1539748665761,33.93,36.69,-2.76,-2.46
1539748665957,33.95,36.71,-2.76,-2.47
1539748666158,34.03,36.71,-2.68,-2.47
1539748666362,34.07,36.73,-2.66,-2.48
1539748666559,34.13,36.71,-2.58,-2.48
1539748666760,34.17,36.71,-2.54,-2.49
1539748666956,34.25,36.71,-2.46,-2.49
1539748667157,34.21,36.71,-2.50,-2.49
1539748667358,34.25,36.71,-2.46,-2.50
1539748667559,34.23,36.61,-2.38,-2.50
1539748667759,34.13,36.61,-2.48,-2.50
1539748667955,34.15,36.69,-2.54,-2.51
1539748668160,34.15,36.65,-2.50,-2.51
1539748668357,34.15,36.65,-2.50,-2.51
1539748668557,34.07,36.71,-2.64,-2.51
1539748668758,34.17,36.69,-2.52,-2.51
1539748668959,34.09,36.65,-2.56,-2.52
1539748669160,34.17,36.73,-2.56,-2.52
1539748669356,34.21,36.65,-2.44,-2.52
1539748669557,34.13,36.65,-2.52,-2.52
1539748669754,34.07,36.69,-2.62,-2.52
1539748669958,34.23,36.65,-2.42,-2.52
1539748670159,34.17,36.71,-2.54,-2.52
1539748670355,34.17,36.69,-2.52,-2.53
1539748670557,34.17,36.69,-2.52,-2.53
1539748670758,34.21,36.69,-2.48,-2.53
1539748670958,34.21,36.71,-2.50,-2.53
1539748671155,34.17,36.73,-2.56,-2.53
1539748671355,34.17,36.73,-2.56,-2.53
1539748671560,34.29,36.79,-2.50,-2.53
1539748671757,34.23,36.73,-2.50,-2.53
1539748671957,34.23,36.73,-2.50,-2.53
1539748672154,34.31,36.71,-2.40,-2.53
1539748672359,34.37,36.73,-2.36,-2.53
1539748672555,34.33,36.71,-2.38,-2.53
1539748672756,34.31,36.69,-2.38,-2.52
1539748672956,34.23,36.71,-2.48,-2.53
1539748673153,34.21,36.71,-2.50,-2.52
1539748673357,34.17,36.65,-2.48,-2.52
1539748673555,34.25,36.71,-2.46,-2.52
1539748673756,34.17,36.73,-2.56,-2.52
1539748673952,34.23,36.69,-2.46,-2.52
1539748674157,34.25,36.69,-2.44,-2.51
