1539749815526,335.93,-2.10,-1.98
1539749815576,33.83,35.99,-2.16,-1.99
1539749815576,33.85,35.93,-2.08,-1.99
1539749815615,33.83,35.97,-2.14,-1.99
1539749815622,8
1539749815623,33.79,35.93,-2.14,-1.98
1539749815627,33.83,35.93,-2.10,-1.98
1539749815631,33.83,35.99,-2.16,-1.99
1539749815635,33.85,35.93,-2.08,-1.99
1539749815639,33.83,35.97,-2.14,-1.99
1539749815811,33.85,36.01,-2.16,-2.00
1539749815815,33.95,35.99,-2.04,-2.00
1539749815819,33.93,36.01,-2.08,-2.01
1539749816016,33.95,35.89,-1.94,-2.01
1539749816212,33.99,35.91,-1.92,-2.01
1539749816413,34.01,35.85,-1.84,-2.01
1539749816609,33.95,35.77,-1.82,-2.01
1539749816815,33.85,35.71,-1.86,-2.02
1539749817011,33.87,35.85,-1.98,-2.01
1539749817211,33.79,35.81,-2.02,-2.01
1539749817409,33.85,35.85,-2.00,-2.02
1539749817609,33.91,35.75,-1.84,-2.01
1539749817814,33.87,35.83,-1.96,-2.01
1539749818010,33.79,35.75,-1.96,-2.01
1539749818212,33.71,35.77,-2.06,-2.01
1539749818408,33.77,35.81,-2.04,-2.01
1539749818613,33.77,35.81,-2.04,-2.01
1539749818809,33.85,35.77,-1.92,-2.01
1539749819010,33.91,35.81,-1.90,-2.01
1539749819215,33.95,35.71,-1.76,-2.01
1539749819412,33.99,35.83,-1.84,-2.00
1539749819612,33.87,35.71,-1.84,-2.00
1539749819809,33.95,35.77,-1.82,-2.00
1539749820010,33.85,35.75,-1.90,-1.99
1539749820210,33.91,35.69,-1.78,-1.99
1539749820411,33.83,35.67,-1.84,-1.99
1539749820607,33.87,35.67,-1.80,-1.98
1539749820808,33.85,35.67,-1.82,-1.98
1539749821004,33.79,35.63,-1.84,-1.97
1539749821209,33.79,35.59,-1.80,-1.97
1539749821410,33.79,35.61,-1.82,-1.96
1539749821607,33.79,35.53,-1.74,-1.96
1539749821812,33.79,35.55,-1.76,-1.95
1539749822008,33.77,35.53,-1.76,-1.95
1539749822209,33.87,35.51,-1.64,-1.94
1539749822405,33.79,35.55,-1.76,-1.94
1539749822606,33.91,35.47,-1.56,-1.93
1539749822807,33.87,35.55,-1.68,-1.92
1539749823008,33.99,35.47,-1.48,-1.92
1539749823208,34.01,35.53,-1.52,-1.91
1539749823409,33.99,35.43,-1.44,-1.90
1539749823610,33.83,35.45,-1.62,-1.89
1539749823806,33.85,35.39,-1.54,-1.88
1539749824007,33.73,35.39,-1.66,-1.87
1539749824203,33.63,35.47,-1.84,-1.86
1539749824409,33.63,35.43,-1.80,-1.85
1539749824605,33.63,35.43,-1.80,-1.84
1539749824805,33.63,35.43,-1.80,-1.84
1539749825002,33.63,35.39,-1.76,-1.83
1539749825207,33.61,35.39,-1.78,-1.83
1539749825408,33.63,35.39,-1.76,-1.82
1539749825605,33.69,35.39,-1.70,-1.81
1539749825805,33.79,35.37,-1.58,-1.81
1539749826006,33.83,35.35,-1.52,-1.81
1539749826207,33.85,35.37,-1.52,-1.80
1539749826403,33.77,35.35,-1.58,-1.79
1539749826447,0,0,0,0
1539749826604,33.79,35.35,-1.56,-1.79
1539749826804,33.87,35.31,-1.44,-1.78
1539749827005,33.99,35.31,-1.32,-1.77
1539749827201,33.95,35.37,-1.42,-1.77
1539749827402,33.95,35.31,-1.36,-1.76
1539749827607,33.95,35.37,-1.42,-1.75
1539749827804,33.95,35.37,-1.42,-1.74
1539749828005,33.87,35.51,-1.64,-1.73
1539749828201,33.91,35.53,-1.62,-1.72
1539749828406,33.79,35.55,-1.76,-1.72
1539749828602,33.85,35.53,-1.68,-1.71
1539749828804,33.87,35.51,-1.64,-1.70
1539749829000,33.85,35.51,-1.66,-1.70
1539749829205,33.83,35.45,-1.62,-1.69
1539749829401,33.77,35.39,-1.62,-1.69
1539749829602,33.73,35.37,-1.64,-1.68
1539749829803,33.71,35.35,-1.64,-1.68
1539749830003,33.73,35.39,-1.66,-1.67
1539749830204,33.73,35.39,-1.66,-1.67
1539749830401,33.69,35.39,-1.70,-1.67
1539749830601,33.63,35.37,-1.74,-1.66
1539749830798,33.63,35.45,-1.82,-1.66
1539749831003,33.65,35.45,-1.80,-1.66
1539749831199,33.69,35.43,-1.74,-1.66
1539749831400,33.73,35.39,-1.66,-1.66
1539749831604,33.71,35.39,-1.68,-1.66
1539749831801,33.77,35.43,-1.66,-1.67
1539749832002,33.73,35.39,-1.66,-1.67
1539749832199,33.77,35.39,-1.62,-1.67
1539749832403,33.85,35.51,-1.66,-1.67
1539749832600,33.95,35.43,-1.48,-1.67
1539749832800,33.99,35.47,-1.48,-1.67
1539749832997,34.01,35.51,-1.50,-1.67
1539749833202,33.95,35.45,-1.50,-1.66
1539749833399,33.99,35.45,-1.46,-1.66
1539749833600,33.99,35.45,-1.46,-1.66
1539749833800,34.03,35.43,-1.40,-1.66
1539749834001,33.95,35.43,-1.48,-1.65
1539749834202,33.91,35.45,-1.54,-1.65
1539749834398,34.01,35.39,-1.38,-1.64
1539749834599,33.99,35.43,-1.44,-1.64
1539749834795,34.07,35.43,-1.36,-1.63
1539749835000,34.03,35.43,-1.40,-1.63
1539749835196,34.13,35.47,-1.34,-1.62
1539749835398,34.09,35.47,-1.38,-1.62
1539749835594,34.13,35.45,-1.32,-1.61
1539749835799,34.15,35.43,-1.28,-1.60
1539749836000,34.17,35.43,-1.26,-1.60
1539749836196,34.23,35.47,-1.24,-1.59
1539749836401,34.15,35.43,-1.28,-1.58
1539749836597,34.17,35.45,-1.28,-1.57
1539749836798,34.15,35.47,-1.32,-1.56
1539749836995,34.15,35.47,-1.32,-1.56
1539749837199,34.15,35.45,-1.30,-1.55
1539749837396,34.09,35.45,-1.36,-1.54
1539749837596,34.09,35.43,-1.34,-1.53
1539749837793,34.09,35.43,-1.34,-1.52
1539749837994,34.01,35.31,-1.30,-1.51
1539749838195,33.99,35.37,-1.38,-1.51
1539749838395,33.83,35.35,-1.52,-1.50
1539749838595,33.85,35.39,-1.54,-1.49
1539749838793,33.83,35.29,-1.46,-1.49
1539749838997,33.79,35.29,-1.50,-1.48
1539749839194,33.83,35.31,-1.48,-1.48
1539749839394,33.83,35.27,-1.44,-1.47
1539749839591,33.91,35.31,-1.40,-1.47
1539749839796,33.95,35.27,-1.32,-1.47
1539749839993,34.09,35.31,-1.22,-1.46
1539749840193,34.09,35.29,-1.20,-1.46
1539749840390,34.13,35.29,-1.16,-1.46
1539749840595,34.17,35.31,-1.14,-1.45
1539749840796,34.23,35.29,-1.06,-1.44
1539749840992,34.17,35.29,-1.12,-1.44
1539749841197,34.23,35.27,-1.04,-1.43
1539749841393,34.17,35.29,-1.12,-1.42
1539749841594,34.15,35.31,-1.16,-1.41
1539749841791,34.17,35.27,-1.10,-1.41
1539749841995,34.09,35.27,-1.18,-1.40
1539749842192,34.13,35.29,-1.16,-1.39
1539749842392,34.13,35.27,-1.14,-1.38
1539749842590,34.09,35.27,-1.18,-1.37
1539749842790,33.99,35.29,-1.30,-1.36
1539749842995,33.93,35.31,-1.38,-1.36
1539749843191,33.85,35.31,-1.46,-1.35
1539749843392,33.95,35.31,-1.36,-1.34
1539749843589,33.95,35.35,-1.40,-1.34
1539749843794,33.93,35.31,-1.38,-1.34
1539749843990,33.87,35.39,-1.52,-1.33
1539749844191,33.87,35.37,-1.50,-1.33
1539749844387,33.87,35.45,-1.58,-1.33
1539749844592,33.85,35.45,-1.60,-1.33
1539749844789,33.83,35.45,-1.62,-1.33
1539749844989,33.93,35.47,-1.54,-1.33
1539749845194,33.93,35.53,-1.60,-1.34
1539749845391,33.87,35.53,-1.66,-1.34
1539749845592,33.95,35.55,-1.60,-1.35
1539749845788,34.09,35.55,-1.46,-1.35
1539749845989,33.99,35.55,-1.56,-1.36
1539749846185,34.01,35.59,-1.58,-1.36
1539749846391,33.87,35.53,-1.66,-1.37
1539749846465,Interruption
1539749846587,33.83,35.53,-1.70,-1.37
1539749846788,33.79,35.61,-1.82,-1.38
1539749846889,Reaction,0,0,0,424
1539749846992,33.85,35.55,-1.70,-1.39
1539749847189,33.85,35.51,-1.66,-1.39
1539749847390,33.87,35.51,-1.64,-1.40
1539749847586,33.91,35.53,-1.62,-1.41
1539749847791,33.87,35.47,-1.60,-1.42
1539749847987,33.83,35.51,-1.68,-1.43
1539749848189,33.79,35.47,-1.68,-1.43
1539749848385,33.83,35.47,-1.64,-1.44
1539749848586,33.83,35.47,-1.64,-1.45
1539749848790,33.83,35.51,-1.68,-1.46
1539749848987,33.85,35.51,-1.66,-1.46
1539749849188,33.87,35.55,-1.68,-1.47
1539749849385,33.99,35.51,-1.52,-1.48
1539749849589,34.03,35.51,-1.48,-1.48
1539749849786,34.07,35.55,-1.48,-1.49
1539749849986,34.07,35.51,-1.44,-1.50
1539749850184,33.99,35.55,-1.56,-1.50
1539749850388,34.13,35.53,-1.40,-1.50
1539749850584,34.01,35.59,-1.58,-1.51
1539749850785,33.87,35.53,-1.66,-1.51
1539749850990,33.83,35.45,-1.62,-1.51
1539749851187,33.85,35.43,-1.58,-1.51
1539749851387,33.83,35.39,-1.56,-1.52
1539749851584,33.79,35.37,-1.58,-1.52
1539749851784,33.83,35.39,-1.56,-1.52
1539749851986,33.85,35.37,-1.52,-1.52
1539749852186,33.87,35.39,-1.52,-1.53
1539749852383,33.87,35.39,-1.52,-1.53
1539749852583,33.99,35.51,-1.52,-1.53
1539749852788,33.99,35.55,-1.56,-1.53
1539749852985,34.03,35.59,-1.56,-1.53
1539749853185,34.03,35.55,-1.52,-1.53
1539749853382,34.07,35.53,-1.46,-1.54
1539749853586,34.03,35.55,-1.52,-1.54
1539749853783,34.03,35.53,-1.50,-1.54
1539749853984,33.85,35.51,-1.66,-1.54
1539749854181,33.85,35.59,-1.74,-1.54
1539749854385,33.85,35.47,-1.62,-1.54
1539749854586,33.85,35.51,-1.66,-1.54
