1539746175362,3,0.34,0.04
1539746175509,9,0.14,0.01
1539746175535,34.59,34.33,0.26,0.01
1539746175572,34.53,34.31,0.22,0.02
1539746175710,34.53,34.31,0.22,0.02
1539746175714,34.55,34.33,0.22,0.03
1539746175718,34.59,34.25,0.34,0.04
1539746175722,9,0.14,0.01
1539746175726,34.59,34.33,0.26,0.01
1539746175730,34.53,34.31,0.22,0.02
1539746175734,34.53,34.31,0.22,0.02
1539746175907,34.55,34.33,0.22,0.03
1539746175911,34.59,34.25,0.34,0.04
1539746175915,34.53,34.17,0.36,0.04
1539746175919,34.45,34.13,0.32,0.05
1539746175923,34.47,34.15,0.32,0.06
1539746175927,34.51,34.15,0.36,0.06
1539746176107,34.43,34.17,0.26,0.07
1539746176304,34.43,34.15,0.28,0.08
1539746176512,34.37,34.21,0.16,0.09
1539746176706,34.25,34.23,0.02,0.09
1539746176906,34.21,34.17,0.04,0.10
1539746177111,34.17,34.23,-0.06,0.11
1539746177308,34.09,34.17,-0.08,0.11
1539746177508,34.07,34.13,-0.06,0.11
1539746177705,34.09,34.07,0.02,0.11
1539746177910,34.15,34.09,0.06,0.11
1539746178106,34.15,34.01,0.14,0.11
1539746178308,34.15,34.07,0.08,0.11
1539746178504,34.09,34.13,-0.04,0.11
1539746178705,34.15,34.15,0.00,0.11
1539746178909,34.17,34.15,0.02,0.11
1539746179105,34.23,34.21,0.02,0.11
1539746179306,34.15,34.21,-0.06,0.11
1539746179503,34.21,34.29,-0.08,0.11
1539746179707,34.13,34.25,-0.12,0.10
1539746179904,34.03,34.25,-0.22,0.10
1539746180105,34.15,34.31,-0.16,0.10
1539746180302,34.17,34.29,-0.12,0.09
1539746180506,34.17,34.29,-0.12,0.09
1539746180707,34.15,34.29,-0.14,0.08
1539746180904,34.17,34.23,-0.06,0.08
1539746181108,34.13,34.31,-0.18,0.07
1539746181305,34.09,34.31,-0.22,0.06
1539746181506,34.13,34.21,-0.08,0.06
1539746181703,34.15,34.23,-0.08,0.05
1539746181907,34.23,34.17,0.06,0.05
1539746182104,34.31,34.09,0.22,0.04
1539746182305,34.23,33.99,0.24,0.04
1539746182501,34.15,33.91,0.24,0.03
1539746182705,34.15,33.83,0.32,0.03
1539746182903,34.15,33.93,0.22,0.03
1539746183103,34.13,33.93,0.20,0.03
1539746183300,34.17,34.01,0.16,0.03
1539746183505,34.17,34.07,0.10,0.04
1539746183705,34.17,34.17,0.00,0.04
1539746183902,34.23,34.21,0.02,0.04
1539746184102,34.21,34.13,0.08,0.04
1539746184299,34.29,34.17,0.12,0.04
1539746184504,34.39,34.21,0.18,0.04
1539746184700,34.43,34.31,0.12,0.05
1539746184901,34.39,34.25,0.14,0.05
1539746185106,34.43,34.25,0.18,0.05
1539746185303,34.37,34.25,0.12,0.05
1539746185504,34.33,34.25,0.08,0.06
1539746185700,34.33,34.21,0.12,0.06
1539746185905,34.23,34.17,0.06,0.06
1539746186106,34.23,34.25,-0.02,0.06
1539746186301,34.25,34.23,0.02,0.07
1539746186503,34.31,34.13,0.18,0.07
1539746186699,34.23,34.21,0.02,0.07
1539746186904,34.17,34.21,-0.04,0.07
1539746187101,34.09,34.23,-0.14,0.07
1539746187302,34.17,34.17,0.00,0.07
1539746187498,34.33,34.23,0.10,0.07
1539746187703,34.43,34.23,0.20,0.07
1539746187904,34.59,34.23,0.36,0.07
1539746188100,34.59,34.21,0.38,0.07
1539746188305,34.53,34.25,0.28,0.07
1539746188502,34.53,34.25,0.28,0.08
1539746188702,34.55,34.21,0.34,0.08
1539746188898,34.61,34.29,0.32,0.08
1539746189100,34.63,34.25,0.38,0.09
1539746189304,34.61,34.25,0.36,0.09
1539746189500,34.61,34.25,0.36,0.10
1539746189701,34.59,34.25,0.34,0.11
1539746189898,34.61,34.29,0.32,0.11
1539746190103,34.67,34.23,0.44,0.12
1539746190300,34.71,34.25,0.46,0.12
1539746190500,34.67,34.23,0.44,0.13
1539746190701,34.71,34.23,0.48,0.14
1539746190898,34.75,34.23,0.52,0.15
1539746191103,34.75,34.25,0.50,0.16
1539746191299,34.71,34.25,0.46,0.16
1539746191500,34.63,34.23,0.40,0.17
1539746191696,34.53,34.29,0.24,0.18
1539746191901,34.43,34.31,0.12,0.19
1539746192102,34.33,34.33,0.00,0.20
1539746192298,34.37,34.29,0.08,0.20
1539746192499,34.43,34.31,0.12,0.21
1539746192695,34.53,34.29,0.24,0.21
1539746192901,34.45,34.23,0.22,0.21
1539746193097,34.37,34.17,0.20,0.22
1539746193297,34.23,34.15,0.08,0.22
1539746193502,34.15,34.17,-0.02,0.22
1539746193699,34.15,34.23,-0.08,0.22
1539746193900,34.13,34.25,-0.12,0.22
1539746194097,34.15,34.25,-0.10,0.22
1539746194301,34.15,34.25,-0.10,0.21
1539746194498,34.15,34.21,-0.06,0.21
1539746194698,34.21,34.23,-0.02,0.20
1539746194895,34.17,34.25,-0.08,0.20
1539746195100,34.25,34.23,0.02,0.19
1539746195297,34.25,34.23,0.02,0.19
1539746195497,34.33,34.13,0.20,0.18
1539746195693,34.33,34.07,0.26,0.18
1539746195898,34.25,34.13,0.12,0.17
1539746196100,34.29,34.09,0.20,0.17
1539746196296,34.33,34.07,0.26,0.16
1539746196500,34.33,34.09,0.24,0.16
1539746196583,0,0,0,0
1539746196698,34.39,34.09,0.30,0.16
1539746196898,34.37,34.13,0.24,0.15
1539746197095,34.37,34.21,0.16,0.15
1539746197299,34.43,34.15,0.28,0.15
1539746197500,34.45,34.17,0.28,0.15
1539746197697,34.51,34.25,0.26,0.15
1539746197897,34.55,34.29,0.26,0.15
1539746198094,34.47,34.21,0.26,0.16
1539746198298,34.39,34.25,0.14,0.16
1539746198495,34.43,34.29,0.14,0.16
1539746198696,34.43,34.29,0.14,0.16
1539746198901,34.51,34.29,0.22,0.16
1539746199097,34.53,34.29,0.24,0.16
1539746199298,34.45,34.25,0.20,0.16
1539746199495,34.47,34.23,0.24,0.16
1539746199695,34.53,34.23,0.30,0.17
1539746199892,34.59,34.25,0.34,0.17
1539746200097,34.55,34.21,0.34,0.17
1539746200297,34.53,34.15,0.38,0.17
1539746200493,34.45,34.23,0.22,0.17
1539746200699,34.39,34.21,0.18,0.18
1539746200895,34.45,34.15,0.30,0.18
1539746201096,34.55,34.15,0.40,0.18
1539746201293,34.61,34.13,0.48,0.19
1539746201493,34.63,34.09,0.54,0.19
1539746201698,34.67,34.09,0.58,0.19
1539746201895,34.59,34.17,0.42,0.20
1539746202096,34.61,34.17,0.44,0.21
1539746202292,34.55,34.23,0.32,0.21
1539746202496,34.67,34.13,0.54,0.22
1539746202693,34.61,34.21,0.40,0.22
1539746202894,34.61,34.25,0.36,0.23
1539746203095,34.53,34.17,0.36,0.24
1539746203291,34.61,34.21,0.40,0.24
1539746203497,34.61,34.15,0.46,0.25
1539746203693,34.59,34.17,0.42,0.26
1539746203894,34.63,34.15,0.48,0.26
1539746204094,34.75,34.25,0.50,0.27
1539746204291,34.77,34.21,0.56,0.27
1539746204496,34.77,34.13,0.64,0.28
1539746204693,34.75,34.25,0.50,0.29
1539746204893,34.69,34.17,0.52,0.30
1539746205098,34.71,34.17,0.54,0.30
1539746205294,34.59,34.15,0.44,0.31
1539746205495,34.53,34.23,0.30,0.32
1539746205691,34.51,34.17,0.34,0.32
1539746205892,34.33,34.17,0.16,0.33
1539746206089,34.31,34.17,0.14,0.33
