1540107777960,37.0,-1.06,-0.66
1540107777961,37.41,38.49,-1.08,-0.67
1540107777961,37.49,38.45,-0.96,-0.68
1540107777961,37.41,38.49,-1.08,-0.69
1540107778009,37.49,38.45,-0.96,-0.69
1540107778013,5
1540107778017,37.43,38.49,-1.06,-0.66
1540107778022,37.41,38.49,-1.08,-0.67
1540107778026,37.49,38.45,-0.96,-0.68
1540107778030,37.41,38.49,-1.08,-0.69
1540107778036,37.49,38.45,-0.96,-0.69
1540107778209,37.43,38.49,-1.06,-0.70
1540107778214,37.45,38.49,-1.04,-0.71
1540107778218,37.51,38.49,-0.98,-0.72
1540107778415,37.51,38.51,-1.00,-0.73
1540107778611,37.51,38.45,-0.94,-0.74
1540107778812,37.49,38.49,-1.00,-0.75
1540107779008,37.51,38.49,-0.98,-0.76
1540107779214,37.55,38.45,-0.90,-0.77
1540107779410,37.51,38.49,-0.98,-0.78
1540107779611,37.53,38.49,-0.96,-0.79
1540107779808,37.53,38.41,-0.88,-0.79
1540107780012,37.55,38.37,-0.82,-0.80
1540107780213,37.55,38.41,-0.86,-0.81
1540107780410,37.53,38.35,-0.82,-0.81
1540107780610,37.51,38.37,-0.86,-0.82
1540107780807,37.55,38.33,-0.78,-0.82
1540107781011,37.49,38.33,-0.84,-0.83
1540107781208,37.61,38.35,-0.74,-0.83
1540107781409,37.51,38.29,-0.78,-0.83
1540107781606,37.55,38.29,-0.74,-0.84
1540107781810,37.55,38.29,-0.74,-0.84
1540107782007,37.51,38.35,-0.84,-0.84
1540107782207,37.49,38.33,-0.84,-0.84
1540107782413,37.49,38.29,-0.80,-0.84
1540107782609,37.53,38.35,-0.82,-0.84
1540107782810,37.51,38.29,-0.78,-0.84
1540107783006,37.51,38.29,-0.78,-0.84
1540107783207,37.53,38.27,-0.74,-0.84
1540107783408,37.53,38.29,-0.76,-0.84
1540107783609,37.55,38.29,-0.74,-0.84
1540107783805,37.51,38.33,-0.82,-0.84
1540107784006,37.45,38.43,-0.98,-0.84
1540107784211,37.51,38.43,-0.92,-0.84
1540107784407,37.55,38.43,-0.88,-0.84
1540107784608,37.49,38.37,-0.88,-0.84
1540107784804,37.51,38.33,-0.82,-0.84
1540107785009,37.45,38.43,-0.98,-0.84
1540107785206,37.53,38.45,-0.92,-0.84
1540107785407,37.59,38.33,-0.74,-0.84
1540107785603,37.53,38.37,-0.84,-0.84
1540107785717,0,0,0,0
1540107785807,37.49,38.41,-0.92,-0.84
1540107786005,37.53,38.35,-0.82,-0.84
1540107786205,37.43,38.37,-0.94,-0.84
1540107786406,37.53,38.41,-0.88,-0.84
1540107786602,37.51,38.37,-0.86,-0.84
1540107786808,37.53,38.41,-0.88,-0.85
1540107787004,37.51,38.45,-0.94,-0.85
1540107787205,37.55,38.55,-1.00,-0.85
1540107787401,37.61,38.45,-0.84,-0.85
1540107787606,37.61,38.55,-0.94,-0.85
1540107787807,37.63,38.51,-0.88,-0.85
1540107788004,37.61,38.55,-0.94,-0.86
1540107788204,37.55,38.55,-1.00,-0.86
1540107788405,37.55,38.53,-0.98,-0.86
1540107788605,37.51,38.53,-1.02,-0.86
1540107788802,37.53,38.45,-0.92,-0.86
1540107789003,37.51,38.53,-1.02,-0.87
1540107789199,37.51,38.51,-1.00,-0.87
1540107789404,37.55,38.55,-1.00,-0.87
1540107789605,37.55,38.53,-0.98,-0.88
