1540106908159,38,-1.40,-1.59
1540106908160,36.93,38.27,-1.34,-1.59
1540106908264,36.93,38.13,-1.20,-1.58
1540106908460,36.85,38.13,-1.28,-1.57
1540106908665,36.81,38.13,-1.32,-1.57
1540106908861,36.81,38.17,-1.36,-1.56
1540106909063,36.79,38.13,-1.34,-1.55
1540106909259,36.81,38.05,-1.24,-1.55
1540106909464,36.79,38.09,-1.30,-1.54
1540106909665,36.79,38.09,-1.30,-1.53
1540106909861,36.77,38.09,-1.32,-1.53
1540106910062,36.77,38.05,-1.28,-1.52
1540106910259,36.79,38.09,-1.30,-1.51
1540106910463,36.73,38.09,-1.36,-1.50
1540106910660,36.81,38.09,-1.28,-1.50
1540106910861,36.77,38.09,-1.32,-1.49
1540106911057,36.77,38.09,-1.32,-1.48
1540106911262,36.79,38.09,-1.30,-1.47
1540106911464,36.77,38.11,-1.34,-1.47
1540106911660,36.77,38.09,-1.32,-1.46
1540106911861,36.81,38.09,-1.28,-1.46
1540106912057,36.79,38.05,-1.26,-1.45
1540106912262,36.79,38.11,-1.32,-1.44
1540106912458,36.89,38.25,-1.36,-1.44
1540106912659,36.95,38.35,-1.40,-1.43
1540106912864,36.93,38.43,-1.50,-1.42
1540106913061,37.01,38.49,-1.48,-1.42
1540106913261,37.03,38.53,-1.50,-1.41
1540106913457,37.11,38.53,-1.42,-1.41
1540106913659,37.19,38.59,-1.40,-1.41
1540106913863,37.11,38.61,-1.50,-1.41
1540106914060,37.17,38.59,-1.42,-1.41
1540106914261,37.17,38.61,-1.44,-1.40
1540106914457,37.19,38.63,-1.44,-1.40
1540106914663,37.19,38.63,-1.44,-1.40
1540106914859,37.27,38.61,-1.34,-1.40
1540106915060,37.21,38.59,-1.38,-1.40
1540106915260,37.17,38.59,-1.42,-1.40
1540106915456,37.21,38.49,-1.28,-1.40
1540106915661,37.19,38.35,-1.16,-1.40
1540106915858,37.09,38.25,-1.16,-1.40
1540106916058,36.97,38.09,-1.12,-1.40
1540106916259,36.93,38.09,-1.16,-1.39
1540106916460,36.93,38.01,-1.08,-1.39
1540106916660,36.89,38.11,-1.22,-1.39
1540106916857,36.95,38.17,-1.22,-1.38
1540106917058,36.93,38.25,-1.32,-1.38
1540106917255,36.95,38.27,-1.32,-1.37
1540106917460,36.97,38.33,-1.36,-1.37
1540106917659,37.05,38.37,-1.32,-1.36
1540106917856,37.03,38.41,-1.38,-1.36
1540106918062,37.11,38.45,-1.34,-1.36
1540106918258,37.03,38.49,-1.46,-1.36
1540106918459,37.09,38.51,-1.42,-1.35
1540106918656,37.05,38.51,-1.46,-1.35
1540106918856,37.13,38.53,-1.40,-1.35
1540106919061,37.13,38.51,-1.38,-1.35
1540106919258,37.17,38.53,-1.36,-1.35
1540106919459,37.13,38.53,-1.40,-1.35
1540106919655,37.17,38.51,-1.34,-1.35
1540106919860,37.11,38.51,-1.40,-1.35
1540106920055,37.21,38.45,-1.24,-1.35
1540106920257,37.21,38.37,-1.16,-1.35
1540106920458,37.19,38.37,-1.18,-1.35
1540106920654,37.17,38.53,-1.36,-1.35
1540106920859,37.11,38.33,-1.22,-1.35
1540106921055,37.09,38.05,-0.96,-1.35
1540106921256,37.17,38.09,-0.92,-1.35
1540106921453,37.21,38.11,-0.90,-1.34
1540106921658,37.17,37.99,-0.82,-1.34
1540106921858,37.13,37.91,-0.78,-1.33
1540106922055,37.13,37.83,-0.70,-1.32
1540106922260,37.25,37.85,-0.60,-1.31
1540106922457,37.17,37.79,-0.62,-1.30
1540106922657,37.17,37.77,-0.60,-1.29
1540106922854,37.11,37.79,-0.68,-1.28
1540106923058,37.17,37.75,-0.58,-1.26
1540106923255,37.19,37.77,-0.58,-1.24
1540106923456,37.17,37.75,-0.58,-1.23
1540106923652,37.11,37.69,-0.58,-1.21
1540106923857,37.09,37.69,-0.60,-1.19
1540106924057,37.03,37.63,-0.60,-1.17
1540106924254,36.97,37.63,-0.66,-1.16
1540106924459,36.95,37.55,-0.60,-1.14
1540106924656,36.95,37.59,-0.64,-1.12
1540106924856,36.95,37.63,-0.68,-1.10
1540106925053,36.95,37.71,-0.76,-1.08
1540106925254,37.01,37.83,-0.82,-1.07
1540106925450,37.03,37.85,-0.82,-1.05
1540106925655,37.11,37.93,-0.82,-1.04
1540106925856,37.05,37.95,-0.90,-1.02
1540106926053,37.19,38.03,-0.84,-1.01
1540106926257,37.11,38.05,-0.94,-1.00
1540106926454,37.11,38.01,-0.90,-0.99
1540106926655,37.11,38.03,-0.92,-0.98
1540106926851,37.17,38.09,-0.92,-0.97
1540106927051,37.17,38.09,-0.92,-0.96
1540106927257,37.17,38.11,-0.94,-0.96
1540106927453,37.21,38.11,-0.90,-0.95
1540106927654,37.19,38.11,-0.92,-0.94
1540106927851,37.19,38.09,-0.90,-0.94
1540106928055,37.11,38.11,-1.00,-0.94
1540106928252,37.21,38.09,-0.88,-0.93
1540106928453,37.19,38.13,-0.94,-0.93
1540106928653,37.17,38.09,-0.92,-0.93
1540106928850,37.17,38.09,-0.92,-0.92
1540106929054,37.21,38.05,-0.84,-0.92
1540106929251,37.13,38.09,-0.96,-0.92
1540106929452,37.11,38.09,-0.98,-0.92
1540106929657,37.17,38.13,-0.96,-0.92
1540106929693,0,0,0,0
