Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
1540104607030,35.89,38.55,-2.66,-2.63
1540104607030,35.85,38.63,-2.78,-2.63
1540104607034,35.83,38.55,-2.72,-2.62
1540104607038,35.91,38.55,-2.64,-2.62
1540104607042,35.85,38.59,-2.74,-2.63
1540104607215,35.89,38.55,-2.66,-2.63
1540104607219,35.85,38.63,-2.78,-2.63
1540104607223,35.91,38.59,-2.68,-2.63
1540104607227,35.89,38.59,-2.7,-2.64
1540104607415,35.91,38.63,-2.72,-2.64
1540104607616,35.85,38.61,-2.76,-2.65
1540104607813,35.85,38.53,-2.68,-2.65
1540104608014,35.85,38.55,-2.7,-2.65
1540104608214,35.83,38.59,-2.76,-2.65
1540104608411,35.81,38.53,-2.72,-2.66
1540104608616,35.77,38.61,-2.84,-2.66
1540104608816,35.83,38.53,-2.7,-2.66
1540104609013,35.91,38.53,-2.62,-2.66
1540104609214,35.83,38.59,-2.76,-2.67
1540104609415,35.89,38.59,-2.7,-2.67
1540104609611,35.89,38.59,-2.7,-2.67
1540104609812,35.83,38.61,-2.78,-2.67
1540104610017,35.85,38.53,-2.68,-2.67
1540104610213,35.81,38.53,-2.72,-2.68
1540104610414,35.91,38.61,-2.7,-2.68
1540104610614,35.91,38.53,-2.62,-2.68
1540104610811,35.89,38.61,-2.72,-2.69
1540104611012,35.83,38.59,-2.76,-2.69
1540104611217,35.89,38.53,-2.64,-2.69
1540104611413,35.89,38.59,-2.7,-2.69
1540104611613,35.81,38.61,-2.8,-2.69
1540104611814,35.81,38.67,-2.86,-2.69
1540104612011,35.81,38.63,-2.82,-2.69
1540104612212,35.83,38.61,-2.78,-2.7
1540104612413,35.81,38.63,-2.82,-2.7
1540104612609,35.81,38.63,-2.82,-2.7
1540104612814,35.83,38.63,-2.8,-2.71
1540104613015,35.81,38.53,-2.72,-2.71
1540104613211,35.89,38.61,-2.72,-2.71
1540104613412,35.85,38.59,-2.74,-2.71
1540104613608,35.89,38.67,-2.78,-2.71
1540104613810,35.83,38.67,-2.84,-2.72
1540104614014,35.85,38.63,-2.78,-2.72
1540104614211,35.89,38.63,-2.74,-2.72
1540104614412,35.89,38.63,-2.74,-2.72
1540104614612,35.85,38.61,-2.76,-2.72
1540104614809,35.91,38.61,-2.7,-2.72
1540104615009,35.89,38.55,-2.66,-2.72
1540104615214,35.83,38.63,-2.8,-2.73
1540104615411,35.85,38.63,-2.78,-2.73
1540104615612,35.85,38.59,-2.74,-2.73
1540104615812,35.83,38.63,-2.8,-2.73
1540104616008,35.83,38.63,-2.8,-2.73
1540104616210,35.85,38.67,-2.82,-2.73
1540104616414,35.89,38.53,-2.64,-2.73
1540104616607,35.83,38.59,-2.76,-2.74
1540104616812,35.85,38.61,-2.76,-2.74
1540104617012,35.81,38.55,-2.74,-2.74
1540104617209,35.85,38.67,-2.82,-2.74
1540104617409,35.85,38.55,-2.7,-2.74
1540104617610,35.81,38.59,-2.78,-2.74
1540104617807,35.91,38.67,-2.76,-2.74
1540104618012,35.89,38.67,-2.78,-2.74
1540104618208,35.85,38.59,-2.74,-2.74
1540104618409,35.83,38.61,-2.78,-2.74
1540104618610,35.85,38.59,-2.74,-2.75
1540104618806,35.85,38.67,-2.82,-2.75
1540104619007,35.83,38.63,-2.8,-2.75
1540104619212,35.85,38.55,-2.7,-2.75
1540104619408,35.83,38.55,-2.72,-2.75
1540104619609,35.85,38.63,-2.78,-2.75
1540104619810,35.85,38.63,-2.78,-2.75
1540104620006,35.83,38.63,-2.8,-2.75
1540104620207,35.85,38.63,-2.78,-2.75
1540104620412,35.83,38.59,-2.76,-2.75
1540104620604,35.85,38.63,-2.78,-2.75
1540104620809,35.85,38.63,-2.78,-2.75
1540104621010,35.89,38.63,-2.74,-2.75
1540104621206,35.89,38.59,-2.7,-2.75
1540104621408,35.93,38.55,-2.62,-2.75
1540104621612,35.85,38.67,-2.82,-2.75
1540104621809,35.83,38.59,-2.76,-2.75
1540104622009,35.85,38.67,-2.82,-2.75
1540104622210,35.83,38.69,-2.86,-2.75
1540104622407,35.85,38.61,-2.76,-2.75
1540104622608,35.83,38.59,-2.76,-2.75
1540104622804,35.91,38.61,-2.7,-2.76
1540104623005,35.83,38.59,-2.76,-2.75
1540104623209,35.81,38.55,-2.74,-2.76
1540104623406,35.85,38.67,-2.82,-2.75
1540104623607,35.81,38.59,-2.78,-2.76
1540104623807,35.85,38.61,-2.76,-2.76
1540104624003,35.89,38.59,-2.7,-2.75
1540104624205,35.77,38.59,-2.82,-2.76
1540104624410,35.89,38.59,-2.7,-2.75
1540104624606,35.77,38.63,-2.86,-2.76
1540104624807,35.85,38.63,-2.78,-2.76
