1539849896476,35.
1539849896476,7,8.36,8.27
1539849896476,35.81,27.47,8.34,8.27
1539849896492,35.85,27.47,8.38,8.27
1539849896492,35.83,27.41,8.42,8.27
1539849896492,35.89,27.49,8.40,8.26
1539849896523,35.93,27.55,8.38,8.27
1539849896523,7,8.36,8.27
1539849896691,35.81,27.47,8.34,8.27
1539849896691,35.85,27.47,8.38,8.27
1539849896691,35.83,27.41,8.42,8.27
1539849896691,35.89,27.49,8.40,8.26
1539849896707,35.93,27.55,8.38,8.27
1539849896707,35.85,27.59,8.26,8.27
1539849896878,35.85,27.53,8.32,8.27
1539849896878,35.89,27.55,8.34,8.27
1539849897082,35.85,27.61,8.24,8.27
1539849897285,35.85,27.61,8.24,8.28
1539849897488,35.85,27.59,8.26,8.27
1539849897675,35.85,27.55,8.30,8.27
1539849897878,35.89,27.49,8.40,8.27
1539849898082,35.89,27.49,8.40,8.27
1539849898285,35.85,27.43,8.42,8.28
1539849898472,35.89,27.49,8.40,8.27
1539849898675,35.83,27.47,8.36,8.28
1539849898878,35.85,27.49,8.36,8.28
1539849899082,35.83,27.47,8.36,8.27
1539849899285,35.89,27.47,8.42,8.28
1539849899472,35.81,27.53,8.28,8.28
1539849899675,35.85,27.53,8.32,8.28
1539849899879,35.85,27.53,8.32,8.29
1539849900082,35.83,27.55,8.28,8.28
1539849900269,35.83,27.43,8.40,8.29
1539849900488,35.85,27.41,8.44,8.28
1539849900676,35.89,27.49,8.40,8.29
1539849900879,35.85,27.43,8.42,8.29
1539849901082,35.83,27.53,8.30,8.29
1539849901285,35.81,27.43,8.38,8.30
1539849901488,35.85,27.43,8.42,8.30
1539849901676,35.85,27.49,8.36,8.30
1539849901879,35.85,27.53,8.32,8.30
1539849902082,35.85,27.49,8.36,8.30
1539849902285,35.83,27.49,8.34,8.31
1539849902473,35.85,27.53,8.32,8.31
1539849902676,35.85,27.49,8.36,8.31
1539849902879,35.83,27.55,8.28,8.32
1539849903083,35.91,27.53,8.38,8.31
1539849903270,35.89,27.53,8.36,8.32
1539849903473,35.93,27.55,8.38,8.31
1539849903676,35.85,27.49,8.36,8.32
1539849903879,35.85,27.53,8.32,8.32
1539849904083,35.85,27.49,8.36,8.32
1539849904270,35.85,27.49,8.36,8.33
1539849904473,35.85,27.47,8.38,8.32
1539849904676,35.83,27.49,8.34,8.32
1539849904879,35.85,27.43,8.42,8.33
1539849905067,35.81,27.53,8.28,8.32
1539849905270,35.85,27.49,8.36,8.33
1539849905473,35.81,27.49,8.32,8.32
1539849905676,35.83,27.41,8.42,8.33
1539849905879,35.83,27.53,8.30,8.33
1539849906083,35.81,27.53,8.28,8.33
1539849906270,35.83,27.49,8.34,8.33
1539849906473,35.83,27.49,8.34,8.33
1539849906677,35.89,27.55,8.34,8.33
1539849906880,35.83,27.49,8.34,8.33
1539849907083,35.81,27.53,8.28,8.33
1539849907270,35.83,27.59,8.24,8.33
1539849907474,35.89,27.49,8.40,8.33
1539849907677,35.81,27.49,8.32,8.33
1539849907880,35.83,27.53,8.30,8.33
1539849908068,35.85,27.49,8.36,8.32
1539849908271,35.83,27.49,8.34,8.33
1539849908474,35.83,27.59,8.24,8.33
1539849908677,35.77,27.53,8.24,8.33
1539849908864,35.83,27.53,8.30,8.33
