1539314770413,37.79,-2.60,-2.62
1539314770445,35.13,37.77,-2.64,-2.62
1539314770483,3
1539314770561,35.21,37.79,-2.58,-2.63
1539314770576,35.19,37.77,-2.58,-2.63
1539314770576,35.13,37.77,-2.64,-2.62
1539314770576,35.19,37.79,-2.60,-2.62
1539314770592,35.13,37.77,-2.64,-2.62
1539314770592,3
1539314770592,35.21,37.79,-2.58,-2.63
1539314770592,35.19,37.77,-2.58,-2.63
1539314770769,35.13,37.77,-2.64,-2.62
1539314770785,35.19,37.79,-2.60,-2.62
1539314770785,35.13,37.77,-2.64,-2.62
1539314770785,35.15,37.75,-2.60,-2.62
1539314770785,35.19,37.79,-2.60,-2.62
1539314770800,35.09,37.77,-2.68,-2.62
1539314770973,35.21,37.77,-2.56,-2.62
1539314771178,35.19,37.77,-2.58,-2.62
1539314771360,35.21,37.69,-2.48,-2.62
1539314771578,35.29,37.71,-2.42,-2.62
1539314771769,35.23,37.75,-2.52,-2.62
1539314771973,35.21,37.71,-2.50,-2.61
1539314772160,35.21,37.75,-2.54,-2.61
1539314772368,35.21,37.77,-2.56,-2.61
1539314772571,35.21,37.75,-2.54,-2.61
1539314772769,35.23,37.75,-2.52,-2.61
1539314772974,35.19,37.79,-2.60,-2.60
1539314773177,35.19,37.79,-2.60,-2.60
1539314773370,35.19,37.77,-2.58,-2.60
1539314773573,35.15,37.79,-2.64,-2.60
1539314773769,35.19,37.79,-2.60,-2.60
1539314773973,35.21,37.75,-2.54,-2.60
1539314774175,35.21,37.77,-2.56,-2.59
1539314774368,35.21,37.79,-2.58,-2.60
1539314774571,35.21,37.75,-2.54,-2.59
1539314774769,35.27,37.77,-2.50,-2.59
1539314774974,35.21,37.77,-2.56,-2.59
1539314775162,35.21,37.79,-2.58,-2.59
1539314775365,35.19,37.75,-2.56,-2.59
1539314775568,35.21,37.71,-2.50,-2.59
1539314775770,35.15,37.69,-2.54,-2.59
1539314775973,35.13,37.75,-2.62,-2.59
1539314776170,35.15,37.77,-2.62,-2.58
1539314776371,35.19,37.79,-2.60,-2.58
1539314776559,35.09,37.75,-2.66,-2.58
1539314776771,35.13,37.75,-2.62,-2.58
1539314776974,35.13,37.77,-2.64,-2.58
1539314777161,35.09,37.75,-2.66,-2.58
1539314777364,35.15,37.79,-2.64,-2.58
1539314777567,35.23,37.79,-2.56,-2.58
1539314777769,35.19,37.77,-2.58,-2.58
1539314777958,35.13,37.79,-2.66,-2.59
1539314778161,35.19,37.83,-2.64,-2.58
1539314778365,35.21,37.77,-2.56,-2.59
1539314778568,35.21,37.77,-2.56,-2.59
1539314778775,35.23,37.75,-2.52,-2.59
1539314778958,35.15,37.75,-2.60,-2.59
1539314779161,35.13,37.71,-2.58,-2.59
1539314779356,35.09,37.77,-2.68,-2.59
1539314779574,35.13,37.85,-2.72,-2.59
1539314779769,35.15,37.95,-2.80,-2.59
1539314779959,35.15,37.99,-2.84,-2.59
1539314780162,35.19,38.17,-2.98,-2.59
1539314780365,35.19,38.25,-3.06,-2.60
1539314780568,35.15,38.25,-3.10,-2.60
1539314780769,35.15,38.41,-3.26,-2.61
