Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
1540343369882,37.95,33.47,4.48,4.68
1540343369889,37.95,33.51,4.44,4.67
1540343369890,38.01,33.49,4.52,4.66
1540343369895,37.99,33.55,4.44,4.65
1540343369903,37.95,33.57,4.38,4.64
1540343369909,37.95,33.47,4.48,4.68
1540343370086,37.95,33.51,4.44,4.67
1540343370090,38.01,33.49,4.52,4.66
1540343370094,37.99,33.55,4.44,4.65
1540343370098,37.95,33.57,4.38,4.64
1540343370102,38.01,33.63,4.38,4.64
1540343370106,37.95,33.61,4.34,4.63
1540343370287,37.91,33.63,4.28,4.62
1540343370483,37.93,33.55,4.38,4.61
1540343370684,37.95,33.57,4.38,4.6
1540343370881,37.93,33.61,4.32,4.59
1540343371085,37.95,33.49,4.46,4.58
1540343371286,37.93,33.43,4.5,4.58
1540343371483,37.93,33.47,4.46,4.57
1540343371688,37.93,33.43,4.5,4.56
1540343371884,37.95,33.39,4.56,4.56
1540343372085,37.95,33.29,4.66,4.55
1540343372286,37.93,33.33,4.6,4.54
1540343372483,37.91,33.27,4.64,4.54
1540343372688,37.95,33.35,4.6,4.54
1540343372884,37.91,33.41,4.5,4.54
1540343373085,37.91,33.47,4.44,4.53
1540343373285,37.93,33.51,4.42,4.53
1540343373482,37.87,33.49,4.38,4.53
1540343373687,37.93,33.63,4.3,4.53
1540343373887,37.91,33.55,4.36,4.53
1540343374084,37.91,33.55,4.36,4.52
1540343374285,37.91,33.57,4.34,4.52
1540343374481,37.93,33.49,4.44,4.52
1540343374686,37.95,33.51,4.44,4.51
1540343374883,37.95,33.39,4.56,4.51
1540343375084,37.93,33.47,4.46,4.5
1540343375284,37.93,33.35,4.58,4.5
1540343375481,37.87,33.47,4.4,4.5
1540343375686,37.91,33.47,4.44,4.49
1540343375882,37.93,33.43,4.5,4.49
1540343376083,37.87,33.35,4.52,4.49
1540343376284,37.85,33.41,4.44,4.49
1540343376480,37.91,33.33,4.58,4.49
1540343376685,37.85,33.27,4.58,4.48
1540343376889,37.91,33.35,4.56,4.49
1540343377083,37.85,33.21,4.64,4.48
1540343377284,37.93,33.25,4.68,4.48
1540343377480,37.93,33.19,4.74,4.49
1540343377685,37.87,33.19,4.68,4.49
1540343377881,37.91,33.07,4.84,4.49
1540343378082,37.85,33.07,4.78,4.49
1540343378283,37.87,33.11,4.76,4.5
1540343378479,37.91,33.11,4.8,4.5
1540343378683,37.87,33.05,4.82,4.51
1540343378881,37.87,33.11,4.76,4.52
1540343379081,37.91,32.99,4.92,4.52
1540343379282,37.91,32.97,4.94,4.53
1540343379479,37.85,32.99,4.86,4.54
1540343379683,37.87,32.85,5.02,4.54
1540343379880,37.85,32.95,4.9,4.56
1540343380080,37.85,32.97,4.88,4.56
1540343380281,37.87,33.03,4.84,4.58
1540343380478,37.83,33.11,4.72,4.59
1540343380683,37.87,33.13,4.74,4.59
1540343380879,37.87,33.17,4.7,4.61
1540343381081,37.93,33.07,4.86,4.61
1540343381280,37.91,33.07,4.84,4.62
1540343381481,37.85,33.17,4.68,4.63
1540343381682,37.85,33.19,4.66,4.64
1540343381878,37.85,33.25,4.6,4.65
1540343382080,37.83,33.27,4.56,4.65
1540343382284,37.87,33.17,4.7,4.66
1540343382481,37.91,33.17,4.74,4.66
1540343382682,37.83,33.13,4.7,4.66
1540343382878,37.85,33.03,4.82,4.67
1540343383079,37.85,33.03,4.82,4.67
1540343383283,37.79,32.95,4.84,4.68
1540343383480,37.83,33.03,4.8,4.68
1540343383681,37.83,32.99,4.84,4.68
1540343383877,37.91,33.07,4.84,4.69
1540343384078,37.83,33.17,4.66,4.69
1540343384283,37.83,33.25,4.58,4.7
1540343384479,37.83,33.39,4.44,4.7
1540343384680,37.85,33.39,4.46,4.7
1540343384877,37.79,33.47,4.32,4.7
1540343385078,37.79,33.41,4.38,4.7
1540343385282,37.79,33.27,4.52,4.7
1540343385479,37.83,33.05,4.78,4.7
1540343385679,37.83,33.03,4.8,4.69
1540343385876,37.79,32.99,4.8,4.69
1540343386077,37.83,33.05,4.78,4.69
1540343386281,37.83,33.03,4.8,4.69
1540343386478,37.79,33.03,4.76,4.69
