1540344009661,3.83,5.28,4.97
1540344009776,38.09,32.77,5.32,5.00
1540344009781,38.11,32.71,5.40,5.03
1540344009785,306.04,4.83
1540344009789,38.05,33.03,5.02,4.89
1540344009793,38.03,32.85,5.18,4.94
1540344009797,38.11,32.83,5.28,4.97
1540344009801,38.09,32.77,5.32,5.00
1540344009974,38.11,32.71,5.40,5.03
1540344009978,306.04,4.83
1540344009982,38.05,33.03,5.02,4.89
1540344009986,38.03,32.85,5.18,4.94
1540344009990,38.11,32.83,5.28,4.97
1540344009994,38.09,32.77,5.32,5.00
1540344009998,38.11,32.71,5.40,5.03
1540344010174,38.09,32.71,5.38,5.06
1540344010178,38.11,32.69,5.42,5.08
1540344010183,38.09,32.71,5.38,5.11
1540344010379,38.09,32.89,5.20,5.13
1540344010575,38.11,32.99,5.12,5.15
1540344010776,38.11,33.29,4.82,5.16
1540344010973,38.05,33.33,4.72,5.18
1540344011177,38.09,33.39,4.70,5.19
1540344011375,38.11,33.43,4.68,5.19
1540344011575,38.05,33.41,4.64,5.20
1540344011776,38.05,33.35,4.70,5.20
1540344011972,38.05,33.39,4.66,5.20
1540344012178,38.11,33.33,4.78,5.20
1540344012374,38.11,33.39,4.72,5.19
1540344012574,38.17,33.39,4.78,5.19
1540344012771,38.05,33.41,4.64,5.18
1540344012976,38.11,33.51,4.60,5.17
1540344013173,38.09,33.51,4.58,5.16
1540344013373,38.13,33.55,4.58,5.15
1540344013578,38.03,33.47,4.56,5.14
1540344013775,38.13,33.41,4.72,5.12
1540344013975,38.09,33.35,4.74,5.11
1540344014172,38.11,33.35,4.76,5.10
1540344014372,38.09,33.29,4.80,5.09
1540344014569,38.05,33.33,4.72,5.08
1540344014774,38.13,33.33,4.80,5.06
1540344014971,38.11,33.35,4.76,5.05
1540344015171,38.05,33.41,4.64,5.04
1540344015376,38.05,33.47,4.58,5.03
1540344015572,38.05,33.41,4.64,5.02
1540344015773,38.09,33.35,4.74,5.00
1540344015970,38.09,33.35,4.74,5.00
1540344016171,38.05,33.43,4.62,4.98
1540344016367,38.03,33.39,4.64,4.97
1540344016572,38.11,33.27,4.84,4.96
1540344016774,38.05,33.19,4.86,4.95
1540344016969,38.09,33.17,4.92,4.94
1540344017147,0,0,0,0
1540344017173,38.05,33.25,4.80,4.93
1540344017371,38.05,33.33,4.72,4.92
1540344017571,38.09,33.41,4.68,4.92
1540344017767,38.05,33.49,4.56,4.91
1540344017973,38.17,33.55,4.62,4.90
1540344018170,38.05,33.55,4.50,4.89
1540344018370,38.09,33.51,4.58,4.88
1540344018571,38.09,33.51,4.58,4.87
1540344018768,38.05,33.55,4.50,4.86
1540344018972,38.05,33.49,4.56,4.85
1540344019169,38.03,33.39,4.64,4.84
1540344019369,38.09,33.43,4.66,4.83
1540344019566,38.09,33.47,4.62,4.83
1540344019771,38.09,33.51,4.58,4.81
1540344019972,38.13,33.49,4.64,4.81
1540344020168,38.09,33.49,4.60,4.80
1540344020369,38.09,33.41,4.68,4.79
1540344020566,38.03,33.33,4.70,4.78
1540344020770,38.05,33.25,4.80,4.77
