1540335380627,35.,5.00,4.22
1540335380627,35.27,30.31,4.96,4.24
1540335380627,35.27,30.31,4.96,4.27
1540335380772,35.29,30.37,4.92,4.29
1540335380969,35.27,30.31,4.96,4.31
1540335381169,35.27,30.37,4.90,4.34
1540335381370,35.29,30.31,4.98,4.36
1540335381566,35.15,30.31,4.84,4.39
1540335381781,35.19,30.31,4.88,4.41
1540335381972,35.27,30.31,4.96,4.43
1540335382169,35.23,30.39,4.84,4.46
1540335382370,35.23,30.37,4.86,4.47
1540335382570,35.29,30.39,4.90,4.49
1540335382767,35.29,30.39,4.90,4.51
1540335382967,35.23,30.45,4.78,4.53
1540335383164,35.27,30.37,4.90,4.55
1540335383369,35.27,30.39,4.88,4.56
1540335383570,35.23,30.45,4.78,4.58
1540335383766,35.27,30.39,4.88,4.60
1540335383967,35.27,30.51,4.76,4.61
1540335384167,35.23,30.43,4.80,4.62
1540335384365,35.19,30.47,4.72,4.63
1540335384569,35.19,30.45,4.74,4.64
1540335384770,35.27,30.43,4.84,4.66
1540335384966,35.21,30.43,4.78,4.66
1540335385167,35.27,30.47,4.80,4.68
1540335385364,35.27,30.43,4.84,4.68
1540335385564,35.27,30.43,4.84,4.69
1540335385769,35.27,30.43,4.84,4.70
1540335385966,35.23,30.45,4.78,4.70
1540335386167,35.29,30.39,4.90,4.71
1540335386367,35.29,30.51,4.78,4.72
1540335386564,35.29,30.39,4.90,4.72
1540335386769,35.23,30.37,4.86,4.73
1540335386965,35.29,30.45,4.84,4.73
1540335387166,35.19,30.33,4.86,4.74
1540335387367,35.23,30.37,4.86,4.74
1540335387563,35.31,30.45,4.86,4.75
1540335387768,35.27,30.43,4.84,4.76
1540335387969,35.23,30.45,4.78,4.76
1540335388165,35.23,30.45,4.78,4.77
1540335388366,35.29,30.53,4.76,4.77
1540335388562,35.29,30.63,4.66,4.77
1540335388763,35.29,30.65,4.64,4.78
1540335388968,35.29,30.77,4.52,4.78
1540335389164,35.35,30.73,4.62,4.78
1540335389365,35.37,30.73,4.64,4.78
1540335389566,35.35,30.79,4.56,4.78
1540335389763,35.39,30.79,4.60,4.78
1540335389963,35.37,30.77,4.60,4.78
1540335390168,35.29,30.67,4.62,4.78
1540335390365,35.31,30.71,4.60,4.77
1540335390565,35.35,30.71,4.64,4.77
1540335390762,35.31,30.67,4.64,4.77
1540335390963,35.29,30.57,4.72,4.76
1540335391167,35.29,30.57,4.72,4.76
1540335391365,35.29,30.51,4.78,4.76
1540335391565,35.31,30.57,4.74,4.76
1540335391762,35.29,30.51,4.78,4.76
1540335391962,35.29,30.53,4.76,4.75
1540335392163,35.27,30.53,4.74,4.75
1540335392360,35.27,30.57,4.70,4.75
1540335392563,35.27,30.57,4.70,4.75
1540335392764,35.21,30.53,4.68,4.75
1540335392961,35.29,30.57,4.72,4.75
1540335393162,35.27,30.57,4.70,4.75
1540335393362,35.31,30.53,4.78,4.75
1540335393559,35.31,30.47,4.84,4.75
1540335393765,35.31,30.63,4.68,4.75
1540335393961,35.29,30.57,4.72,4.75
1540335394162,35.27,30.47,4.80,4.75
1540335394362,35.35,30.47,4.88,4.74
1540335394559,35.27,30.53,4.74,4.75
1540335394764,35.31,30.47,4.84,4.75
1540335394965,35.35,30.51,4.84,4.74
1540335395161,35.31,30.45,4.86,4.75
1540335395362,35.31,30.45,4.86,4.75
1540335395558,35.27,30.51,4.76,4.75
1540335395759,35.29,30.45,4.84,4.75
1540335395964,35.23,30.53,4.70,4.75
1540335396160,35.31,30.53,4.78,4.76
1540335396361,35.31,30.51,4.80,4.76
1540335396561,35.31,30.59,4.72,4.76
1540335396758,35.31,30.57,4.74,4.76
1540335396963,35.29,30.59,4.70,4.76
1540335397159,35.31,30.57,4.74,4.76
1540335397360,35.29,30.57,4.72,4.76
1540335397561,35.31,30.57,4.74,4.76
1540335397758,35.29,30.59,4.70,4.76
