Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
1539818826143,34.31,34.51,-0.2,-0.23
1539818826159,34.25,34.51,-0.26,-0.23
1539818826174,34.29,34.53,-0.24,-0.23
1539818826346,34.29,34.53,-0.24,-0.23
1539818826549,34.31,34.53,-0.22,-0.24
1539818826752,34.31,34.51,-0.2,-0.24
1539818826940,34.25,34.47,-0.22,-0.24
1539818827143,34.29,34.47,-0.18,-0.24
1539818827346,34.23,34.45,-0.22,-0.24
1539818827549,34.29,34.51,-0.22,-0.24
1539818827737,34.23,34.47,-0.24,-0.24
1539818827940,34.31,34.47,-0.16,-0.24
1539818828143,34.25,34.47,-0.22,-0.24
1539818828346,34.23,34.45,-0.22,-0.24
1539818828549,34.29,34.47,-0.18,-0.24
1539818828737,34.25,34.51,-0.26,-0.24
1539818828940,34.25,34.51,-0.26,-0.24
1539818829143,34.21,34.51,-0.3,-0.24
1539818829346,34.25,34.51,-0.26,-0.24
1539818829549,34.29,34.51,-0.22,-0.24
1539818829737,34.25,34.53,-0.28,-0.24
1539818829940,34.21,34.51,-0.3,-0.23
1539818830143,34.29,34.47,-0.18,-0.23
1539818830347,34.23,34.43,-0.2,-0.23
1539818830534,34.25,34.45,-0.2,-0.23
1539818830737,34.25,34.39,-0.14,-0.23
1539818830940,34.17,34.39,-0.22,-0.23
1539818831143,34.21,34.39,-0.18,-0.23
1539818831346,34.15,34.39,-0.24,-0.23
1539818831534,34.21,34.43,-0.22,-0.23
1539818831738,34.23,34.39,-0.16,-0.23
1539818831941,34.29,34.33,-0.04,-0.23
1539818832144,34.25,34.37,-0.12,-0.23
1539818832347,34.33,34.43,-0.1,-0.23
1539818832534,34.37,34.53,-0.16,-0.22
1539818832738,34.33,34.63,-0.3,-0.22
1539818832941,34.47,34.67,-0.2,-0.22
1539818833144,34.75,34.71,0.04,-0.22
1539818833347,34.99,34.75,0.24,-0.22
1539818833535,35.27,34.67,0.6,-0.21
1539818833738,35.51,34.59,0.92,-0.21
1539818833941,35.81,34.47,1.34,-0.2
1539818834144,36.07,34.47,1.6,-0.19
1539818834332,36.25,34.45,1.8,-0.17
1539818834535,36.45,34.43,2.02,-0.14
1539818834738,36.61,34.51,2.1,-0.11
1539818834941,36.65,34.69,1.96,-0.07
1539818835144,36.63,34.77,1.86,-0.03
1539818835331,36.57,34.53,2.04,0.01
1539818835550,36.53,34.01,2.52,0.06
1539818835739,36.29,33.55,2.74,0.11
1539818835942,36.13,33.39,2.74,0.16
1539818836145,36.07,33.41,2.66,0.22
1539818836332,35.81,33.99,1.82,0.28
1539818836535,35.69,34.39,1.3,0.34
1539818836739,35.61,34.63,0.98,0.4
1539818836942,35.47,34.77,0.7,0.45
1539818837129,35.39,34.83,0.56,0.5
1539818837332,35.31,34.91,0.4,0.55
1539818837535,35.29,34.97,0.32,0.58
1539818837739,35.27,34.99,0.28,0.61
1539818837926,35.21,35.01,0.2,0.64
1539818838129,35.15,35.01,0.14,0.66
1539818838332,35.13,34.99,0.14,0.67
1539818838536,35.19,35.01,0.18,0.69
1539818838739,35.09,34.99,0.1,0.69
1539818838942,35.13,34.97,0.16,0.7
1539818839130,35.05,35.01,0.04,0.7
1539818839333,35.05,34.93,0.12,0.7
1539818839536,35.01,34.91,0.1,0.7
1539818839739,34.99,34.97,0.02,0.69
1539818839942,34.97,34.99,-0.02,0.68
1539818840130,34.99,34.93,0.06,0.67
1539818840333,34.91,34.89,0.02,0.66
1539818840536,34.93,34.93,0,0.65
1539818840740,34.97,34.89,0.08,0.64
1539818840928,35.01,34.89,0.12,0.63
1539818841131,35.07,34.81,0.26,0.61
1539818841334,34.99,34.77,0.22,0.6
1539818841537,34.93,34.75,0.18,0.58
1539818841725,34.97,34.75,0.22,0.57
1539818841928,34.99,34.71,0.28,0.56
1539818842131,34.99,34.77,0.22,0.54
1539818842334,34.91,34.83,0.08,0.53
1539818842537,34.93,34.77,0.16,0.52
1539818842725,34.89,34.81,0.08,0.5
1539818842928,34.91,34.83,0.08,0.49
1539818843131,34.91,34.77,0.14,0.48
1539818843334,34.93,34.83,0.1,0.46
1539818843537,34.89,34.83,0.06,0.45
1539818843725,34.85,34.77,0.08,0.44
1539818843928,34.77,34.77,0,0.42
1539818844131,34.83,34.77,0.06,0.41
1539818844334,34.77,34.81,-0.04,0.4
1539818844537,34.77,34.77,0,0.38
1539818844725,34.75,34.81,-0.06,0.37
1539818844928,34.69,34.75,-0.06,0.36
1539818845131,34.67,34.75,-0.08,0.34
1539818845334,34.67,34.75,-0.08,0.33
1539818845522,34.55,34.81,-0.26,0.32
1539818845725,34.53,34.75,-0.22,0.3
1539818845928,34.47,34.71,-0.24,0.29
1539818846131,34.37,34.69,-0.32,0.28
1539818846334,34.39,34.69,-0.3,0.26
1539818846522,34.25,34.69,-0.44,0.24
1539818846726,34.23,34.71,-0.48,0.23
1539818846930,34.23,34.69,-0.46,0.21
1539818847133,34.21,34.69,-0.48,0.19
1539818847320,34.29,34.77,-0.48,0.17
1539818847523,34.23,34.67,-0.44,0.15
1539818847727,34.33,34.67,-0.34,0.13
1539818847930,34.25,34.63,-0.38,0.11
1539818848133,34.25,34.61,-0.36,0.1
1539818848336,34.17,34.53,-0.36,0.08
1539818848523,34.09,34.47,-0.38,0.06
1539818848727,34.13,34.47,-0.34,0.04
1539818848930,34.13,34.47,-0.34,0.02
1539818849133,34.21,34.51,-0.3,0.01
1539818849320,34.17,34.45,-0.28,-0.01
1539818849523,34.17,34.55,-0.38,-0.02
1539818849727,34.21,34.53,-0.32,-0.04
1539818849930,34.15,34.51,-0.36,-0.05
1539818850117,34.13,34.45,-0.32,-0.07
1539818850320,34.15,34.33,-0.18,-0.08
1539818850523,34.15,34.29,-0.14,-0.09
1539818850727,34.13,34.23,-0.1,-0.1
1539818850930,34.13,34.25,-0.12,-0.11
1539818851133,34.07,34.31,-0.24,-0.12
1539818851321,34.03,34.31,-0.28,-0.13
1539818851524,34.07,34.33,-0.26,-0.13
1539818851727,34.09,34.45,-0.36,-0.14
1539818851930,34.13,34.51,-0.38,-0.15
1539818852118,34.15,34.59,-0.44,-0.15
1539818852321,34.17,34.71,-0.54,-0.16
1539818852524,34.15,34.83,-0.68,-0.17
1539818852727,34.21,35.01,-0.8,-0.18
1539818852930,34.17,35.07,-0.9,-0.19
1539818853118,34.29,35.21,-0.92,-0.2
1539818853321,34.29,35.23,-0.94,-0.21
1539818853524,34.25,35.27,-1.02,-0.22
1539818853727,34.29,35.31,-1.02,-0.24
1539818853915,34.31,35.31,-1,-0.26
1539818854118,34.29,35.29,-1,-0.27
1539818854321,34.33,35.31,-0.98,-0.29
1539818854524,34.31,35.31,-1,-0.31
1539818854727,34.43,35.27,-0.84,-0.33
1539818854915,34.39,35.27,-0.88,-0.35
1539818855118,34.37,35.35,-0.98,-0.37
1539818855321,34.39,35.35,-0.96,-0.39
1539818855524,34.39,35.31,-0.92,-0.41
1539818855712,34.39,35.35,-0.96,-0.43
1539818855915,34.43,35.31,-0.88,-0.45
1539818856118,34.37,35.37,-1,-0.47
1539818856321,34.43,35.35,-0.92,-0.49
1539818856524,34.43,35.39,-0.96,-0.5
1539818856712,34.39,35.31,-0.92,-0.52
1539818856931,34.43,35.39,-0.96,-0.54
1539818857118,34.47,35.39,-0.92,-0.55
1539818857321,34.43,35.43,-1,-0.57
1539818857524,34.39,35.37,-0.98,-0.59
1539818857712,34.37,35.39,-1.02,-0.6
1539818857931,34.45,35.39,-0.94,-0.62
1539818858118,34.43,35.39,-0.96,-0.63
1539818858321,34.43,35.39,-0.96,-0.65
1539818858525,34.39,35.39,-1,-0.66
1539818858728,34.43,35.43,-1,-0.68
1539818858915,34.33,35.35,-1.02,-0.69
1539818859118,34.37,35.43,-1.06,-0.7
1539818859322,34.31,35.43,-1.12,-0.72
1539818859509,34.29,35.39,-1.1,-0.73
1539818859728,34.37,35.43,-1.06,-0.74
1539818859916,34.31,35.37,-1.06,-0.75
1539818860119,34.33,35.39,-1.06,-0.77
1539818860322,34.33,35.43,-1.1,-0.78
1539818860525,34.33,35.35,-1.02,-0.79
1539818860728,34.29,35.37,-1.08,-0.8
1539818860916,34.37,35.35,-0.98,-0.81
1539818861119,34.37,35.37,-1,-0.82
1539818861322,34.31,35.39,-1.08,-0.83
1539818861525,34.45,35.37,-0.92,-0.84
1539818861712,34.47,35.37,-0.9,-0.85
1539818861916,34.53,35.35,-0.82,-0.86
1539818862119,34.71,35.39,-0.68,-0.86
1539818862322,34.97,35.35,-0.38,-0.87
1539818862525,35.21,35.27,-0.06,-0.87
1539818862712,35.37,35.31,0.06,-0.87
1539818862916,35.53,35.27,0.26,-0.87
1539818863119,35.67,35.27,0.4,-0.86
1539818863322,35.93,35.19,0.74,-0.84
1539818863509,35.99,35.07,0.92,-0.83
1539818863713,36.07,35.19,0.88,-0.8
1539818863916,36.07,35.37,0.7,-0.78
1539818864119,36.13,35.13,1,-0.75
1539818864306,36.05,34.59,1.46,-0.71
1539818864525,35.85,34.15,1.7,-0.68
1539818864713,35.69,33.95,1.74,-0.64
1539818864916,35.67,33.95,1.72,-0.59
1539818865119,35.63,34.09,1.54,-0.54
1539818865322,35.55,34.37,1.18,-0.48
1539818865510,35.47,34.67,0.8,-0.43
1539818865713,35.51,35.13,0.38,-0.38
1539818865916,35.45,35.35,0.1,-0.33
1539818866119,35.43,35.61,-0.18,-0.28
1539818866322,35.35,35.77,-0.42,-0.24
1539818866510,35.35,35.77,-0.42,-0.2
1539818866713,35.29,35.83,-0.54,-0.17
