1539154080298,3345,5.34,5.88
1539154080299,33.85,28.57,5.28,5.88
1539154080299,33.85,28.57,5.28,5.87
1539154080301,7,5.16,5.89
1539154080301,33.77,28.59,5.18,5.89
1539154080435,33.85,28.57,5.28,5.89
1539154080439,33.79,28.45,5.34,5.88
1539154080443,33.85,28.57,5.28,5.88
1539154080447,33.85,28.57,5.28,5.87
1539154080452,33.85,28.57,5.28,5.86
1539154080456,33.77,28.59,5.18,5.85
1539154080636,33.73,28.63,5.10,5.83
1539154080832,33.69,28.63,5.06,5.82
1539154081038,33.77,28.59,5.18,5.80
1539154081234,33.71,28.57,5.14,5.79
1539154081435,33.71,28.59,5.12,5.77
1539154081631,33.63,28.59,5.04,5.75
1539154081837,33.65,28.63,5.02,5.74
1539154082033,33.61,28.63,4.98,5.72
1539154082233,33.63,28.69,4.94,5.70
1539154082439,33.73,28.65,5.08,5.68
1539154082635,33.73,28.75,4.98,5.66
1539154082836,33.79,28.77,5.02,5.64
1539154083032,33.85,28.79,5.06,5.62
1539154083237,33.87,28.83,5.04,5.60
1539154083434,33.87,28.79,5.08,5.58
1539154083635,33.93,28.91,5.02,5.56
1539154083839,33.91,28.83,5.08,5.54
1539154084036,33.93,28.77,5.16,5.52
1539154084236,33.85,28.83,5.02,5.50
1539154084434,33.91,28.89,5.02,5.49
1539154084638,33.87,28.89,4.98,5.46
1539154084834,33.95,28.77,5.18,5.45
1539154085036,33.69,29.55,4.14,5.43
1539154085242,33.79,29.69,4.10,5.41
1539154085437,33.87,30.15,3.72,5.39
1539154085638,34.03,29.05,4.98,5.36
1539154085834,34.01,28.91,5.10,5.34
1539154086039,34.13,28.91,5.22,5.32
1539154086236,33.95,28.91,5.04,5.29
1539154086436,33.93,28.95,4.98,5.28
1539154086633,33.99,28.91,5.08,5.25
1539154086838,33.99,28.97,5.02,5.24
1539154087038,34.01,28.89,5.12,5.22
1539154087234,34.13,29.17,4.96,5.21
1539154087440,34.13,29.79,4.34,5.20
1539154087636,34.01,29.65,4.36,5.18
1539154087837,33.95,29.37,4.58,5.17
1539154088038,33.95,29.23,4.72,5.15
1539154088239,33.95,29.15,4.80,5.14
1539154088439,33.95,29.03,4.92,5.12
1539154088635,33.87,28.99,4.88,5.10
1539154088840,33.87,28.97,4.90,5.09
1539154089037,33.71,28.91,4.80,5.08
1539154089238,33.73,28.97,4.76,5.06
1539154089438,33.69,28.85,4.84,5.05
1539154089639,33.69,28.79,4.90,5.04
1539154089839,33.73,28.75,4.98,5.03
1539154090036,33.73,28.71,5.02,5.02
1539154090241,33.77,28.79,4.98,5.01
1539154090438,33.73,28.77,4.96,5.01
1539154090639,33.77,28.77,5.00,4.99
1539154090839,33.77,28.77,5.00,4.99
1539154091040,33.79,28.77,5.02,4.98
1539154091241,33.71,28.75,4.96,4.98
1539154091437,33.69,28.71,4.98,4.98
1539154091642,33.63,28.75,4.88,4.97
1539154091839,33.69,28.65,5.04,4.97
1539154092039,33.69,28.75,4.94,4.97
1539154092236,33.65,28.75,4.90,4.96
1539154092441,33.69,28.75,4.94,4.96
1539154092641,33.63,28.69,4.94,4.95
1539154092838,33.63,28.71,4.92,4.96
1539154093043,33.63,28.77,4.86,4.95
1539154093239,33.61,28.77,4.84,4.95
1539154093440,33.57,28.65,4.92,4.95
1539154093636,33.57,28.71,4.86,4.94
1539154093842,33.61,28.75,4.86,4.94
1539154094043,33.51,28.71,4.80,4.94
1539154094238,33.55,28.75,4.80,4.94
1539154094444,33.61,28.69,4.92,4.94
1539154094640,33.65,28.71,4.94,4.93
1539154094841,33.69,28.71,4.98,4.93
1539154095046,33.65,28.69,4.96,4.93
1539154095242,33.65,28.71,4.94,4.92
1539154095443,33.69,28.71,4.98,4.93
1539154095640,33.69,28.77,4.92,4.92
1539154095845,33.71,28.71,5.00,4.92
1539154096041,33.83,28.83,5.00,4.92
1539154096242,33.95,28.71,5.24,4.92
1539154096443,33.95,28.75,5.20,4.92
1539154096639,33.95,28.79,5.16,4.92
1539154096844,33.93,28.75,5.18,4.93
1539154097040,33.95,28.71,5.24,4.93
1539154097241,33.87,28.77,5.10,4.93
1539154097446,33.85,28.69,5.16,4.94
1539154097642,33.79,28.69,5.10,4.94
1539154097843,33.77,28.69,5.08,4.95
1539154098040,33.69,28.65,5.04,4.96
1539154098245,33.71,28.59,5.12,4.96
1539154098441,33.69,28.63,5.06,4.97
1539154098642,33.65,28.63,5.02,4.97
1539154098846,33.65,28.63,5.02,4.98
1539154099042,33.65,28.69,4.96,4.98
1539154099244,33.73,28.69,5.04,4.98
1539154099440,33.63,28.69,4.94,4.98
1539154099641,33.61,28.71,4.90,4.98
1539154099845,33.51,28.69,4.82,4.99
1539154100043,33.57,28.69,4.88,4.98
1539154100243,33.65,28.71,4.94,4.98
1539154100439,33.71,28.71,5.00,4.99
1539154100644,33.79,28.69,5.10,4.98
1539154100844,33.79,28.63,5.16,4.99
1539154101042,33.73,28.69,5.04,4.98
1539154101246,33.65,28.69,4.96,4.99
1539154101443,33.69,28.63,5.06,4.99
1539154101643,33.61,28.59,5.02,4.99
1539154101844,33.55,28.59,4.96,4.99
1539154102045,33.49,28.65,4.84,4.99
1539154102246,33.51,28.63,4.88,4.99
1539154102442,33.47,28.63,4.84,4.99
1539154102643,33.57,28.59,4.98,4.99
1539154102839,33.63,28.57,5.06,4.99
1539154103044,33.61,28.65,4.96,4.99
1539154103245,33.51,28.57,4.94,4.99
1539154103441,33.49,28.57,4.92,4.99
1539154103646,33.43,28.57,4.86,4.99
1539154103843,33.51,28.63,4.88,4.99
1539154104044,33.57,28.65,4.92,4.98
1539154104248,33.55,28.59,4.96,4.98
1539154104446,33.57,28.65,4.92,4.98
1539154104646,33.49,28.59,4.90,4.98
1539154104843,33.57,28.63,4.94,4.98
1539154105043,33.57,28.63,4.94,4.98
1539154105247,33.73,28.57,5.16,4.98
1539154105445,33.77,28.65,5.12,4.98
1539154105645,33.71,28.59,5.12,4.97
1539154105842,33.69,28.53,5.16,4.98
1539154106046,33.51,28.53,4.98,4.98
1539154106247,33.43,28.53,4.90,4.98
1539154106444,33.43,28.57,4.86,4.98
1539154106649,33.47,28.59,4.88,4.98
1539154106845,33.51,28.59,4.92,4.98
1539154107046,33.61,28.47,5.14,4.98
1539154107246,33.51,28.57,4.94,4.98
1539154107448,33.49,28.57,4.92,4.98
1539154107648,33.49,28.53,4.96,4.98
1539154107845,33.47,28.57,4.90,4.98
1539154108045,33.61,28.57,5.04,4.98
1539154108250,33.61,28.53,5.08,4.98
1539154108447,33.49,28.59,4.90,4.98
1539154108647,33.61,28.63,4.98,4.98
1539154108844,33.65,28.63,5.02,4.98
1539154108947,Interruption
1539154109048,33.79,28.51,5.28,4.98
1539154109250,33.85,28.53,5.32,4.98
1539154109446,33.85,28.57,5.28,4.98
1539154109647,33.83,28.53,5.30,4.98
1539154109698,Reaction
1539154109843,33.83,28.53,5.30,4.99
1539154110049,33.77,28.53,5.24,4.99
1539154110249,33.79,28.53,5.26,5.00
1539154110446,33.79,28.53,5.26,5.01
1539154110650,33.79,28.51,5.28,5.01
1539154110847,33.79,28.57,5.22,5.02
1539154111048,33.73,28.45,5.28,5.02
1539154111252,33.63,28.51,5.12,5.03
1539154111449,33.47,28.47,5.00,5.04
1539154111649,33.43,28.51,4.92,5.04
1539154111846,33.35,28.63,4.72,5.05
1539154112047,33.51,28.65,4.86,5.05
1539154112252,33.63,28.65,4.98,5.05
1539154112448,33.71,28.63,5.08,5.05
1539154112649,33.65,28.63,5.02,5.05
1539154112845,33.61,28.71,4.90,5.06
1539154113051,33.61,28.69,4.92,5.05
1539154113251,33.57,28.63,4.94,5.05
1539154113448,33.49,28.59,4.90,5.05
1539154113652,33.49,28.57,4.92,5.05
1539154113849,33.51,28.51,5.00,5.05
1539154114050,33.51,28.57,4.94,5.05
1539154114246,33.61,28.45,5.16,5.05
1539154114447,33.63,28.59,5.04,5.05
1539154114652,33.61,28.53,5.08,5.04
1539154114849,33.65,28.51,5.14,5.04
