1539153606973,3.79,5.90,5.76
1539153607005,1,5.70,5.77
1539153607042,33.57,27.93,5.64,5.77
1539153607043,33.61,27.91,5.70,5.77
1539153607068,33.61,27.81,5.80,5.76
1539153607199,33.65,27.85,5.80,5.77
1539153607203,33.69,27.79,5.90,5.76
1539153607207,1,5.70,5.77
1539153607211,33.57,27.93,5.64,5.77
1539153607215,33.61,27.91,5.70,5.77
1539153607219,33.61,27.81,5.80,5.76
1539153607224,33.65,27.85,5.80,5.77
1539153607404,33.69,27.79,5.90,5.76
1539153607408,33.57,27.81,5.76,5.76
1539153607413,33.51,27.79,5.72,5.77
1539153607417,33.55,27.69,5.86,5.76
1539153607600,33.63,27.73,5.90,5.76
1539153607802,33.61,27.73,5.88,5.76
1539153607998,33.55,27.69,5.86,5.76
1539153608203,33.57,27.75,5.82,5.77
1539153608400,33.57,27.75,5.82,5.76
1539153608600,33.61,27.81,5.80,5.77
1539153608797,33.65,27.81,5.84,5.77
1539153609002,33.63,27.81,5.82,5.77
1539153609199,33.61,27.87,5.74,5.77
1539153609400,33.65,27.79,5.86,5.77
1539153609604,33.77,27.81,5.96,5.78
1539153609800,33.63,27.91,5.72,5.78
1539153610001,33.63,27.85,5.78,5.78
1539153610198,33.57,27.87,5.70,5.78
1539153610399,33.61,27.91,5.70,5.78
1539153610599,33.63,27.91,5.72,5.78
1539153610800,33.77,27.87,5.90,5.78
1539153610996,33.71,27.93,5.78,5.78
1539153611197,33.65,27.95,5.70,5.79
1539153611394,33.61,27.91,5.70,5.78
1539153611599,33.55,27.91,5.64,5.79
1539153611800,33.65,27.87,5.78,5.78
1539153611995,33.55,27.91,5.64,5.78
1539153612201,33.69,27.91,5.78,5.79
1539153612398,33.69,27.93,5.76,5.78
1539153612598,33.63,27.93,5.70,5.78
1539153612795,33.63,27.87,5.76,5.78
1539153613000,33.71,27.91,5.80,5.78
1539153613196,33.69,27.91,5.78,5.78
1539153613397,33.83,27.87,5.96,5.78
1539153613594,33.85,27.85,6.00,5.78
1539153613794,33.87,27.81,6.06,5.78
1539153613999,33.95,27.93,6.02,5.78
1539153614195,33.99,27.87,6.12,5.79
1539153614401,34.01,27.87,6.14,5.79
1539153614593,33.99,27.85,6.14,5.80
1539153614797,33.91,27.87,6.04,5.80
1539153614994,33.95,27.87,6.08,5.80
1539153615195,33.87,27.91,5.96,5.81
1539153615391,34.01,27.85,6.16,5.82
1539153615596,33.95,27.87,6.08,5.83
1539153615793,33.99,27.81,6.18,5.83
1539153615994,33.85,27.85,6.00,5.84
1539153616190,33.87,27.87,6.00,5.85
1539153616395,33.79,27.85,5.94,5.85
1539153616596,33.65,27.81,5.84,5.86
1539153616792,33.55,27.81,5.74,5.87
1539153616997,33.55,27.81,5.74,5.87
1539153617194,33.55,27.85,5.70,5.88
