1540168980555,351,0.16,0.16
1540168980555,1,0.34,0.14
1540168980556,35.01,34.71,0.30,0.14
1540168980638,35.07,34.75,0.32,0.14
1540168980642,35.05,34.75,0.30,0.15
1540168980651,35.01,34.77,0.24,0.15
1540168980652,34.97,34.81,0.16,0.16
1540168980655,1,0.34,0.14
1540168980663,35.01,34.71,0.30,0.14
1540168980663,35.07,34.75,0.32,0.14
1540168980837,35.05,34.75,0.30,0.15
1540168980841,35.01,34.77,0.24,0.15
1540168980845,34.97,34.81,0.16,0.16
1540168980849,1,0.34,0.14
1540168980853,35.01,34.71,0.30,0.14
1540168980857,35.07,34.75,0.32,0.14
1540168980861,35.05,34.75,0.30,0.15
1540168981034,35.01,34.77,0.24,0.15
1540168981038,34.97,34.81,0.16,0.16
1540168981042,35.01,34.83,0.18,0.16
1540168981046,35.05,34.93,0.12,0.16
1540168981050,35.01,34.93,0.08,0.16
1540168981054,35.01,34.91,0.10,0.17
1540168981238,35.05,34.89,0.16,0.17
1540168981435,34.99,34.89,0.10,0.17
1540168981636,34.99,34.93,0.06,0.17
1540168981836,35.05,34.93,0.12,0.17
1540168982037,35.05,35.01,0.04,0.17
1540168982234,35.01,35.01,0.00,0.17
1540168982435,35.09,35.01,0.08,0.17
1540168982635,35.01,35.05,-0.04,0.16
1540168982836,35.05,34.99,0.06,0.16
1540168983033,35.01,35.01,0.00,0.16
1540168983233,35.07,34.99,0.08,0.16
1540168983434,35.01,34.93,0.08,0.15
1540168983635,35.09,34.97,0.12,0.15
1540168983831,35.05,34.97,0.08,0.15
1540168984036,35.07,34.93,0.14,0.15
1540168984233,35.09,34.91,0.18,0.15
1540168984434,35.07,34.85,0.22,0.14
1540168984630,35.07,34.85,0.22,0.14
1540168984835,35.01,34.85,0.16,0.14
1540168985035,35.05,34.81,0.24,0.14
1540168985232,35.05,34.77,0.28,0.14
1540168985437,34.99,34.81,0.18,0.14
1540168985634,35.01,34.81,0.20,0.14
1540168985834,35.05,34.83,0.22,0.15
1540168986031,35.01,34.83,0.18,0.15
1540168986232,35.01,34.81,0.20,0.15
1540168986432,35.05,34.77,0.28,0.15
1540168986633,35.07,34.71,0.36,0.15
1540168986829,35.07,34.81,0.26,0.15
1540168987030,35.01,34.83,0.18,0.16
1540168987231,35.05,34.75,0.30,0.16
1540168987432,35.05,34.81,0.24,0.16
1540168987628,35.07,34.71,0.36,0.16
1540168987833,35.09,34.75,0.34,0.17
1540168988034,35.07,34.71,0.36,0.17
1540168988230,35.13,34.71,0.42,0.17
1540168988431,35.05,34.71,0.34,0.18
1540168988627,35.01,34.67,0.34,0.18
1540168988832,35.07,34.69,0.38,0.19
1540168989028,35.05,34.67,0.38,0.19
1540168989230,34.99,34.69,0.30,0.19
1540168989426,35.07,34.63,0.44,0.20
1540168989631,35.07,34.71,0.36,0.20
1540168989827,35.07,34.77,0.30,0.21
1540168989890,0,0,0,0
1540168990028,35.05,34.71,0.34,0.21
1540168990233,35.01,34.83,0.18,0.22
1540168990430,35.07,34.71,0.36,0.22
1540168990631,35.07,34.71,0.36,0.23
1540168990827,35.05,34.75,0.30,0.23
1540168991032,35.09,34.83,0.26,0.24
1540168991228,35.05,34.69,0.36,0.24
1540168991429,35.09,34.71,0.38,0.24
1540168991625,35.05,34.69,0.36,0.25
1540168991827,35.01,34.75,0.26,0.25
1540168992027,35.01,34.61,0.40,0.26
1540168992229,35.09,34.63,0.46,0.26
1540168992428,34.99,34.61,0.38,0.26
1540168992625,34.99,34.59,0.40,0.27
1540168992830,34.97,34.61,0.36,0.27
1540168993026,35.05,34.55,0.50,0.27
1540168993227,35.01,34.63,0.38,0.28
1540168993423,35.05,34.61,0.44,0.28
1540168993628,34.99,34.59,0.40,0.29
1540168993825,34.97,34.61,0.36,0.29
1540168994026,34.97,34.59,0.38,0.30
1540168994222,34.97,34.61,0.36,0.30
1540168994427,35.05,34.59,0.46,0.30
1540168994627,34.97,34.59,0.38,0.31
1540168994825,35.01,34.63,0.38,0.31
1540168995029,35.01,34.61,0.40,0.31
1540168995225,35.01,34.59,0.42,0.32
1540168995426,34.99,34.61,0.38,0.32
1540168995622,35.07,34.55,0.52,0.32
1540168995828,35.05,34.59,0.46,0.33
1540168996024,34.99,34.59,0.40,0.33
1540168996225,35.07,34.55,0.52,0.33
1540168996422,34.97,34.59,0.38,0.34
1540168996623,35.01,34.61,0.40,0.34
1540168996823,35.01,34.61,0.40,0.34
1540168997024,35.01,34.59,0.42,0.35
1540168997225,34.99,34.59,0.40,0.35
1540168997421,35.01,34.59,0.42,0.35
1540168997626,34.99,34.63,0.36,0.35
1540168997822,35.05,34.59,0.46,0.36
1540168998023,35.13,34.61,0.52,0.36
1540168998220,35.01,34.63,0.38,0.36
1540168998425,35.05,34.67,0.38,0.36
1540168998621,35.05,34.61,0.44,0.36
1540168998822,35.13,34.59,0.54,0.37
1540168999019,35.07,34.63,0.44,0.37
1540168999223,35.07,34.59,0.48,0.37
1540168999424,34.99,34.53,0.46,0.37
1540168999620,35.05,34.59,0.46,0.37
1540168999825,35.05,34.55,0.50,0.38
1540169000021,35.05,34.59,0.46,0.38
1540169000223,34.99,34.55,0.44,0.38
1540169000419,34.99,34.59,0.40,0.38
1540169000624,35.05,34.55,0.50,0.39
1540169000820,35.05,34.55,0.50,0.39
1540169001021,35.07,34.61,0.46,0.39
1540169001218,35.01,34.59,0.42,0.39
1540169001419,35.05,34.59,0.46,0.39
1540169001615,35.01,34.59,0.42,0.40
1540169001819,35.07,34.55,0.52,0.40
1540169002020,35.05,34.59,0.46,0.40
1540169002217,35.07,34.63,0.44,0.40
1540169002422,35.05,34.71,0.34,0.40
1540169002618,35.05,34.85,0.20,0.41
1540169002819,35.13,34.85,0.28,0.41
1540169003015,35.07,34.93,0.14,0.41
1540169003221,35.05,34.91,0.14,0.40
1540169003417,35.05,34.89,0.16,0.40
1540169003618,34.99,34.93,0.06,0.40
1540169003818,35.05,34.93,0.12,0.39
1540169004020,35.09,34.85,0.24,0.39
1540169004216,34.99,34.85,0.14,0.38
1540169004420,35.07,34.81,0.26,0.38
1540169004617,35.01,34.81,0.20,0.37
1540169004817,34.97,34.85,0.12,0.37
1540169005015,34.93,34.83,0.10,0.36
1540169005219,35.01,34.77,0.24,0.36
1540169005416,35.01,34.83,0.18,0.35
