1540166674388,31,-0.18,0.06
1540166674394,34.45,34.55,-0.10,0.06
1540166674395,34.47,34.53,-0.06,0.05
1540166674395,34.45,34.55,-0.10,0.04
1540166674395,34.43,34.55,-0.12,0.04
1540166674419,34.45,
1540166674565,34.43,34.61,-0.18,0.06
1540166674569,34.45,34.55,-0.10,0.06
1540166674573,34.47,34.53,-0.06,0.05
1540166674577,34.45,34.55,-0.10,0.04
1540166674581,34.43,34.55,-0.12,0.04
1540166674586,34.45,.51,-0.06,0.03
1540166674589,34.45,34.51,-0.06,0.02
1540166674770,34.45,34.47,-0.02,0.02
1540166674966,34.47,34.43,0.04,0.01
1540166675167,34.47,34.39,0.08,0.01
1540166675364,34.47,34.31,0.16,0.01
1540166675569,34.53,34.25,0.28,0.00
1540166675766,34.51,34.25,0.26,0.00
1540166675966,34.47,34.17,0.30,0.00
1540166676163,34.61,34.23,0.38,0.01
1540166676367,34.55,34.25,0.30,0.01
1540166676564,34.45,34.31,0.14,0.01
1540166676765,34.51,34.33,0.18,0.02
1540166676961,34.47,34.31,0.16,0.02
1540166677167,34.45,34.33,0.12,0.03
1540166677367,34.43,34.29,0.14,0.03
1540166677563,34.43,34.29,0.14,0.04
1540166677765,34.47,34.29,0.18,0.04
1540166677965,34.43,34.23,0.20,0.05
1540166678166,34.51,34.29,0.22,0.05
1540166678363,34.45,34.25,0.20,0.06
1540166678563,34.51,34.29,0.22,0.06
1540166678760,34.51,34.29,0.22,0.06
1540166678965,34.45,34.37,0.08,0.07
1540166679165,34.47,34.29,0.18,0.07
1540166679361,34.45,34.29,0.16,0.08
1540166679566,34.55,34.33,0.22,0.08
1540166679763,34.47,34.33,0.14,0.09
1540166679964,34.59,34.39,0.20,0.09
1540166680160,34.61,34.47,0.14,0.10
1540166680361,34.47,34.43,0.04,0.10
1540166680566,34.67,34.37,0.30,0.10
1540166680763,34.55,34.39,0.16,0.10
1540166680964,34.59,34.39,0.20,0.11
1540166681160,34.51,34.33,0.18,0.11
1540166681365,34.61,34.43,0.18,0.11
1540166681561,34.47,34.37,0.10,0.11
1540166681762,34.61,34.31,0.30,0.11
1540166681963,34.61,34.31,0.30,0.12
1540166682160,34.63,34.31,0.32,0.12
1540166682364,34.45,34.33,0.12,0.12
1540166682561,34.45,34.39,0.06,0.13
1540166682762,34.47,34.37,0.10,0.13
1540166682966,34.47,34.39,0.08,0.13
1540166683163,34.53,34.43,0.10,0.13
1540166683363,34.55,34.37,0.18,0.14
1540166683560,34.53,34.37,0.16,0.14
1540166683765,34.51,34.33,0.18,0.14
1540166683962,34.55,34.33,0.22,0.14
1540166684162,34.53,34.33,0.20,0.14
1540166684359,34.43,34.33,0.10,0.14
1540166684560,34.47,34.31,0.16,0.14
1540166684764,34.43,34.29,0.14,0.14
1540166684961,0,0,0,0
1540166684960,34.43,34.25,0.18,0.15
1540166685161,34.45,34.29,0.16,0.15
1540166685358,34.47,34.23,0.24,0.15
1540166685563,34.45,34.25,0.20,0.15
1540166685759,34.53,34.21,0.32,0.15
1540166685960,34.55,34.25,0.30,0.15
1540166686165,34.47,34.23,0.24,0.15
1540166686362,34.47,34.23,0.24,0.15
1540166686562,34.47,34.17,0.30,0.16
1540166686759,34.47,34.17,0.30,0.16
1540166686960,34.59,34.33,0.26,0.16
1540166687156,34.51,34.33,0.18,0.16
1540166687361,34.47,34.29,0.18,0.17
1540166687562,34.43,34.25,0.18,0.17
1540166687758,34.47,34.31,0.16,0.17
1540166687964,34.51,34.29,0.22,0.17
1540166688160,34.45,34.31,0.14,0.18
1540166688360,34.45,34.31,0.14,0.18
1540166688557,34.47,34.31,0.16,0.18
1540166688758,34.45,34.37,0.08,0.18
1540166688963,34.45,34.37,0.08,0.18
1540166689159,34.51,34.39,0.12,0.18
1540166689359,34.47,34.31,0.16,0.18
1540166689556,34.59,34.31,0.28,0.18
1540166689761,34.51,34.23,0.28,0.18
1540166689958,34.59,34.25,0.34,0.18
1540166690159,34.47,34.17,0.30,0.18
1540166690354,34.59,34.15,0.44,0.18
1540166690560,34.55,34.21,0.34,0.19
1540166690761,34.51,34.17,0.34,0.19
1540166690957,34.55,34.21,0.34,0.19
1540166691158,34.47,34.25,0.22,0.20
1540166691355,34.47,34.25,0.22,0.20
1540166691560,34.47,34.25,0.22,0.20
1540166691760,34.53,34.23,0.30,0.21
1540166691957,34.45,34.17,0.28,0.21
1540166692161,34.55,34.23,0.32,0.21
1540166692358,34.51,34.23,0.28,0.22
1540166692559,34.53,34.21,0.32,0.22
1540166692755,34.47,34.29,0.18,0.22
1540166692956,34.45,34.29,0.16,0.22
1540166693157,34.59,34.23,0.36,0.22
1540166693357,34.55,34.21,0.34,0.23
1540166693558,34.53,34.21,0.32,0.23
1540166693754,34.51,34.23,0.28,0.23
1540166693960,34.51,34.17,0.34,0.23
1540166694156,34.55,34.21,0.34,0.24
1540166694356,34.55,34.15,0.40,0.24
1540166694553,34.61,34.13,0.48,0.24
1540166694754,34.61,34.17,0.44,0.24
1540166694959,34.51,34.17,0.34,0.25
1540166695155,34.59,34.21,0.38,0.25
1540166695356,34.55,34.23,0.32,0.25
1540166695553,34.51,34.17,0.34,0.26
1540166695758,34.53,34.21,0.32,0.26
1540166695958,34.51,34.23,0.28,0.26
1540166696155,34.47,34.21,0.26,0.27
1540166696356,34.45,34.21,0.24,0.27
1540166696552,34.43,34.23,0.20,0.27
1540166696757,34.47,34.23,0.24,0.27
1540166696954,34.45,34.25,0.20,0.28
1540166697154,34.47,34.21,0.26,0.28
1540166697359,34.51,34.21,0.30,0.28
1540166697556,34.51,34.21,0.30,0.28
1540166697757,34.47,34.21,0.26,0.28
1540166697952,34.51,34.15,0.36,0.28
1540166698153,34.55,34.17,0.38,0.28
1540166698349,34.51,34.17,0.34,0.28
1540166698555,34.51,34.17,0.34,0.28
