1540346811007,38.67.91,10.62,10.70
1540346811045,38.55,27.85,10.70,10.69
1540346811045,38.55,27.75,10.80,10.70
1540346811045,38.51,27.73,10.78,10.68
1540346811045,38.53,27.75,10.78,10.69
1540346811197,38.51,27.79,10.72,10.69
1540346811403,38.53,27.73,10.80,10.68
1540346811599,38.51,27.75,10.76,10.69
1540346811800,38.53,27.73,10.80,10.68
1540346811996,38.53,27.75,10.78,10.69
1540346812201,38.51,27.75,10.76,10.69
1540346812398,38.49,27.79,10.70,10.69
1540346812598,38.49,27.85,10.64,10.70
1540346812799,38.51,27.93,10.58,10.69
1540346813000,38.53,28.01,10.52,10.69
1540346813200,38.49,28.05,10.44,10.69
1540346813397,38.51,28.11,10.40,10.69
1540346813598,38.49,28.11,10.38,10.69
1540346813799,38.51,28.11,10.40,10.68
1540346813999,38.49,28.13,10.36,10.68
1540346814196,38.51,28.19,10.32,10.68
1540346814396,38.53,28.19,10.34,10.67
1540346814597,38.49,28.19,10.30,10.67
1540346814798,38.51,28.19,10.32,10.65
1540346814995,38.49,28.19,10.30,10.65
1540346815199,38.45,28.23,10.22,10.64
1540346815397,38.49,28.19,10.30,10.63
1540346815597,38.45,28.19,10.26,10.63
1540346815797,38.49,28.13,10.36,10.61
1540346815998,38.51,28.05,10.46,10.61
1540346816199,38.49,28.05,10.44,10.59
1540346816395,38.49,28.01,10.48,10.58
1540346816596,38.45,28.01,10.44,10.58
1540346816797,38.45,28.11,10.34,10.56
1540346816998,38.45,28.05,10.40,10.56
1540346817194,38.43,28.05,10.38,10.55
1540346817395,38.43,28.17,10.26,10.54
1540346817596,38.43,28.17,10.26,10.54
1540346817796,38.45,28.11,10.34,10.53
1540346817992,38.45,28.17,10.28,10.53
1540346818197,38.43,28.07,10.36,10.52
1540346818395,38.41,28.11,10.30,10.51
1540346818595,38.37,28.05,10.32,10.51
1540346818792,38.43,28.05,10.38,10.49
1540346818996,38.43,27.99,10.44,10.49
1540346819193,38.37,28.11,10.26,10.48
1540346819394,38.43,27.99,10.44,10.47
1540346819590,38.41,27.99,10.42,10.48
1540346819795,38.45,27.99,10.46,10.46
1540346819996,38.41,27.93,10.48,10.46
1540346820191,38.35,27.93,10.42,10.46
1540346820393,38.37,27.87,10.50,10.45
1540346820594,38.37,27.91,10.46,10.45
1540346820794,38.43,27.93,10.50,10.44
1540346820991,38.41,27.91,10.50,10.45
1540346821201,38.41,27.91,10.50,10.44
1540346821392,38.37,27.85,10.52,10.44
1540346821593,38.37,27.87,10.50,10.45
1540346821790,38.43,27.87,10.56,10.43
1540346821994,38.35,27.85,10.50,10.44
1540346822191,38.35,27.85,10.50,10.44
1540346822392,38.41,27.79,10.62,10.44
1540346822588,38.35,27.79,10.56,10.45
1540346822793,38.35,27.81,10.54,10.44
1540346822990,38.35,27.85,10.50,10.45
1540346823191,38.35,27.85,10.50,10.44
1540346823387,38.37,27.93,10.44,10.44
1540346823592,38.35,27.87,10.48,10.45
1540346823793,38.33,27.87,10.46,10.44
1540346823989,38.37,27.87,10.50,10.45
1540346824193,38.35,27.81,10.54,10.45
1540346824391,38.37,27.79,10.58,10.45
1540346824591,38.37,27.85,10.52,10.46
