1540344465892,32.71,5.20,5.02
1540344465918,37.87,32.59,5.28,5.01
1540344465918,7,4.96,5.02
1540344465920,37.85,32.89,4.96,5.02
1540344465920,37.91,32.85,5.06,5.02
1540344466022,37.95,32.69,5.26,5.02
1540344466027,37.91,32.71,5.20,5.02
1540344466031,37.87,32.59,5.28,5.01
1540344466035,37.87,32.53,5.34,5.02
1540344466039,37.87,32.63,5.24,5.02
1540344466228,37.93,32.59,5.34,5.02
1540344466424,37.93,32.69,5.24,5.02
1540344466625,37.93,32.55,5.38,5.03
1540344466821,37.93,32.61,5.32,5.04
1540344467023,37.95,32.69,5.26,5.04
1540344467223,37.93,32.77,5.16,5.04
1540344467423,37.93,32.75,5.18,5.05
1540344467625,37.91,32.81,5.10,5.05
1540344467821,37.99,32.77,5.22,5.06
1540344468026,38.01,32.81,5.20,5.06
1540344468222,37.99,32.81,5.18,5.07
1540344468423,38.05,32.49,5.56,5.07
1540344468620,38.05,32.49,5.56,5.08
1540344468824,38.03,32.59,5.44,5.09
1540344469022,38.01,32.53,5.48,5.09
1540344469222,38.03,32.61,5.42,5.11
1540344469423,38.05,32.69,5.36,5.12
1540344469619,38.11,32.75,5.36,5.12
1540344469824,38.03,32.69,5.34,5.14
1540344470021,38.09,32.69,5.40,5.14
1540344470222,38.05,32.61,5.44,5.15
1540344470418,38.01,32.71,5.30,5.16
1540344470623,38.05,32.71,5.34,5.17
1540344470824,38.09,32.75,5.34,5.18
1540344471020,38.05,32.75,5.30,5.18
1540344471220,37.99,32.71,5.28,5.19
1540344471417,38.05,32.71,5.34,5.20
1540344471622,38.09,32.67,5.42,5.20
1540344471819,38.13,32.67,5.46,5.22
1540344472019,38.05,32.67,5.38,5.22
1540344472224,38.09,32.61,5.48,5.23
1540344472421,38.09,32.55,5.54,5.23
1540344472621,38.09,32.55,5.54,5.24
1540344472818,38.05,32.59,5.46,5.25
1540344473019,38.09,32.53,5.56,5.25
1540344473215,38.03,32.69,5.34,5.26
1540344473420,38.09,32.77,5.32,5.27
1540344473621,38.03,32.81,5.22,5.28
1540344473818,38.05,32.85,5.20,5.29
1540344474018,38.03,32.91,5.12,5.29
1540344474215,38.03,32.91,5.12,5.30
1540344474420,38.09,32.95,5.14,5.30
1540344474616,38.05,32.95,5.10,5.30
1540344474837,0,0,0,0
1540344474817,38.05,32.91,5.14,5.30
1540344475021,38.09,32.89,5.20,5.30
1540344475218,38.03,32.75,5.28,5.30
1540344475419,38.03,32.55,5.48,5.30
1540344475616,38.05,32.53,5.52,5.30
1540344475816,38.05,32.49,5.56,5.31
1540344476013,38.05,32.45,5.60,5.30
1540344476218,38.09,32.53,5.56,5.31
1540344476414,38.05,32.59,5.46,5.31
1540344476615,38.03,32.59,5.44,5.31
1540344476819,38.05,32.75,5.30,5.32
1540344477016,38.03,32.83,5.20,5.32
1540344477217,38.03,32.81,5.22,5.32
1540344477414,38.03,32.85,5.18,5.33
1540344477615,38.03,32.85,5.18,5.32
1540344477811,38.03,32.81,5.22,5.33
1540344478015,38.03,32.75,5.28,5.32
1540344478217,38.03,32.77,5.26,5.33
1540344478413,38.03,32.75,5.28,5.33
1540344478618,37.99,32.59,5.40,5.32
1540344478815,38.01,32.59,5.42,5.33
1540344479015,38.05,32.59,5.46,5.32
1540344479216,38.03,32.53,5.50,5.33
1540344479413,37.95,32.47,5.48,5.33
1540344479617,38.03,32.33,5.70,5.33
1540344479814,37.95,32.39,5.56,5.33
1540344480018,38.05,32.33,5.72,5.33
1540344480212,38.03,32.47,5.56,5.34
1540344480416,38.03,32.53,5.50,5.35
1540344480617,38.03,32.59,5.44,5.35
1540344480813,38.03,32.61,5.42,5.36
1540344481014,38.03,32.61,5.42,5.36
1540344481210,38.01,32.75,5.26,5.36
1540344481415,38.03,32.69,5.34,5.37
1540344481612,38.05,32.69,5.36,5.37
1540344481813,38.03,32.61,5.42,5.37
1540344482009,37.93,32.77,5.16,5.37
1540344482209,37.95,32.77,5.18,5.38
1540344482414,38.03,32.85,5.18,5.38
1540344482611,37.99,32.97,5.02,5.37
1540344482811,38.03,32.89,5.14,5.37
1540344483009,38.03,32.91,5.12,5.37
1540344483213,37.95,32.95,5.00,5.36
1540344483410,38.03,32.95,5.08,5.36
1540344483611,38.03,32.95,5.08,5.35
1540344483811,37.95,32.99,4.96,5.35
1540344484008,38.03,32.97,5.06,5.34
1540344484212,37.95,32.99,4.96,5.34
1540344484409,37.99,32.95,5.04,5.33
1540344484610,38.03,32.95,5.08,5.32
1540344484807,38.03,32.95,5.08,5.32
1540344485011,37.99,32.83,5.16,5.30
1540344485208,37.95,32.83,5.12,5.30
1540344485409,38.03,32.89,5.14,5.29
1540344485614,37.99,32.95,5.04,5.28
