1540343818715,38.13.85,4.40,4.90
1540343818759,38.25,33.85,4.40,4.89
1540343818759,38.21,33.87,4.34,4.87
1540343818878,38.19,33.71,4.48,4.86
1540343818882,9,4.48,4.93
1540343818886,38.21,33.79,4.42,4.92
1540343818890,38.25,33.85,4.40,4.90
1540343818894,38.25,33.85,4.40,4.89
1540343818899,38.21,33.87,4.34,4.87
1540343818903,38.19,33.71,4.48,4.86
1540343819075,38.25,33.79,4.46,4.85
1540343819079,38.29,33.73,4.56,4.83
1540343819083,38.25,33.65,4.60,4.81
1540343819279,38.21,33.79,4.42,4.80
1540343819477,38.21,33.73,4.48,4.79
1540343819677,38.19,33.83,4.36,4.78
1540343819874,38.21,33.85,4.36,4.76
1540343820075,38.21,33.87,4.34,4.75
1540343820279,38.21,33.85,4.36,4.73
1540343820476,38.19,33.79,4.40,4.72
1540343820677,38.27,33.85,4.42,4.71
1540343820873,38.25,33.85,4.40,4.70
1540343821074,38.19,33.91,4.28,4.69
1540343821275,38.19,33.91,4.28,4.67
1540343821475,38.21,33.83,4.38,4.66
1540343821676,38.27,33.77,4.50,4.65
1540343821873,38.17,33.71,4.46,4.64
1540343822077,38.25,33.69,4.56,4.63
1540343822274,38.19,33.69,4.50,4.62
1540343822475,38.21,33.69,4.52,4.61
1540343822676,38.25,33.77,4.48,4.60
1540343822872,38.21,33.73,4.48,4.59
1540343823077,38.21,33.69,4.52,4.58
1540343823273,38.19,33.71,4.48,4.58
1540343823474,38.27,33.65,4.62,4.57
1540343823678,38.25,33.65,4.60,4.57
1540343823871,38.21,33.63,4.58,4.56
1540343824076,38.21,33.69,4.52,4.56
1540343824273,38.27,33.73,4.54,4.55
1540343824474,38.25,33.77,4.48,4.55
1540343824671,38.21,33.77,4.44,4.55
1540343824875,38.19,33.77,4.42,4.54
1540343825076,38.21,33.73,4.48,4.54
1540343825273,38.19,33.69,4.50,4.53
1540343825473,38.21,33.71,4.50,4.53
1540343825670,38.17,33.71,4.46,4.53
1540343825875,38.19,33.71,4.48,4.52
1540343826075,38.21,33.77,4.44,4.52
1540343826272,38.21,33.73,4.48,4.52
1540343826473,38.19,33.77,4.42,4.52
1540343826669,38.17,33.85,4.32,4.52
1540343826874,38.19,33.91,4.28,4.51
1540343827074,38.19,33.85,4.34,4.51
1540343827271,38.19,33.91,4.28,4.51
1540343827476,38.25,33.91,4.34,4.50
1540343827672,38.21,33.91,4.30,4.50
1540343827873,38.13,33.87,4.26,4.49
1540343828074,38.17,33.93,4.24,4.49
1540343828271,38.25,33.91,4.34,4.48
1540343828476,38.17,33.93,4.24,4.48
1540343828672,38.19,33.93,4.26,4.48
1540343828873,38.21,33.93,4.28,4.47
1540343829074,38.19,33.95,4.24,4.46
1540343829270,38.21,33.93,4.28,4.46
1540343829475,38.17,33.91,4.26,4.45
1540343829671,38.21,33.91,4.30,4.45
1540343829871,38.19,33.85,4.34,4.44
1540343830068,38.19,33.85,4.34,4.44
1540343830273,38.21,33.91,4.30,4.43
1540343830474,38.21,33.85,4.36,4.42
1540343830671,38.17,33.85,4.32,4.42
1540343830872,38.21,33.79,4.42,4.41
1540343831067,38.21,33.73,4.48,4.41
1540343831272,38.21,33.83,4.38,4.41
1540343831473,38.17,33.77,4.40,4.41
1540343831670,38.17,33.85,4.32,4.41
1540343831870,38.21,33.91,4.30,4.40
1540343832067,38.25,33.91,4.34,4.40
1540343832272,38.21,33.91,4.30,4.40
1540343832468,38.17,33.93,4.24,4.39
1540343832670,38.21,33.93,4.28,4.39
1540343832873,38.19,33.93,4.26,4.39
1540343833071,38.19,33.95,4.24,4.39
1540343833271,38.17,33.91,4.26,4.38
1540343833468,38.17,33.93,4.24,4.38
1540343833669,38.17,33.99,4.18,4.38
1540343833874,38.17,33.93,4.24,4.37
1540343834070,38.21,33.95,4.26,4.37
1540343834271,38.19,33.99,4.20,4.37
1540343834467,38.21,33.95,4.26,4.36
1540343834673,38.21,33.93,4.28,4.36
1540343834869,38.17,33.91,4.26,4.35
1540343835069,38.13,33.87,4.26,4.35
1540343835270,38.17,33.91,4.26,4.35
1540343835467,38.19,33.91,4.28,4.34
1540343835671,38.21,33.95,4.26,4.34
1540343835869,38.21,33.93,4.28,4.34
1540343836068,38.17,33.93,4.24,4.33
1540343836265,38.19,33.91,4.28,4.33
1540343836470,38.21,33.93,4.28,4.33
1540343836671,38.21,33.93,4.28,4.33
1540343836868,38.13,33.93,4.20,4.32
1540343837068,38.21,33.99,4.22,4.32
1540343837265,38.19,33.99,4.20,4.32
