1540335029994,35
1540335030025,3,2.00,1.82
1540335030062,35.67,33.51,2.16,1.83
1540335030062,35.63,33.19,2.44,1.83
1540335030062,35.55,32.97,2.58,1.83
1540335030062,35.53,32.77,2.76,1.84
1540335030062,35.43,32.67,2.76,1.85
1540335030223,3,2.00,1.82
1540335030228,35.67,33.51,2.16,1.83
1540335030231,35.63,33.19,2.44,1.83
1540335030235,35.55,32.97,2.58,1.83
1540335030239,35.53,32.77,2.76,1.84
1540335030243,35.43,32.67,2.76,1.85
1540335030247,3,2.00,1.82
1540335030419,35.67,33.51,2.16,1.83
1540335030423,35.63,33.19,2.44,1.83
1540335030427,35.55,32.97,2.58,1.83
1540335030431,35.53,32.77,2.76,1.84
1540335030435,35.43,32.67,2.76,1.85
1540335030439,35.45,32.61,2.84,1.86
1540335030444,35.43,32.63,2.80,1.87
1540335030624,35.31,32.67,2.64,1.89
1540335030628,35.29,32.77,2.52,1.91
1540335030820,35.29,32.83,2.46,1.92
1540335031021,35.29,32.89,2.40,1.94
1540335031218,35.19,32.99,2.20,1.96
1540335031418,35.19,33.03,2.16,1.97
1540335031623,35.27,33.07,2.20,1.99
1540335031820,35.13,33.11,2.02,2.00
1540335032021,35.19,33.17,2.02,2.02
1540335032217,35.23,33.11,2.12,2.03
1540335032423,35.13,33.11,2.02,2.04
1540335032623,35.15,33.05,2.10,2.05
1540335032820,35.15,33.11,2.04,2.05
1540335033024,35.15,33.11,2.04,2.06
1540335033221,35.15,32.99,2.16,2.06
1540335033422,35.19,32.97,2.22,2.07
1540335033626,35.19,32.97,2.22,2.07
1540335033823,35.21,32.91,2.30,2.08
1540335034024,35.19,32.89,2.30,2.08
1540335034220,35.23,32.91,2.32,2.09
1540335034425,35.19,32.91,2.28,2.09
1540335034622,35.19,32.95,2.24,2.10
1540335034822,35.19,33.03,2.16,2.10
1540335035023,35.21,32.99,2.22,2.11
1540335035224,35.23,33.03,2.20,2.11
1540335035425,35.21,33.03,2.18,2.12
1540335035621,35.23,33.03,2.20,2.12
1540335035822,35.21,33.03,2.18,2.12
1540335036027,35.19,33.05,2.14,2.13
1540335036223,35.21,33.05,2.16,2.13
1540335036424,35.19,33.05,2.14,2.14
1540335036621,35.21,33.03,2.18,2.14
1540335036825,35.21,33.07,2.14,2.14
1540335037022,35.15,32.97,2.18,2.14
1540335037222,35.19,33.05,2.14,2.15
1540335037427,35.21,33.05,2.16,2.15
1540335037623,35.21,33.07,2.14,2.15
1540335037825,35.23,33.11,2.12,2.15
1540335038021,35.23,33.03,2.20,2.15
1540335038226,35.21,33.05,2.16,2.15
1540335038426,35.19,33.05,2.14,2.15
1540335038623,35.27,33.07,2.20,2.16
1540335038824,35.29,33.03,2.26,2.15
1540335039025,35.27,33.03,2.24,2.16
1540335039226,35.23,33.05,2.18,2.16
1540335039422,35.29,33.07,2.22,2.16
1540335039622,35.29,33.05,2.24,2.16
1540335039828,35.23,33.07,2.16,2.16
1540335040026,35.37,33.13,2.24,2.16
1540335040225,35.35,33.17,2.18,2.16
1540335040421,35.35,33.13,2.22,2.16
1540335040626,35.31,33.13,2.18,2.17
1540335040827,35.35,33.13,2.22,2.17
1540335041024,35.31,33.07,2.24,2.17
1540335041228,35.37,33.07,2.30,2.17
1540335041425,35.27,33.07,2.20,2.17
1540335041626,35.27,33.07,2.20,2.17
1540335041826,35.31,33.05,2.26,2.17
1540335042027,35.35,33.11,2.24,2.18
1540335042228,35.31,33.13,2.18,2.18
1540335042424,35.31,33.11,2.20,2.18
1540335042624,35.31,33.13,2.18,2.18
1540335042830,35.31,33.13,2.18,2.18
1540335043026,35.31,33.19,2.12,2.18
1540335043227,35.31,33.21,2.10,2.19
1540335043424,35.31,33.25,2.06,2.19
1540335043628,35.31,33.25,2.06,2.19
1540335043729,0,0,0,0
1540335043824,35.35,33.27,2.08,2.19
1540335044026,35.29,33.13,2.16,2.18
1540335044230,35.31,33.17,2.14,2.18
1540335044427,35.31,33.19,2.12,2.18
1540335044628,35.29,33.11,2.18,2.18
1540335044824,35.35,33.17,2.18,2.18
1540335045029,35.29,33.19,2.10,2.18
1540335045230,35.37,33.21,2.16,2.18
1540335045427,35.35,33.17,2.18,2.18
1540335045627,35.35,33.21,2.14,2.18
1540335045828,35.31,33.19,2.12,2.18
1540335046029,35.35,33.17,2.18,2.18
1540335046225,35.31,33.17,2.14,2.18
1540335046425,35.31,33.25,2.06,2.17
1540335046631,35.37,33.27,2.10,2.17
1540335046827,35.37,33.21,2.16,2.17
1540335047028,35.35,33.29,2.06,2.17
1540335047225,35.29,33.27,2.02,2.17
1540335047429,35.37,33.35,2.02,2.16
1540335047630,35.37,33.29,2.08,2.17
1540335047827,35.37,33.29,2.08,2.16
1540335048031,35.39,33.27,2.12,2.16
1540335048228,35.35,33.29,2.06,2.16
1540335048429,35.43,33.19,2.24,2.16
1540335048625,35.39,33.17,2.22,2.16
1540335048830,35.35,33.13,2.22,2.15
1540335049031,35.39,33.13,2.26,2.15
1540335049227,35.35,33.17,2.18,2.15
1540335049432,35.35,33.11,2.24,2.15
1540335049628,35.37,33.17,2.20,2.15
1540335049830,35.37,33.19,2.18,2.15
1540335050026,35.31,33.17,2.14,2.15
1540335050230,35.37,33.05,2.32,2.15
1540335050432,35.37,33.19,2.18,2.15
1540335050628,35.37,33.17,2.20,2.15
1540335050833,35.35,33.17,2.18,2.15
1540335051030,35.35,33.19,2.16,2.16
1540335051230,35.37,33.25,2.12,2.16
1540335051431,35.35,33.25,2.10,2.16
1540335051627,35.37,33.25,2.12,2.16
1540335051832,35.31,33.27,2.04,2.16
1540335052029,35.37,33.27,2.10,2.16
1540335052230,35.37,33.27,2.10,2.16
1540335052426,35.35,33.29,2.06,2.15
1540335052631,35.35,33.25,2.10,2.15
1540335052832,35.37,33.19,2.18,2.15
1540335053028,35.37,33.19,2.18,2.15
1540335053233,35.35,33.17,2.18,2.15
1540335053430,35.39,33.19,2.20,2.15
1540335053630,35.35,33.17,2.18,2.15
1540335053826,35.39,33.19,2.20,2.15
1540335054032,35.37,33.13,2.24,2.15
1540335054232,35.31,33.17,2.14,2.15
1540335054429,35.37,33.13,2.24,2.15
1540335054633,35.31,33.03,2.28,2.15
1540335054830,35.35,33.05,2.30,2.15
1540335055031,35.35,32.99,2.36,2.15
1540335055235,35.43,32.97,2.46,2.16
1540335055432,35.39,32.97,2.42,2.16
1540335055632,35.29,32.97,2.32,2.16
1540335055830,35.37,32.91,2.46,2.17
1540335056030,35.35,32.91,2.44,2.17
