1540334038993,35.0.45,0.06,0.05
1540334038993,3,0.08,0.06
1540334038993,35.53,35.45,0.08,0.06
1540334039102,35.55,35.45,0.10,0.06
1540334039106,35.53,35.43,0.10,0.06
1540334039111,35.51,35.45,0.06,0.05
1540334039115,35.51,35.45,0.06,0.05
1540334039127,3,0.08,0.06
1540334039127,35.53,35.45,0.08,0.06
1540334039128,35.55,35.45,0.10,0.06
1540334039304,35.53,35.43,0.10,0.06
1540334039308,35.51,35.45,0.06,0.05
1540334039312,35.51,35.45,0.06,0.05
1540334039316,3,0.08,0.06
1540334039320,35.53,35.45,0.08,0.06
1540334039324,35.55,35.45,0.10,0.06
1540334039504,35.53,35.43,0.10,0.06
1540334039508,35.51,35.45,0.06,0.05
1540334039512,35.51,35.45,0.06,0.05
1540334039516,35.45,35.43,0.02,0.05
1540334039520,35.43,35.39,0.04,0.05
1540334039524,35.37,35.39,-0.02,0.05
1540334039528,35.43,35.39,0.04,0.05
1540334039701,35.45,35.39,0.06,0.05
1540334039901,35.43,35.37,0.06,0.05
1540334040106,35.43,35.45,-0.02,0.05
1540334040303,35.43,35.43,0.00,0.05
1540334040503,35.45,35.43,0.02,0.05
1540334040700,35.45,35.47,-0.02,0.04
1540334040905,35.45,35.43,0.02,0.04
1540334041098,35.43,35.51,-0.08,0.04
1540334041303,35.45,35.45,0.00,0.04
1540334041502,35.47,35.47,0.00,0.04
1540334041704,35.47,35.47,0.00,0.04
1540334041900,35.43,35.43,0.00,0.04
1540334042101,35.47,35.45,0.02,0.03
1540334042298,35.45,35.39,0.06,0.03
1540334042502,35.51,35.47,0.04,0.03
1540334042699,35.51,35.45,0.06,0.03
1540334042900,35.51,35.43,0.08,0.03
1540334043100,35.45,35.43,0.02,0.03
1540334043301,35.45,35.43,0.02,0.03
1540334043501,35.47,35.43,0.04,0.03
1540334043698,35.47,35.39,0.08,0.03
1540334043899,35.47,35.43,0.04,0.03
1540334044099,35.51,35.45,0.06,0.03
1540334044301,35.45,35.43,0.02,0.03
1540334044497,35.47,35.37,0.10,0.03
1540334044702,35.51,35.35,0.16,0.03
1540334044899,35.45,35.35,0.10,0.03
1540334045099,35.47,35.37,0.10,0.03
1540334045295,35.47,35.37,0.10,0.03
1540334045501,35.47,35.37,0.10,0.04
1540334045697,35.51,35.37,0.14,0.04
1540334045898,35.45,35.29,0.16,0.04
1540334046095,35.47,35.31,0.16,0.04
1540334046275,0,0,0,0
1540334046299,35.47,35.35,0.12,0.04
1540334046496,35.47,35.29,0.18,0.05
1540334046696,35.51,35.37,0.14,0.05
1540334046894,35.51,35.31,0.20,0.05
1540334047098,35.47,35.35,0.12,0.05
1540334047299,35.47,35.39,0.08,0.06
1540334047495,35.51,35.35,0.16,0.06
1540334047700,35.51,35.37,0.14,0.06
1540334047897,35.53,35.43,0.10,0.07
1540334048097,35.47,35.45,0.02,0.07
1540334048294,35.47,35.39,0.08,0.07
1540334048498,35.51,35.37,0.14,0.07
1540334048695,35.53,35.39,0.14,0.08
1540334048896,35.51,35.47,0.04,0.08
1540334049093,35.59,35.43,0.16,0.08
1540334049298,35.51,35.43,0.08,0.08
1540334049494,35.51,35.43,0.08,0.08
1540334049695,35.51,35.43,0.08,0.08
1540334049891,35.51,35.39,0.12,0.09
1540334050096,35.51,35.37,0.14,0.09
1540334050293,35.43,35.39,0.04,0.09
1540334050493,35.55,35.37,0.18,0.09
1540334050698,35.47,35.37,0.10,0.09
1540334050894,35.51,35.37,0.14,0.09
1540334051096,35.51,35.39,0.12,0.09
1540334051292,35.55,35.43,0.12,0.09
1540334051497,35.47,35.39,0.08,0.09
1540334051693,35.53,35.43,0.10,0.09
1540334051894,35.53,35.37,0.16,0.10
1540334052091,35.55,35.43,0.12,0.10
1540334052296,35.53,35.37,0.16,0.10
1540334052492,35.53,35.43,0.10,0.10
1540334052692,35.55,35.37,0.18,0.10
1540334052890,35.59,35.35,0.24,0.10
1540334053094,35.55,35.35,0.20,0.10
1540334053291,35.51,35.35,0.16,0.11
1540334053492,35.53,35.29,0.24,0.11
1540334053688,35.47,35.35,0.12,0.11
1540334053893,35.51,35.29,0.22,0.11
1540334054094,35.47,35.31,0.16,0.11
1540334054290,35.51,35.35,0.16,0.12
1540334054491,35.47,35.27,0.20,0.12
1540334054692,35.51,35.29,0.22,0.12
1540334054892,35.53,35.21,0.32,0.12
1540334055089,35.51,35.29,0.22,0.12
1540334055289,35.51,35.23,0.28,0.13
1540334055490,35.51,35.23,0.28,0.13
1540334055691,35.45,35.23,0.22,0.13
1540334055888,35.45,35.27,0.18,0.14
1540334056089,35.45,35.31,0.14,0.14
1540334056289,35.45,35.29,0.16,0.14
1540334056490,35.45,35.21,0.24,0.14
1540334056690,35.47,35.23,0.24,0.15
1540334056887,35.43,35.21,0.22,0.15
1540334057091,35.45,35.29,0.16,0.15
1540334057289,35.51,35.27,0.24,0.15
1540334057489,35.45,35.27,0.18,0.16
1540334057686,35.47,35.21,0.26,0.16
