1540333851084,3554,0.78
1540333851114,9,0.50,0.89
1540333851114,35.71,35.15,0.56,0.86
1540333851248,35.69,35.13,0.56,0.84
1540333851260,35.69,35.19,0.50,0.82
1540333851261,35.69,35.15,0.54,0.80
1540333851289,35.69,35.15,0.54,0.78
1540333851289,35.81,35.19,0.62,0.76
1540333851290,35.81,35.19,0.62,0.75
1540333851452,35.81,35.21,0.60,0.73
1540333851649,35.83,35.19,0.64,0.72
1540333851849,35.83,35.21,0.62,0.71
1540333852048,35.89,35.19,0.70,0.70
1540333852251,35.89,35.13,0.76,0.69
1540333852447,35.91,35.15,0.76,0.68
1540333852648,35.93,35.07,0.86,0.68
1540333852845,35.89,35.07,0.82,0.67
1540333853050,35.93,35.19,0.74,0.67
1540333853246,35.93,35.13,0.80,0.67
1540333853448,35.91,35.13,0.78,0.66
1540333853652,35.89,35.05,0.84,0.66
1540333853849,35.85,35.07,0.78,0.66
1540333854049,35.77,35.01,0.76,0.66
1540333854246,35.83,34.97,0.86,0.66
1540333854451,35.81,34.93,0.88,0.66
1540333854648,35.83,34.91,0.92,0.67
1540333854848,35.75,34.97,0.78,0.67
1540333855045,35.77,34.93,0.84,0.67
1540333855250,35.77,34.97,0.80,0.68
1540333855446,35.77,34.91,0.86,0.68
1540333855647,35.75,34.91,0.84,0.68
1540333855843,35.69,34.89,0.80,0.69
1540333856049,35.75,34.93,0.82,0.69
1540333856245,35.71,34.89,0.82,0.69
1540333856446,35.75,34.91,0.84,0.70
1540333856650,35.77,34.97,0.80,0.70
1540333856847,35.71,34.89,0.82,0.71
1540333857048,35.71,34.93,0.78,0.71
1540333857244,35.69,34.91,0.78,0.71
1540333857449,35.75,34.97,0.78,0.72
1540333857646,35.69,34.91,0.78,0.72
1540333857846,35.71,34.93,0.78,0.72
1540333858043,35.69,34.89,0.80,0.73
1540333858248,35.67,34.91,0.76,0.73
1540333858444,35.69,34.89,0.80,0.73
1540333858645,35.67,34.89,0.78,0.73
