1539819504132,36.39,1.52,0.33
1539819504223,36.41,34.83,1.58,0.37
1539819504224,36.37,34.81,1.56,0.41
1539819504224,36.33,34.85,1.48,0.45
1539819504224,3,1.54,0.26
1539819504224,36.53,34.89,1.64,0.29
1539819504239,36.41,34.89,1.52,0.33
1539819504416,36.41,34.83,1.58,0.37
1539819504416,36.37,34.81,1.56,0.41
1539819504416,36.33,34.85,1.48,0.45
1539819504432,3,1.54,0.26
1539819504432,36.53,34.89,1.64,0.29
1539819504432,36.41,34.89,1.52,0.33
1539819504447,36.41,34.83,1.58,0.37
1539819504619,36.37,34.81,1.56,0.41
1539819504619,36.33,34.85,1.48,0.45
1539819504619,36.25,34.77,1.48,0.48
1539819504619,36.29,34.81,1.48,0.52
1539819504635,36.31,34.75,1.56,0.56
1539819504822,36.25,34.75,1.50,0.60
1539819505025,36.23,34.77,1.46,0.63
1539819505213,36.23,34.75,1.48,0.66
1539819505416,36.21,34.69,1.52,0.70
1539819505619,36.23,34.75,1.48,0.73
1539819505822,36.23,34.69,1.54,0.76
1539819506010,36.21,34.63,1.58,0.80
1539819506213,36.17,34.61,1.56,0.83
1539819506416,36.21,34.59,1.62,0.86
1539819506604,36.09,34.59,1.50,0.89
1539819506822,36.13,34.63,1.50,0.91
1539819507010,36.15,34.55,1.60,0.94
1539819507213,36.13,34.53,1.60,0.97
1539819507416,36.13,34.61,1.52,0.99
1539819507619,36.13,34.55,1.58,1.02
1539819507822,36.15,34.55,1.60,1.04
1539819508010,36.17,34.59,1.58,1.07
1539819508213,36.23,34.61,1.62,1.09
1539819508416,36.31,34.63,1.68,1.11
1539819508619,36.39,34.61,1.78,1.13
1539819508807,36.47,34.63,1.84,1.15
1539819509010,36.61,34.63,1.98,1.18
1539819509213,36.49,34.71,1.78,1.20
1539819509417,36.61,34.63,1.98,1.22
1539819509620,36.65,34.63,2.02,1.24
1539819509807,36.63,34.69,1.94,1.26
1539819510010,36.69,34.67,2.02,1.29
1539819510213,36.63,34.67,1.96,1.31
1539819510417,36.63,34.61,2.02,1.33
1539819510620,36.69,34.53,2.16,1.35
1539819510807,36.63,34.53,2.10,1.38
1539819511010,36.55,34.53,2.02,1.40
1539819511214,36.65,34.61,2.04,1.42
1539819511405,36.57,34.53,2.04,1.45
1539819511608,36.55,34.61,1.94,1.47
1539819511811,36.55,34.53,2.02,1.49
1539819512014,36.55,34.53,2.02,1.51
1539819512217,36.53,34.59,1.94,1.53
1539819512405,36.55,34.47,2.08,1.55
1539819512608,36.49,34.45,2.04,1.57
1539819512811,36.49,34.51,1.98,1.59
1539819513014,36.49,34.47,2.02,1.61
1539819513202,36.47,34.43,2.04,1.62
1539819513405,36.45,34.47,1.98,1.64
1539819513608,36.53,34.47,2.06,1.66
1539819513811,36.45,34.47,1.98,1.67
1539819513999,36.45,34.51,1.94,1.69
1539819514202,36.39,34.51,1.88,1.70
