1539817431393,347,-4.06,-3.15
1539817431433,34.75,38.97,-4.22,-3.15
1539817431464,34.75,39.21,-4.46,-3.16
1539817431464,8
1539817431558,34.85,38.51,-3.66,-3.16
1539817431558,34.85,38.69,-3.84,-3.16
1539817431558,34.81,38.87,-4.06,-3.15
1539817431558,34.75,38.97,-4.22,-3.15
1539817431573,34.75,39.21,-4.46,-3.16
1539817431573,34.77,39.37,-4.60,-3.17
1539817431573,34.75,39.41,-4.66,-3.18
1539817431745,34.81,39.47,-4.66,-3.20
1539817431948,34.71,39.49,-4.78,-3.22
1539817432151,34.75,39.45,-4.70,-3.25
1539817432355,34.75,39.51,-4.76,-3.27
1539817432558,34.69,39.49,-4.80,-3.31
1539817432761,34.71,39.47,-4.76,-3.34
1539817432948,34.71,39.41,-4.70,-3.37
1539817433152,34.69,39.37,-4.68,-3.41
1539817433355,34.67,39.27,-4.60,-3.45
1539817433558,34.69,39.29,-4.60,-3.49
1539817433745,34.69,39.15,-4.46,-3.52
1539817433948,34.75,39.11,-4.36,-3.56
1539817434152,34.69,39.03,-4.34,-3.60
1539817434355,34.69,39.01,-4.32,-3.63
1539817434558,34.67,38.93,-4.26,-3.66
1539817434745,34.69,38.81,-4.12,-3.69
1539817434948,34.69,38.79,-4.10,-3.72
1539817435152,34.69,38.85,-4.16,-3.75
1539817435355,34.69,38.77,-4.08,-3.77
1539817435542,34.71,38.67,-3.96,-3.80
1539817435745,34.69,38.67,-3.98,-3.82
1539817435948,34.63,38.49,-3.86,-3.84
1539817436152,34.67,38.51,-3.84,-3.86
1539817436355,34.63,38.45,-3.82,-3.87
1539817436542,34.63,38.51,-3.88,-3.89
1539817436745,34.71,38.45,-3.74,-3.90
1539817436948,34.69,38.45,-3.76,-3.91
1539817437152,34.71,38.43,-3.72,-3.92
1539817437355,34.67,38.45,-3.78,-3.92
1539817437543,34.69,38.43,-3.74,-3.93
1539817437746,34.71,38.43,-3.72,-3.93
1539817437949,34.71,38.37,-3.66,-3.93
1539817438152,34.75,38.41,-3.66,-3.93
1539817438355,34.75,38.35,-3.60,-3.93
1539817438543,34.69,38.45,-3.76,-3.93
1539817438746,34.71,38.37,-3.66,-3.93
1539817438949,34.75,38.41,-3.66,-3.92
1539817439152,34.71,38.33,-3.62,-3.92
1539817439340,34.67,38.33,-3.66,-3.91
1539817439543,34.71,38.29,-3.58,-3.91
1539817439746,34.69,38.21,-3.52,-3.90
1539817439949,34.71,38.21,-3.50,-3.90
1539817440152,34.67,38.19,-3.52,-3.89
1539817440340,34.69,38.19,-3.50,-3.88
1539817440543,34.67,38.17,-3.50,-3.87
1539817440746,34.69,38.17,-3.48,-3.86
1539817440949,34.71,38.09,-3.38,-3.85
1539817441152,34.67,38.09,-3.42,-3.84
1539817441355,34.71,38.05,-3.34,-3.83
1539817441543,34.71,37.99,-3.28,-3.82
1539817441746,34.71,38.09,-3.38,-3.81
1539817441949,34.67,38.03,-3.36,-3.79
1539817442152,34.71,38.03,-3.32,-3.78
1539817442340,34.67,37.99,-3.32,-3.77
1539817442543,34.69,38.01,-3.32,-3.76
1539817442746,34.67,37.99,-3.32,-3.74
1539817442949,34.69,38.01,-3.32,-3.73
1539817443137,34.67,37.93,-3.26,-3.72
1539817443340,34.71,37.91,-3.20,-3.70
1539817443543,34.63,37.87,-3.24,-3.69
1539817443746,34.63,37.83,-3.20,-3.67
1539817443949,34.67,37.79,-3.12,-3.66
1539817444137,34.69,37.77,-3.08,-3.64
1539817444340,34.63,37.79,-3.16,-3.63
1539817444543,34.67,37.79,-3.12,-3.61
1539817444746,34.69,37.77,-3.08,-3.60
1539817444949,34.63,37.77,-3.14,-3.58
1539817445152,34.61,37.83,-3.22,-3.57
1539817445340,34.63,37.83,-3.20,-3.55
1539817445543,34.61,37.83,-3.22,-3.54
1539817445746,34.59,37.79,-3.20,-3.52
1539817445949,34.59,37.85,-3.26,-3.51
1539817446137,34.51,37.79,-3.28,-3.50
1539817446340,34.59,37.75,-3.16,-3.48
1539817446543,34.53,37.79,-3.26,-3.47
1539817446746,34.55,37.83,-3.28,-3.46
1539817446949,34.53,37.79,-3.26,-3.45
1539817447137,34.55,37.75,-3.20,-3.44
1539817447340,34.61,37.79,-3.18,-3.43
1539817447543,34.61,37.75,-3.14,-3.42
1539817447746,34.59,37.75,-3.16,-3.41
1539817447949,34.61,37.71,-3.10,-3.40
1539817448137,34.55,37.71,-3.16,-3.39
1539817448340,34.61,37.63,-3.02,-3.38
1539817448543,34.61,37.61,-3.00,-3.37
1539817448746,34.61,37.55,-2.94,-3.36
1539817448949,34.63,37.53,-2.90,-3.35
1539817449137,34.61,37.49,-2.88,-3.34
1539817449340,34.67,37.37,-2.70,-3.33
1539817449543,34.53,37.33,-2.80,-3.32
1539817449746,34.59,37.25,-2.66,-3.31
1539817449934,34.61,37.29,-2.68,-3.29
1539817450153,34.59,37.43,-2.84,-3.28
1539817450340,34.61,37.41,-2.80,-3.26
1539817450543,34.63,37.43,-2.80,-3.25
1539817450746,34.61,37.43,-2.82,-3.23
1539817450934,34.61,37.53,-2.92,-3.22
1539817451137,34.67,37.43,-2.76,-3.20
1539817451340,34.61,37.55,-2.94,-3.19
1539817451543,34.67,37.55,-2.88,-3.17
1539817451747,34.63,37.61,-2.98,-3.16
1539817451934,34.63,37.61,-2.98,-3.15
1539817452137,34.59,37.55,-2.96,-3.14
1539817452340,34.61,37.67,-3.06,-3.12
1539817452544,34.59,37.67,-3.08,-3.12
1539817452747,34.61,37.61,-3.00,-3.11
1539817452934,34.61,37.59,-2.98,-3.10
1539817453137,34.59,37.59,-3.00,-3.09
1539817453340,34.51,37.53,-3.02,-3.08
1539817453544,34.61,37.61,-3.00,-3.08
1539817453731,34.61,37.55,-2.94,-3.07
1539817453950,34.61,37.55,-2.94,-3.07
1539817454139,34.67,37.59,-2.92,-3.06
1539817454342,34.67,37.63,-2.96,-3.05
1539817454545,34.67,37.59,-2.92,-3.05
1539817454733,34.67,37.63,-2.96,-3.05
1539817454936,34.67,37.63,-2.96,-3.04
1539817455139,34.67,37.53,-2.86,-3.04
1539817455343,34.63,37.55,-2.92,-3.03
1539817455546,34.67,37.61,-2.94,-3.03
1539817455733,34.67,37.55,-2.88,-3.02
1539817455936,34.63,37.59,-2.96,-3.02
1539817456139,34.71,37.49,-2.78,-3.02
1539817456342,34.63,37.49,-2.86,-3.01
1539817456545,34.67,37.45,-2.78,-3.01
1539817456733,34.67,37.41,-2.74,-3.00
1539817456936,34.67,37.45,-2.78,-3.00
1539817457144,34.67,37.41,-2.74,-2.99
1539817457332,34.63,37.37,-2.74,-2.99
1539817457535,34.61,37.37,-2.76,-2.98
1539817457738,34.61,37.41,-2.80,-2.97
1539817457941,34.63,37.33,-2.70,-2.97
1539817458144,34.63,37.41,-2.78,-2.96
1539817458332,34.61,37.35,-2.74,-2.96
1539817458535,34.63,37.37,-2.74,-2.95
1539817458738,34.59,37.35,-2.76,-2.94
1539817458941,34.63,37.37,-2.74,-2.94
1539817459129,34.63,37.33,-2.70,-2.93
1539817459347,34.61,37.35,-2.74,-2.92
1539817459535,34.67,37.33,-2.66,-2.92
1539817459738,34.63,37.35,-2.72,-2.91
1539817459941,34.63,37.29,-2.66,-2.91
1539817460129,34.61,37.29,-2.68,-2.90
1539817460332,34.61,37.27,-2.66,-2.89
1539817460535,34.63,37.27,-2.64,-2.89
1539817460738,34.63,37.25,-2.62,-2.88
1539817460941,34.67,37.19,-2.52,-2.87
