1539674250363,7.67.63,-2.34,-0.33
1539674250503,35.21,37.63,-2.42,-0.39
1539674250507,35.21,37.53,-2.32,-0.44
1539674250511,35.21,37.59,-2.38,-0.50
1539674250515,35.07,37.53,-2.46,-0.56
1539674250519,35.13,37.37.63,-2.34,-0.33
1539674250523,35.21,37.63,-2.42,-0.39
1539674250526,35.21,37.53,-2.32,-0.44
1539674250699,35.21,37.59,-2.38,-0.50
1539674250703,35.07,37.53,-2.46,-0.56
1539674250707,35.13,37.Ir??bj?r??j
1539674250711,35.13,37.55,-2.42,-0.68
1539674250715,35.15,37.55,-2.40,-0.74
1539674250899,35.05,37.55,-2.50,-0.80
1539674251104,34.99,37.55,-2.56,-0.86
1539674251305,34.97,37.53,-2.56,-0.92
1539674251502,34.97,37.63,-2.66,-0.98
1539674251702,34.99,37.55,-2.56,-1.04
1539674251903,35.01,37.53,-2.52,-1.10
1539674252100,34.97,37.51,-2.54,-1.15
1539674252301,34.97,37.59,-2.62,-1.21
1539674252506,34.97,37.53,-2.56,-1.26
1539674252698,34.97,37.53,-2.56,-1.31
1539674252903,34.97,37.51,-2.54,-1.36
1539674253103,35.07,37.51,-2.44,-1.41
1539674253300,35.01,37.51,-2.50,-1.46
1539674253501,35.07,37.45,-2.38,-1.51
1539674253702,35.01,37.53,-2.52,-1.55
1539674253898,35.15,37.53,-2.38,-1.59
1539674254099,35.21,37.53,-2.32,-1.63
1539674254304,35.29,37.45,-2.16,-1.67
1539674254500,35.27,37.45,-2.18,-1.71
1539674254701,35.27,37.45,-2.18,-1.74
1539674254901,35.21,37.49,-2.28,-1.77
1539674255098,35.23,37.49,-2.26,-1.80
1539674255299,35.19,37.51,-2.32,-1.83
1539674255500,35.21,37.53,-2.32,-1.85
1539674255696,35.13,37.51,-2.38,-1.88
1539674255901,35.15,37.55,-2.40,-1.90
1539674256101,35.01,37.59,-2.58,-1.92
1539674256298,34.97,37.53,-2.56,-1.95
1539674256499,34.97,37.53,-2.56,-1.97
1539674256699,34.99,37.59,-2.60,-1.99
1539674256895,35.01,37.53,-2.52,-2.01
1539674257097,35.01,37.61,-2.60,-2.03
1539674257301,35.13,37.59,-2.46,-2.06
1539674257499,35.21,37.55,-2.34,-2.08
1539674257699,35.19,37.51,-2.32,-2.09
1539674257900,35.01,37.53,-2.52,-2.11
1539674258096,34.97,37.51,-2.54,-2.13
1539674258297,34.97,37.49,-2.52,-2.15
1539674258502,35.01,37.51,-2.50,-2.16
1539674258694,34.93,37.45,-2.52,-2.18
1539674258899,34.97,37.45,-2.48,-2.19
1539674259100,34.93,37.51,-2.58,-2.20
1539674259296,34.93,37.49,-2.56,-2.22
1539674259497,34.99,37.55,-2.56,-2.23
1539674259697,34.97,37.51,-2.54,-2.25
1539674259894,34.93,37.53,-2.60,-2.26
1539674260100,34.99,37.51,-2.52,-2.27
1539674260300,35.01,37.51,-2.50,-2.28
1539674260496,34.99,37.53,-2.54,-2.30
1539674260697,35.01,37.49,-2.48,-2.31
1539674260897,35.01,37.53,-2.52,-2.32
1539674261094,35.13,37.55,-2.42,-2.33
1539674261295,35.13,37.51,-2.38,-2.34
1539674261500,35.15,37.51,-2.36,-2.34
1539674261697,35.13,37.51,-2.38,-2.35
1539674261897,35.09,37.49,-2.40,-2.36
1539674262098,35.15,37.51,-2.36,-2.36
1539674262295,35.21,37.49,-2.28,-2.37
1539674262495,35.31,37.51,-2.20,-2.37
1539674262695,35.19,37.45,-2.26,-2.38
1539674262892,35.01,37.49,-2.48,-2.38
1539674263097,35.05,37.49,-2.44,-2.38
1539674263298,35.19,37.43,-2.24,-2.38
1539674263495,35.15,37.49,-2.34,-2.39
1539674263695,35.19,37.43,-2.24,-2.39
1539674263896,35.23,37.53,-2.30,-2.39
1539674264092,35.15,37.51,-2.36,-2.39
1539674264293,35.13,37.43,-2.30,-2.39
1539674264498,35.05,37.49,-2.44,-2.39
1539674264694,35.05,37.51,-2.46,-2.39
1539674264895,35.15,37.51,-2.36,-2.39
1539674265096,35.21,37.51,-2.30,-2.39
1539674265293,35.21,37.51,-2.30,-2.39
1539674265493,35.15,37.51,-2.36,-2.39
1539674265698,35.15,37.51,-2.36,-2.38
1539674265895,35.13,37.55,-2.42,-2.38
1539674266095,35.19,37.49,-2.30,-2.38
1539674266296,35.19,37.51,-2.32,-2.38
1539674266492,35.27,37.51,-2.24,-2.38
1539674266693,35.21,37.49,-2.28,-2.38
1539674266898,35.13,37.45,-2.32,-2.38
1539674267094,35.15,37.45,-2.30,-2.37
1539674267295,35.07,37.51,-2.44,-2.37
1539674267492,35.15,37.29,-2.14,-2.37
1539674267692,35.21,37.11,-1.90,-2.37
1539674267893,35.27,36.77,-1.50,-2.37
1539674268090,35.31,36.49,-1.18,-2.36
1539674268290,35.31,36.81,-1.50,-2.35
1539674268495,35.31,36.33,-1.02,-2.34
1539674268570,0,0,0,0
1539674268691,35.35,36.57,-1.22,-2.32
1539674268892,35.35,37.01,-1.66,-2.30
1539674269089,35.23,37.21,-1.98,-2.28
1539674269290,35.37,37.35,-1.98,-2.26
1539674269495,35.27,37.45,-2.18,-2.24
1539674269691,35.07,37.49,-2.42,-2.22
1539674269892,34.99,37.53,-2.54,-2.21
1539674270093,35.05,37.53,-2.48,-2.20
1539674270290,35.07,37.53,-2.46,-2.19
1539674270494,35.05,37.59,-2.54,-2.18
1539674270694,35.19,37.55,-2.36,-2.18
1539674270892,35.23,37.67,-2.44,-2.18
1539674271092,35.21,37.63,-2.42,-2.17
1539674271289,35.13,37.59,-2.46,-2.18
1539674271489,35.15,37.61,-2.46,-2.18
1539674271694,35.21,37.55,-2.34,-2.18
1539674271887,35.29,37.63,-2.34,-2.18
1539674272092,35.27,37.61,-2.34,-2.18
1539674272292,35.21,37.53,-2.32,-2.19
1539674272489,35.23,37.61,-2.38,-2.19
1539674272690,35.27,37.61,-2.34,-2.19
1539674272890,35.35,37.53,-2.18,-2.20
1539674273087,35.39,37.59,-2.20,-2.20
1539674273291,35.35,37.53,-2.18,-2.21
1539674273491,35.37,37.61,-2.24,-2.21
1539674273690,35.15,37.55,-2.40,-2.21
1539674273889,35.07,37.53,-2.46,-2.22
1539674274091,35.13,37.55,-2.42,-2.22
