1539674505595,305,-4.04,-3.84
1539674505604,34.93,39.01,-4.08,-3.87
1539674505604,34.91,38.93,-4.02,-3.91
1539674505764,34.91,38.85,-3.94,-3.93
1539674505768,35.05,38.75,-3.70,-3.95
1539674505773,34.93,38.75,-3.82,-3.98
1539674505965,34.97,38.63,-3.66,-3.99
1539674506162,35.01,38.61,-3.60,-4.00
1539674506366,35.07,38.55,-3.48,-4.02
1539674506562,34.91,38.55,-3.64,-4.02
1539674506763,34.83,38.59,-3.76,-4.03
1539674506964,34.77,38.55,-3.78,-4.03
1539674507161,34.81,38.53,-3.72,-4.03
1539674507366,34.69,38.51,-3.82,-4.03
1539674507563,34.69,38.45,-3.76,-4.02
1539674507763,34.71,38.55,-3.84,-4.03
1539674507963,34.83,38.49,-3.66,-4.02
1539674508160,34.89,38.45,-3.56,-4.02
1539674508365,34.93,38.37,-3.44,-4.01
1539674508562,35.01,38.41,-3.40,-4.00
1539674508762,34.91,38.33,-3.42,-4.00
1539674508963,34.89,38.29,-3.40,-3.99
1539674509160,34.91,38.35,-3.44,-3.98
1539674509365,34.91,38.43,-3.52,-3.97
1539674509562,34.91,38.53,-3.62,-3.95
1539674509762,34.85,38.59,-3.74,-3.94
1539674509963,34.85,38.51,-3.66,-3.93
1539674510159,34.91,38.59,-3.68,-3.92
1539674510363,34.99,38.51,-3.52,-3.91
1539674510561,34.93,38.43,-3.50,-3.89
1539674510762,34.97,38.43,-3.46,-3.88
1539674510962,35.07,38.29,-3.22,-3.87
1539674511159,35.05,38.33,-3.28,-3.86
1539674511364,35.09,38.29,-3.20,-3.85
1539674511564,35.07,38.27,-3.20,-3.83
1539674511761,35.07,38.19,-3.12,-3.82
1539674511961,35.07,38.25,-3.18,-3.80
1539674512157,35.05,38.19,-3.14,-3.78
1539674512363,35.07,38.21,-3.14,-3.76
1539674512564,35.15,38.19,-3.04,-3.74
1539674512759,35.07,38.21,-3.14,-3.73
1539674512961,35.05,38.19,-3.14,-3.71
1539674513157,35.05,38.25,-3.20,-3.69
1539674513362,35.01,38.19,-3.18,-3.67
1539674513562,35.09,38.21,-3.12,-3.65
1539674513760,35.13,38.19,-3.06,-3.64
1539674513960,35.15,38.13,-2.98,-3.61
1539674514157,35.15,38.11,-2.96,-3.60
1539674514362,35.09,37.99,-2.90,-3.58
1539674514562,35.13,37.99,-2.86,-3.56
1539674514759,35.27,37.95,-2.68,-3.54
1539674514960,35.19,37.95,-2.76,-3.51
1539674515155,35.09,37.91,-2.82,-3.49
1539674515361,35.09,37.93,-2.84,-3.47
1539674515562,34.93,37.87,-2.94,-3.45
1539674515758,34.97,36.71,-1.74,-3.43
1539674515963,34.97,36.31,-1.34,-3.41
1539674516160,34.97,36.15,-1.18,-3.38
1539674516360,35.01,35.37,-0.36,-3.34
1539674516557,34.93,34.93,0.00,-3.30
1539674516758,35.05,34.61,0.44,-3.25
1539674516962,35.01,34.31,0.70,-3.20
1539674517159,35.07,34.09,0.98,-3.13
1539674517360,35.09,34.83,0.26,-3.06
1539674517556,35.09,36.05,-0.96,-2.98
1539674517761,35.09,36.81,-1.72,-2.90
1539674517958,35.13,37.29,-2.16,-2.82
1539674518158,35.09,37.63,-2.54,-2.76
1539674518354,35.13,37.71,-2.58,-2.70
1539674518559,35.21,37.91,-2.70,-2.64
1539674518760,35.09,38.05,-2.96,-2.59
1539674518957,35.07,38.13,-3.06,-2.55
1539674519157,35.09,38.35,-3.26,-2.52
1539674519355,35.07,38.51,-3.44,-2.49
1539674519559,35.13,38.53,-3.40,-2.47
1539674519760,35.01,38.63,-3.62,-2.46
1539674519956,35.07,38.67,-3.60,-2.45
1539674520161,35.05,38.67,-3.62,-2.45
1539674520357,34.97,38.75,-3.78,-2.46
1539674520558,34.93,38.75,-3.82,-2.46
1539674520755,35.07,38.71,-3.64,-2.48
1539674520956,35.07,38.69,-3.62,-2.49
1539674521161,35.05,38.69,-3.64,-2.51
1539674521357,34.97,38.69,-3.72,-2.54
1539674521558,34.89,38.69,-3.80,-2.56
1539674521755,34.91,38.63,-3.72,-2.59
1539674521955,34.85,38.69,-3.84,-2.61
1539674522160,34.81,38.67,-3.86,-2.64
1539674522356,34.91,38.59,-3.68,-2.67
1539674522558,34.91,38.67,-3.76,-2.70
1539674522753,34.91,38.55,-3.64,-2.74
1539674522955,35.01,38.53,-3.52,-2.77
1539674523159,34.99,38.51,-3.52,-2.80
1539674523355,35.01,38.45,-3.44,-2.83
1539674523556,35.05,38.41,-3.36,-2.86
