1539745985312,330,0.64,0.72
1539745985397,1,0.76,0.71
1539745985401,34.23,33.69,0.54,0.71
1539745985405,34.17,33.69,0.48,0.71
1539745985428,34.23,33.73,0.50,0.72
1539745985429,34.25,33.77,0.48,0.72
1539745985612,34.29,33.65,0.64,0.72
1539745985634,1,0.76,0.71
1539745985634,34.23,33.69,0.54,0.71
1539745985634,34.17,33.69,0.48,0.71
1539745985634,34.23,33.73,0.50,0.72
1539745985794,34.25,33.77,0.48,0.72
1539745985798,34.29,33.65,0.64,0.72
1539745985803,34.29,33.57,0.72,0.72
1539745985807,34.29,33.65,0.64,0.72
1539745985811,34.21,33.63,0.58,0.72
1539745985996,34.25,33.69,0.56,0.71
1539745986192,34.25,33.71,0.54,0.71
1539745986397,34.31,33.77,0.54,0.71
1539745986593,34.31,33.79,0.52,0.71
1539745986794,34.43,33.79,0.64,0.71
1539745986999,34.39,33.85,0.54,0.70
1539745987195,34.45,33.85,0.60,0.70
1539745987396,34.23,33.79,0.44,0.70
1539745987593,34.23,33.77,0.46,0.69
1539745987794,34.21,33.65,0.56,0.69
1539745987990,34.21,33.65,0.56,0.68
1539745988194,34.23,33.57,0.66,0.68
1539745988395,34.23,33.57,0.66,0.68
1539745988592,34.13,33.61,0.52,0.67
1539745988797,34.09,33.55,0.54,0.67
1539745988993,33.99,33.47,0.52,0.66
1539745989194,33.99,33.47,0.52,0.66
1539745989391,33.95,33.49,0.46,0.66
1539745989596,33.99,33.55,0.44,0.65
1539745989797,33.99,33.57,0.42,0.65
1539745989994,34.01,33.63,0.38,0.64
1539745990194,34.07,33.63,0.44,0.63
1539745990391,34.17,33.69,0.48,0.63
1539745990595,34.21,33.77,0.44,0.62
1539745990792,34.23,33.73,0.50,0.62
1539745990993,34.23,33.77,0.46,0.61
1539745991197,34.25,33.77,0.48,0.61
1539745991394,34.17,33.69,0.48,0.60
1539745991594,34.13,33.69,0.44,0.60
1539745991791,34.15,33.69,0.46,0.59
1539745992002,34.09,33.69,0.40,0.59
1539745992192,34.01,33.61,0.40,0.58
1539745992393,33.95,33.63,0.32,0.58
1539745992589,33.95,33.69,0.26,0.57
1539745992794,34.03,33.65,0.38,0.56
1539745992995,34.21,33.71,0.50,0.56
1539745993192,34.17,33.71,0.46,0.55
1539745993392,34.13,33.73,0.40,0.55
1539745993589,34.15,33.73,0.42,0.54
1539745993794,34.21,33.77,0.44,0.54
1539745993990,34.21,33.73,0.48,0.53
1539745994192,34.13,33.77,0.36,0.53
1539745994396,34.17,33.73,0.44,0.52
1539745994593,34.17,33.79,0.38,0.52
1539745994793,34.21,33.73,0.48,0.51
1539745994990,34.23,33.77,0.46,0.51
1539745995191,34.21,33.79,0.42,0.51
1539745995387,34.33,33.79,0.54,0.50
1539745995592,34.37,33.79,0.58,0.50
1539745995789,34.29,33.73,0.56,0.50
1539745995990,34.25,33.77,0.48,0.50
1539745996195,34.25,33.79,0.46,0.50
1539745996391,34.23,33.77,0.46,0.50
1539745996592,34.15,33.65,0.50,0.49
1539745996788,34.17,33.65,0.52,0.49
1539745996988,34.17,33.69,0.48,0.49
1539745997194,34.15,33.77,0.38,0.49
1539745997390,34.15,33.71,0.44,0.49
1539745997590,34.23,33.73,0.50,0.49
1539745997787,34.25,33.73,0.52,0.49
1539745997992,34.39,33.73,0.66,0.49
1539745998193,34.43,33.77,0.66,0.49
1539745998389,34.43,33.71,0.72,0.49
1539745998590,34.37,33.73,0.64,0.49
1539745998787,34.43,33.69,0.74,0.49
1539745998991,34.31,33.79,0.52,0.49
1539745999188,34.31,33.83,0.48,0.49
1539745999389,34.25,33.79,0.46,0.50
1539745999586,34.25,33.77,0.48,0.50
1539745999791,34.31,33.79,0.52,0.50
1539745999991,34.39,33.73,0.66,0.50
1539746000188,34.45,33.73,0.72,0.50
