Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
1540106714220,36.61,37.67,-1.06,-1.1
1540106714221,36.55,37.61,-1.06,-1.1
1540106714350,36.57,37.69,-1.12,-1.1
1540106714363,36.55,37.67,-1.12,-1.1
1540106714363,36.55,37.67,-1.12,-1.1
1540106714380,36.61,37.67,-1.06,-1.1
1540106714380,36.55,37.61,-1.06,-1.1
1540106714381,36.57,37.69,-1.12,-1.1
1540106714552,36.53,37.61,-1.08,-1.1
1540106714556,36.57,37.61,-1.04,-1.1
1540106714560,36.61,37.67,-1.06,-1.1
1540106714752,36.55,37.71,-1.16,-1.1
1540106714953,36.55,37.67,-1.12,-1.1
1540106715149,36.55,37.71,-1.16,-1.1
1540106715354,36.57,37.69,-1.12,-1.1
1540106715550,36.53,37.69,-1.16,-1.1
1540106715752,36.53,37.71,-1.18,-1.1
1540106715949,36.55,37.71,-1.16,-1.1
1540106716153,36.57,37.71,-1.14,-1.1
1540106716350,36.55,37.67,-1.12,-1.1
1540106716551,36.47,37.71,-1.24,-1.1
1540106716747,36.53,37.67,-1.14,-1.1
1540106716952,36.53,37.77,-1.24,-1.11
1540106717148,36.55,37.69,-1.14,-1.11
1540106717349,36.55,37.67,-1.12,-1.11
1540106717546,36.55,37.75,-1.2,-1.11
1540106717751,36.53,37.67,-1.14,-1.11
1540106717951,36.53,37.75,-1.22,-1.11
1540106718148,36.57,37.75,-1.18,-1.11
1540106718353,36.55,37.67,-1.12,-1.11
1540106718549,36.57,37.69,-1.12,-1.12
1540106718750,36.55,37.69,-1.14,-1.12
1540106718947,36.53,37.77,-1.24,-1.12
1540106719151,36.55,37.69,-1.14,-1.12
1540106719348,36.61,37.71,-1.1,-1.12
1540106719548,36.55,37.69,-1.14,-1.12
1540106719745,36.53,37.75,-1.22,-1.12
1540106719950,36.55,37.71,-1.16,-1.13
1540106720146,36.55,37.83,-1.28,-1.13
1540106720347,36.55,37.71,-1.16,-1.13
1540106720549,36.53,37.77,-1.24,-1.13
1540106720748,36.63,37.75,-1.12,-1.13
1540106720945,36.53,37.83,-1.3,-1.13
1540106721150,36.57,37.71,-1.14,-1.14
1540106721347,36.57,37.77,-1.2,-1.14
1540106721547,36.57,37.75,-1.18,-1.14
1540106721752,36.57,37.77,-1.2,-1.14
1540106721949,36.57,37.75,-1.18,-1.14
1540106722149,36.57,37.79,-1.22,-1.14
1540106722346,36.61,37.77,-1.16,-1.15
1540106722551,36.61,37.79,-1.18,-1.15
1540106722748,36.57,37.79,-1.22,-1.15
1540106722948,36.57,37.79,-1.22,-1.15
1540106723145,36.57,37.87,-1.3,-1.16
1540106723350,36.55,37.79,-1.24,-1.16
1540106723546,36.55,37.83,-1.28,-1.16
1540106723747,36.55,37.75,-1.2,-1.16
1540106723943,36.49,37.77,-1.28,-1.17
1540106724148,36.55,37.77,-1.22,-1.17
1540106724345,36.55,37.77,-1.22,-1.17
1540106724545,36.57,37.79,-1.22,-1.17
1540106724742,36.57,37.79,-1.22,-1.18
1540106724947,36.55,37.85,-1.3,-1.18
1540106725143,36.55,37.79,-1.24,-1.18
1540106725344,36.57,37.79,-1.22,-1.18
1540106725549,36.57,37.85,-1.28,-1.19
1540106725745,36.49,37.79,-1.3,-1.19
1540106725946,36.55,37.77,-1.22,-1.19
1540106726147,36.47,37.83,-1.36,-1.2
1540106726347,36.53,37.83,-1.3,-1.2
1540106726544,36.55,37.85,-1.3,-1.2
1540106726745,36.53,37.85,-1.32,-1.21
1540106726945,36.53,37.87,-1.34,-1.21
1540106727146,36.53,37.83,-1.3,-1.21
1540106727343,36.53,37.83,-1.3,-1.22
1540106727544,36.55,37.85,-1.3,-1.22
1540106727744,36.53,37.83,-1.3,-1.22
1540106727945,36.53,37.79,-1.26,-1.23
1540106728147,36.53,37.85,-1.32,-1.23
1540106728342,36.53,37.85,-1.32,-1.23
1540106728547,36.55,37.85,-1.3,-1.24
1540106728744,36.55,37.85,-1.3,-1.24
1540106728945,36.49,37.87,-1.38,-1.24
1540106729145,36.47,37.91,-1.44,-1.25
1540106729345,36.55,37.87,-1.32,-1.25
1540106729543,36.55,37.91,-1.36,-1.25
1540106729743,36.53,37.87,-1.34,-1.25
1540106729940,36.53,37.91,-1.38,-1.26
1540106730145,36.49,37.87,-1.38,-1.26
1540106730346,36.53,37.87,-1.34,-1.26
1540106730541,36.49,37.91,-1.42,-1.27
1540106730750,36.53,37.95,-1.42,-1.27
1540106730943,36.61,37.91,-1.3,-1.27
1540106731144,36.53,37.87,-1.34,-1.28
1540106731340,36.49,37.95,-1.46,-1.28
1540106731545,36.55,37.91,-1.36,-1.28
1540106731741,36.49,37.87,-1.38,-1.29
1540106731943,36.53,37.87,-1.34,-1.29
1540106732138,36.55,37.93,-1.38,-1.29
1540106732344,36.55,37.93,-1.38,-1.29
1540106732545,36.53,37.91,-1.38,-1.3
1540106732741,36.55,37.91,-1.36,-1.3
1540106732946,36.55,37.95,-1.4,-1.3
1540106733142,36.55,37.95,-1.4,-1.31
1540106733343,36.55,37.95,-1.4,-1.31
1540106733540,36.53,37.99,-1.46,-1.31
1540106733741,36.53,37.91,-1.38,-1.32
1540106733945,36.49,37.93,-1.44,-1.32
1540106734142,36.53,37.93,-1.4,-1.32
1540106734343,36.55,37.95,-1.4,-1.32
1540106734539,36.53,37.93,-1.4,-1.33
1540106734744,36.55,37.95,-1.4,-1.33
1540106734941,36.49,37.93,-1.44,-1.33
1540106735142,36.53,37.95,-1.42,-1.34
1540106735338,36.53,37.95,-1.42,-1.34
1540106735543,36.47,37.93,-1.46,-1.34
1540106735743,36.55,37.99,-1.44,-1.35
1540106735940,36.45,37.95,-1.5,-1.35
1540106736141,36.55,37.93,-1.38,-1.35
1540106736337,36.53,37.99,-1.46,-1.36
1540106736542,36.57,37.95,-1.38,-1.36
1540106736739,36.53,37.99,-1.46,-1.36
1540106736939,36.47,37.99,-1.52,-1.36
1540106737144,36.53,38.03,-1.5,-1.37
1540106737341,36.53,37.95,-1.42,-1.37
1540106737541,36.47,37.99,-1.52,-1.37
1540106737738,36.53,37.95,-1.42,-1.38
1540106737943,36.49,37.99,-1.5,-1.38
1540106738140,36.47,37.93,-1.46,-1.38
1540106738340,36.53,37.95,-1.42,-1.39
1540106738541,36.47,37.99,-1.52,-1.39
1540106738737,36.47,38.01,-1.54,-1.39
1540106738943,36.53,37.99,-1.46,-1.4
1540106739139,36.53,37.99,-1.46,-1.4
1540106739340,36.53,37.95,-1.42,-1.4
1540106739536,36.49,37.99,-1.5,-1.41
1540106739741,36.53,38.01,-1.48,-1.41
1540106739942,36.49,38.03,-1.54,-1.41
1540106740139,36.53,38.03,-1.5,-1.41
1540106740339,36.53,38.05,-1.52,-1.42
1540106740539,36.49,38.03,-1.54,-1.42
1540106740740,36.47,38.01,-1.54,-1.42
1540106740937,36.53,37.95,-1.42,-1.43
1540106741137,36.53,38.03,-1.5,-1.43
1540106741335,36.53,38.05,-1.52,-1.43
1540106741538,36.49,37.99,-1.5,-1.44
1540106741740,36.49,37.99,-1.5,-1.44
1540106741936,36.53,38.01,-1.48,-1.44
1540106742141,36.49,38.01,-1.52,-1.44
1540106742338,36.49,38.03,-1.54,-1.44
1540106742538,36.49,38.03,-1.54,-1.45
1540106742735,36.49,38.01,-1.52,-1.45
1540106742936,36.49,37.99,-1.5,-1.45
1540106743141,36.47,38.05,-1.58,-1.46
1540106743337,36.45,38.09,-1.64,-1.46
1540106743538,36.49,38.01,-1.52,-1.46
1540106743735,36.47,38.03,-1.56,-1.46
1540106743939,36.49,38.05,-1.56,-1.47
1540106744136,36.53,38.05,-1.52,-1.47
1540106744337,36.53,38.03,-1.5,-1.47
1540106744542,36.53,38.03,-1.5,-1.48
1540106744738,36.49,38.03,-1.54,-1.48
1540106744939,36.45,38.01,-1.56,-1.48
1540106745135,36.47,38.03,-1.56,-1.48
1540106745336,36.47,38.01,-1.54,-1.48
1540106745533,36.47,38.01,-1.54,-1.49
1540106745737,36.49,38.05,-1.56,-1.49
1540106745937,36.49,38.01,-1.52,-1.49
1540106746134,36.49,38.03,-1.54,-1.49
1540106746339,36.55,38.01,-1.46,-1.49
1540106746536,36.49,38.09,-1.6,-1.5
1540106746737,36.49,38.03,-1.54,-1.5
1540106746938,36.55,38.05,-1.5,-1.5
1540106747134,36.45,38.03,-1.58,-1.5
1540106747339,36.41,38.05,-1.64,-1.5
1540106747535,36.49,38.05,-1.56,-1.51
1540106747736,36.55,38.03,-1.48,-1.51
1540106747933,36.49,38.05,-1.56,-1.51
1540106748138,36.55,38.03,-1.48,-1.51
1540106748339,36.47,38.01,-1.54,-1.51
1540106748535,36.53,38.09,-1.56,-1.52
