1540105675714,325,-2.40,-2.28
1540105675716,35.89,38.25,-2.36,-2.29
1540105675723,35.89,38.27,-2.38,-2.29
1540105675878,35.99,38.29,-2.30,-2.29
1540105675882,35.91,38.29,-2.38,-2.30
1540105676074,35.85,38.29,-2.44,-2.30
1540105676280,35.93,38.33,-2.40,-2.30
1540105676476,35.93,38.33,-2.40,-2.31
1540105676677,35.93,38.37,-2.44,-2.31
1540105676873,36.01,38.35,-2.34,-2.31
1540105677078,35.99,38.45,-2.46,-2.32
1540105677274,36.01,38.41,-2.40,-2.32
1540105677476,35.99,38.41,-2.42,-2.32
1540105677672,35.99,38.37,-2.38,-2.33
1540105677873,35.99,38.45,-2.46,-2.33
1540105678078,35.99,38.41,-2.42,-2.33
1540105678274,35.91,38.37,-2.46,-2.34
1540105678475,35.93,38.37,-2.44,-2.34
1540105678672,35.99,38.35,-2.36,-2.34
1540105678877,35.99,38.35,-2.36,-2.34
1540105679073,35.93,38.37,-2.44,-2.35
1540105679274,35.99,38.33,-2.34,-2.35
1540105679470,36.01,38.37,-2.36,-2.35
1540105679675,35.99,38.33,-2.34,-2.36
1540105679876,35.97,38.41,-2.44,-2.35
1540105680072,35.99,38.33,-2.34,-2.36
1540105680273,35.93,38.33,-2.40,-2.36
1540105680474,36.01,38.33,-2.32,-2.36
1540105680675,35.99,38.33,-2.34,-2.36
1540105680871,35.99,38.27,-2.28,-2.36
1540105681071,35.91,38.33,-2.42,-2.36
1540105681268,35.93,38.29,-2.36,-2.37
1540105681473,36.01,38.29,-2.28,-2.36
1540105681670,35.97,38.33,-2.36,-2.37
1540105681870,36.05,38.29,-2.24,-2.36
1540105682074,35.97,38.27,-2.30,-2.37
1540105682272,35.99,38.29,-2.30,-2.36
1540105682473,35.89,38.29,-2.40,-2.36
1540105682669,35.91,38.29,-2.38,-2.36
1540105682874,35.97,38.29,-2.32,-2.36
1540105683071,35.85,38.27,-2.42,-2.36
1540105683194,0,0,0,0
1540105683270,35.93,38.17,-2.24,-2.36
1540105683468,35.91,38.27,-2.36,-2.36
1540105683672,35.91,38.25,-2.34,-2.36
1540105683874,35.93,38.25,-2.32,-2.35
1540105684070,35.89,38.29,-2.40,-2.36
1540105684271,35.89,38.25,-2.36,-2.35
1540105684467,35.83,38.29,-2.46,-2.35
1540105684672,35.91,38.25,-2.34,-2.35
1540105684869,35.93,38.25,-2.32,-2.35
1540105685069,35.91,38.29,-2.38,-2.35
1540105685266,35.89,38.25,-2.36,-2.35
1540105685471,35.93,38.25,-2.32,-2.35
1540105685667,35.93,38.21,-2.28,-2.35
1540105685868,35.91,38.21,-2.30,-2.35
1540105686072,35.91,38.21,-2.30,-2.35
1540105686269,35.83,38.21,-2.38,-2.35
1540105686470,35.99,38.19,-2.20,-2.35
1540105686667,35.89,38.17,-2.28,-2.35
