1540105930779,35.638.29,-2.60,-0.69
1540105930802,35.71,38.33,-2.62,-0.75
1540105930927,35.67,38.33,-2.66,-0.82
1540105931127,35.71,38.27,-2.56,-0.88
1540105931328,35.71,38.25,-2.54,-0.94
1540105931525,35.77,38.35,-2.58,-1.00
1540105931730,35.71,38.41,-2.70,-1.06
1540105931930,35.71,38.41,-2.70,-1.12
1540105932123,35.69,38.29,-2.60,-1.18
1540105932328,35.67,38.27,-2.60,-1.24
1540105932529,35.63,38.27,-2.64,-1.29
1540105932725,35.63,38.19,-2.56,-1.34
1540105932926,35.59,38.13,-2.54,-1.40
1540105933127,35.67,38.11,-2.44,-1.45
1540105933323,35.61,38.17,-2.56,-1.50
1540105933528,35.59,38.13,-2.54,-1.54
1540105933728,35.53,38.11,-2.58,-1.59
1540105933925,35.55,38.09,-2.54,-1.63
1540105934126,35.59,38.09,-2.50,-1.67
1540105934326,35.55,38.09,-2.54,-1.72
1540105934523,35.61,38.11,-2.50,-1.75
1540105934724,35.63,38.13,-2.50,-1.79
1540105934925,35.55,38.09,-2.54,-1.83
1540105935122,35.63,38.09,-2.46,-1.86
1540105935322,35.63,38.03,-2.40,-1.89
1540105935527,35.67,38.09,-2.42,-1.92
1540105935723,35.63,38.11,-2.48,-1.95
1540105935924,35.61,38.09,-2.48,-1.98
1540105936125,35.67,38.11,-2.44,-2.00
1540105936326,35.69,38.13,-2.44,-2.03
1540105936522,35.61,38.11,-2.50,-2.05
1540105936722,35.59,38.13,-2.54,-2.07
1540105936927,35.63,38.11,-2.48,-2.10
1540105937124,35.59,38.13,-2.54,-2.12
1540105937325,35.67,38.11,-2.44,-2.14
1540105937525,35.61,38.11,-2.50,-2.16
1540105937722,35.61,38.13,-2.52,-2.17
1540105937922,35.67,38.11,-2.44,-2.19
1540105938128,35.55,38.11,-2.56,-2.21
1540105938320,35.53,38.11,-2.58,-2.22
1540105938525,35.53,38.13,-2.60,-2.24
1540105938726,35.59,38.09,-2.50,-2.25
1540105938922,35.59,38.13,-2.54,-2.27
1540105939123,35.63,38.11,-2.48,-2.28
1540105939324,35.61,38.09,-2.48,-2.29
1540105939520,35.59,38.13,-2.54,-2.31
1540105939725,35.55,38.11,-2.56,-2.32
1540105939922,35.63,38.09,-2.46,-2.33
1540105940122,35.55,38.09,-2.54,-2.34
1540105940323,35.55,38.11,-2.56,-2.35
1540105940520,35.59,38.09,-2.50,-2.36
1540105940720,35.59,38.11,-2.52,-2.36
1540105940921,35.59,38.11,-2.52,-2.37
1540105941126,35.51,38.09,-2.58,-2.38
1540105941322,35.59,38.11,-2.52,-2.39
1540105941523,35.53,38.05,-2.52,-2.40
1540105941719,35.61,38.01,-2.40,-2.40
1540105941920,35.53,38.09,-2.56,-2.41
1540105942121,35.59,38.05,-2.46,-2.41
1540105942318,35.55,38.05,-2.50,-2.42
1540105942518,35.63,38.13,-2.50,-2.43
1540105942723,35.67,38.09,-2.42,-2.43
1540105942920,35.55,38.09,-2.54,-2.44
1540105943121,35.53,38.09,-2.56,-2.44
1540105943321,35.61,38.09,-2.48,-2.44
1540105943518,35.55,38.11,-2.56,-2.45
1540105943719,35.51,38.09,-2.58,-2.45
1540105943924,35.51,38.03,-2.52,-2.46
1540105944117,35.51,37.91,-2.40,-2.46
1540105944321,35.47,37.75,-2.28,-2.46
1540105944521,35.47,37.79,-2.32,-2.46
1540105944718,35.43,37.61,-2.18,-2.46
1540105944919,35.39,37.51,-2.12,-2.47
1540105945119,35.45,37.45,-2.00,-2.46
1540105945316,35.39,37.43,-2.04,-2.46
1540105945521,35.45,37.41,-1.96,-2.46
1540105945722,35.45,37.51,-2.06,-2.45
1540105945918,35.51,37.61,-2.10,-2.45
1540105946119,35.47,37.69,-2.22,-2.44
1540105946319,35.53,37.83,-2.30,-2.43
1540105946516,35.51,37.85,-2.34,-2.42
1540105946720,35.51,37.91,-2.40,-2.41
1540105946923,35.59,37.93,-2.34,-2.41
1540105947118,35.51,38.01,-2.50,-2.40
1540105947318,35.51,38.01,-2.50,-2.40
1540105947519,35.47,38.01,-2.54,-2.40
1540105947715,35.53,38.05,-2.52,-2.39
1540105947917,35.59,38.03,-2.44,-2.40
1540105948122,35.53,38.09,-2.56,-2.39
1540105948319,35.53,38.09,-2.56,-2.39
1540105948519,35.59,38.09,-2.50,-2.40
1540105948720,35.55,38.09,-2.54,-2.39
1540105948916,35.53,38.09,-2.56,-2.40
1540105949117,35.61,38.09,-2.48,-2.40
1540105949322,35.55,38.09,-2.54,-2.40
1540105949518,35.51,38.09,-2.58,-2.40
1540105949719,35.61,38.09,-2.48,-2.41
1540105949916,35.53,38.09,-2.56,-2.41
1540105950116,35.53,38.09,-2.56,-2.41
1540105950317,35.51,38.11,-2.60,-2.42
1540105950513,35.55,38.13,-2.58,-2.42
1540105950714,35.53,38.13,-2.60,-2.42
1540105950919,35.55,38.11,-2.56,-2.43
1540105951116,35.61,38.09,-2.48,-2.43
1540105951317,35.59,38.11,-2.52,-2.44
1540105951517,35.61,38.17,-2.56,-2.44
1540105951714,35.61,38.13,-2.52,-2.44
1540105951915,35.53,38.11,-2.58,-2.45
1540105952118,35.61,38.11,-2.50,-2.45
1540105952315,35.55,38.13,-2.58,-2.45
1540105952517,35.53,38.13,-2.60,-2.46
1540105952717,35.55,38.13,-2.58,-2.46
1540105952914,35.55,38.17,-2.62,-2.46
1540105953115,35.63,38.11,-2.48,-2.47
1540105953320,35.61,38.11,-2.50,-2.47
1540105953512,35.53,38.11,-2.58,-2.47
1540105953717,35.51,38.17,-2.66,-2.47
1540105953918,35.61,38.11,-2.50,-2.48
1540105954114,35.53,38.21,-2.68,-2.48
1540105954315,35.55,38.13,-2.58,-2.49
1540105954516,35.59,38.13,-2.54,-2.49
1540105954711,35.51,38.13,-2.62,-2.49
1540105954917,35.51,38.11,-2.60,-2.50
1540105955118,35.53,38.17,-2.64,-2.50
1540105955314,35.51,38.13,-2.62,-2.50
1540105955514,35.55,38.17,-2.62,-2.51
1540105955716,35.59,38.19,-2.60,-2.51
1540105955912,35.61,38.17,-2.56,-2.52
1540105956117,35.53,38.11,-2.58,-2.52
1540105956318,35.53,38.17,-2.64,-2.52
1540105956513,35.53,38.13,-2.60,-2.53
1540105956715,35.63,38.17,-2.54,-2.53
1540105956911,35.53,38.17,-2.64,-2.53
1540105957112,35.53,38.17,-2.64,-2.53
1540105957312,35.51,38.17,-2.66,-2.54
1540105957510,35.59,38.17,-2.58,-2.54
1540105957714,35.51,38.17,-2.66,-2.54
1540105957915,35.51,38.19,-2.68,-2.55
1540105958111,35.53,38.17,-2.64,-2.55
1540105958312,35.51,38.17,-2.66,-2.55
1540105958512,35.47,38.17,-2.70,-2.55
1540105958710,35.53,38.13,-2.60,-2.55
1540105958915,35.55,38.13,-2.58,-2.56
1540105959115,35.59,38.19,-2.60,-2.56
1540105959312,35.59,38.11,-2.52,-2.56
1540105959512,35.55,38.11,-2.56,-2.57
1540105959713,35.55,38.17,-2.62,-2.57
1540105959909,35.53,38.21,-2.68,-2.57
1540105960110,35.51,38.21,-2.70,-2.57
1540105960315,35.51,38.13,-2.62,-2.57
1540105960512,35.59,38.19,-2.60,-2.58
1540105960712,35.61,38.13,-2.52,-2.58
1540105960913,35.55,38.17,-2.62,-2.58
1540105961109,35.53,38.13,-2.60,-2.58
1540105961310,35.53,38.17,-2.64,-2.59
1540105961511,35.53,38.17,-2.64,-2.59
1540105961711,35.51,38.17,-2.66,-2.59
1540105961912,35.53,38.25,-2.72,-2.59
1540105962109,35.55,38.13,-2.58,-2.59
1540105962309,35.51,38.21,-2.70,-2.59
1540105962514,35.59,38.21,-2.62,-2.60
1540105962711,35.51,38.21,-2.70,-2.60
1540105962912,35.53,38.21,-2.68,-2.60
1540105963112,35.61,38.19,-2.58,-2.60
1540105963309,35.55,38.17,-2.62,-2.60
1540105963510,35.53,38.19,-2.66,-2.60
1540105963714,35.53,38.19,-2.66,-2.60
1540105963911,35.55,38.21,-2.66,-2.61
1540105964112,35.53,38.21,-2.68,-2.61
1540105964312,35.51,38.19,-2.68,-2.61
1540105964509,35.53,38.21,-2.68,-2.61
1540105964710,35.55,38.21,-2.66,-2.61
1540105964907,35.53,38.21,-2.68,-2.62
1540105965107,35.53,38.21,-2.68,-2.62
1540105965311,35.53,38.27,-2.74,-2.62
1540105965509,35.53,38.27,-2.74,-2.62
1540105965709,35.51,38.19,-2.68,-2.62
1540105965910,35.53,38.21,-2.68,-2.63
1540105966107,35.53,38.21,-2.68,-2.63
1540105966308,35.53,38.25,-2.72,-2.63
1540105966512,35.51,38.21,-2.70,-2.64
1540105966709,35.55,38.25,-2.70,-2.64
1540105966909,35.51,38.25,-2.74,-2.64
1540105967110,35.55,38.25,-2.70,-2.64
1540105967307,35.59,38.21,-2.62,-2.64
1540105967508,35.53,38.21,-2.68,-2.65
1540105967712,35.53,38.27,-2.74,-2.65
1540105967909,35.61,38.25,-2.64,-2.65
1540105968110,35.53,38.25,-2.72,-2.65
1540105968310,35.53,38.21,-2.68,-2.65
1540105968507,35.51,38.27,-2.76,-2.66
1540105968708,35.53,38.27,-2.74,-2.66
1540105968904,35.53,38.21,-2.68,-2.66
1540105969108,35.53,38.27,-2.74,-2.66
1540105969310,35.53,38.25,-2.72,-2.66
1540105969506,35.55,38.25,-2.70,-2.67
1540105969707,35.59,38.29,-2.70,-2.67
1540105969908,35.55,38.27,-2.72,-2.67
1540105970104,35.53,38.27,-2.74,-2.67
1540105970304,35.53,38.21,-2.68,-2.67
1540105970510,35.55,38.25,-2.70,-2.68
1540105970706,35.47,38.27,-2.80,-2.68
1540105970907,35.47,38.27,-2.80,-2.68
1540105971107,35.51,38.25,-2.74,-2.68
1540105971304,35.55,38.27,-2.72,-2.68
1540105971505,35.53,38.27,-2.74,-2.69
1540105971709,35.51,38.29,-2.78,-2.69
1540105971907,35.55,38.27,-2.72,-2.69
1540105972107,35.53,38.29,-2.76,-2.69
1540105972308,35.55,38.27,-2.72,-2.69
1540105972504,35.55,38.29,-2.74,-2.70
1540105972705,35.51,38.29,-2.78,-2.70
1540105972902,35.53,38.29,-2.76,-2.70
1540105973106,35.53,38.29,-2.76,-2.70
1540105973307,35.53,38.27,-2.74,-2.70
1540105973503,35.51,38.29,-2.78,-2.71
1540105973704,35.55,38.29,-2.74,-2.71
1540105973905,35.53,38.35,-2.82,-2.71
1540105974102,35.55,38.35,-2.80,-2.71
1540105974302,35.53,38.29,-2.76,-2.71
1540105974507,35.53,38.37,-2.84,-2.72
1540105974703,35.51,38.29,-2.78,-2.72
1540105974905,35.55,38.33,-2.78,-2.72
1540105975105,35.51,38.29,-2.78,-2.72
1540105975302,35.59,38.29,-2.70,-2.72
1540105975502,35.59,38.33,-2.74,-2.72
1540105975708,35.51,38.35,-2.84,-2.72
1540105975904,35.53,38.29,-2.76,-2.73
1540105976105,35.55,38.29,-2.74,-2.73
1540105976305,35.51,38.29,-2.78,-2.73
1540105976503,35.53,38.29,-2.76,-2.73
1540105976702,35.53,38.29,-2.76,-2.73
1540105976908,35.59,38.29,-2.70,-2.74
1540105977104,35.53,38.29,-2.76,-2.74
1540105977304,35.55,38.33,-2.78,-2.74
1540105977501,35.55,38.33,-2.78,-2.74
1540105977702,35.55,38.27,-2.72,-2.74
1540105977903,35.55,38.33,-2.78,-2.74
1540105978099,35.59,38.33,-2.74,-2.74
1540105978304,35.59,38.29,-2.70,-2.74
1540105978505,35.53,38.29,-2.76,-2.75
1540105978702,35.55,38.29,-2.74,-2.75
1540105978902,35.53,38.33,-2.80,-2.75
1540105979102,35.59,38.37,-2.78,-2.75
1540105979299,35.53,38.35,-2.82,-2.75
1540105979504,35.55,38.35,-2.80,-2.75
1540105979705,35.55,38.33,-2.78,-2.75
1540105979901,35.59,38.33,-2.74,-2.75
1540105980102,35.67,38.35,-2.68,-2.75
1540105980302,35.53,38.37,-2.84,-2.75
1540105980499,35.55,38.43,-2.88,-2.76
1540105980700,35.53,38.41,-2.88,-2.75
1540105980905,35.55,38.35,-2.80,-2.76
1540105981102,35.59,38.41,-2.82,-2.76
1540105981303,35.59,38.35,-2.76,-2.76
1540105981499,35.55,38.35,-2.80,-2.76
1540105981700,35.61,38.43,-2.82,-2.76
1540105981900,35.55,38.33,-2.78,-2.76
1540105982097,35.55,38.33,-2.78,-2.76
1540105982302,35.55,38.43,-2.88,-2.77
1540105982502,35.59,38.35,-2.76,-2.77
1540105982698,35.53,38.35,-2.82,-2.77
