1539765033084,3437.35,-3.02,-2.67
1539765033201,34.39,37.29,-2.90,-2.68
1539765033209,34.33,37.27,-2.94,-2.70
1539765033232,34.45,37.27,-2.82,-2.71
1539765033232,3
1539765033232,34.39,37.33,-2.94,-2.65
1539765033420,34.33,37.35,-3.02,-2.67
1539765033433,34.39,37.29,-2.90,-2.68
1539765033433,34.33,37.27,-2.94,-2.70
1539765033434,34.45,37.27,-2.82,-2.71
1539765033598,34.43,37.21,-2.78,-2.72
1539765033602,34.39,37.21,-2.82,-2.74
1539765033606,34.51,37.13,-2.62,-2.74
1539765033795,34.53,37.19,-2.66,-2.75
1539765033999,34.59,37.13,-2.54,-2.76
1539765034196,34.53,37.13,-2.60,-2.76
1539765034397,34.55,37.05,-2.50,-2.77
1539765034594,34.63,37.09,-2.46,-2.77
1539765034798,34.69,37.09,-2.40,-2.77
1539765034995,34.77,37.01,-2.24,-2.77
1539765035196,34.69,37.13,-2.44,-2.77
1539765035392,34.69,37.03,-2.34,-2.77
1539765035597,34.75,37.05,-2.30,-2.76
1539765035794,34.69,36.97,-2.28,-2.76
1539765035995,34.71,36.97,-2.26,-2.75
1539765036200,34.69,36.97,-2.28,-2.74
1539765036396,34.75,36.97,-2.22,-2.73
1539765036597,34.81,37.01,-2.20,-2.72
1539765036793,34.75,36.95,-2.20,-2.71
1539765036998,34.67,36.95,-2.28,-2.70
1539765037195,34.63,36.87,-2.24,-2.68
1539765037396,34.63,36.89,-2.26,-2.67
1539765037592,34.61,36.93,-2.32,-2.66
1539765037797,34.59,36.93,-2.34,-2.65
1539765037994,34.69,36.87,-2.18,-2.64
1539765038194,34.61,36.93,-2.32,-2.62
1539765038391,34.47,36.85,-2.38,-2.61
1539765038596,34.43,36.87,-2.44,-2.60
1539765038796,34.45,36.85,-2.40,-2.58
1539765038993,34.45,36.85,-2.40,-2.57
1539765039198,34.45,36.85,-2.40,-2.56
1539765039394,34.53,36.87,-2.34,-2.55
1539765039595,34.53,36.79,-2.26,-2.54
1539765039792,34.59,36.73,-2.14,-2.53
1539765039996,34.67,36.79,-2.12,-2.53
1539765040195,34.67,36.81,-2.14,-2.51
1539765040393,34.67,36.77,-2.10,-2.51
1539765040590,34.63,36.81,-2.18,-2.49
1539765040795,34.63,36.77,-2.14,-2.48
1539765040992,34.69,36.85,-2.16,-2.47
1539765041193,34.59,36.81,-2.22,-2.46
1539765041389,34.67,36.81,-2.14,-2.45
1539765041594,34.69,36.87,-2.18,-2.44
1539765041791,34.81,36.81,-2.00,-2.43
1539765041991,34.71,36.85,-2.14,-2.42
1539765042196,34.61,36.81,-2.20,-2.41
1539765042393,34.53,36.81,-2.28,-2.40
1539765042593,34.55,36.81,-2.26,-2.39
1539765042789,34.59,36.77,-2.18,-2.38
1539765042994,34.67,36.73,-2.06,-2.37
1539765043190,34.67,36.73,-2.06,-2.36
1539765043272,0,0,0,0
1539765043392,34.67,36.77,-2.10,-2.35
1539765043588,34.61,36.73,-2.12,-2.34
1539765043793,34.59,36.77,-2.18,-2.34
1539765043989,34.53,36.77,-2.24,-2.33
1539765044191,34.59,36.85,-2.26,-2.32
1539765044388,34.59,36.85,-2.26,-2.31
1539765044592,34.59,36.85,-2.26,-2.31
1539765044789,34.67,36.93,-2.26,-2.30
1539765044989,34.59,36.93,-2.34,-2.30
1539765045186,34.69,36.93,-2.24,-2.29
1539765045391,34.75,36.93,-2.18,-2.29
1539765045591,34.83,36.95,-2.12,-2.28
1539765045788,34.69,36.95,-2.26,-2.28
1539765045993,34.71,37.01,-2.30,-2.28
1539765046189,34.67,36.97,-2.30,-2.27
1539765046390,34.67,36.95,-2.28,-2.27
1539765046586,34.53,37.01,-2.48,-2.27
1539765046787,34.43,37.01,-2.58,-2.27
1539765046987,34.47,37.05,-2.58,-2.27
1539765047189,34.51,37.05,-2.54,-2.27
1539765047385,34.51,37.05,-2.54,-2.27
1539765047586,34.59,37.11,-2.52,-2.27
1539765047787,34.51,37.09,-2.58,-2.28
1539765047987,34.47,37.05,-2.58,-2.29
1539765048188,34.51,37.05,-2.54,-2.29
1539765048385,34.43,37.09,-2.66,-2.30
1539765048590,34.43,37.05,-2.62,-2.30
1539765048786,34.39,37.09,-2.70,-2.31
1539765048987,34.39,37.13,-2.74,-2.32
1539765049183,34.43,37.09,-2.66,-2.32
1539765049388,34.45,37.11,-2.66,-2.33
1539765049585,34.51,37.05,-2.54,-2.34
1539765049785,34.59,37.11,-2.52,-2.35
1539765049982,34.63,37.03,-2.40,-2.36
1539765050187,34.67,37.05,-2.38,-2.36
1539765050383,34.53,37.03,-2.50,-2.37
1539765050584,34.47,36.97,-2.50,-2.38
1539765050788,34.39,37.09,-2.70,-2.39
1539765050985,34.37,37.03,-2.66,-2.39
1539765051186,34.37,37.01,-2.64,-2.40
1539765051382,34.39,37.01,-2.62,-2.41
1539765051588,34.39,37.05,-2.66,-2.41
1539765051784,34.29,36.97,-2.68,-2.42
1539765051984,34.29,36.95,-2.66,-2.43
1539765052182,34.25,36.97,-2.72,-2.43
1539765052386,34.23,36.95,-2.72,-2.44
1539765052583,34.25,36.93,-2.68,-2.45
1539765052784,34.29,36.93,-2.64,-2.46
1539765052980,34.25,36.87,-2.62,-2.47
1539765053185,34.29,36.87,-2.58,-2.47
1539765053381,34.39,36.93,-2.54,-2.48
1539765053582,34.47,36.93,-2.46,-2.48
1539765053786,34.51,36.87,-2.36,-2.49
1539765053983,34.53,36.93,-2.40,-2.50
1539765054184,34.51,36.95,-2.44,-2.50
1539765054381,34.53,36.93,-2.40,-2.50
1539765054585,34.63,36.93,-2.30,-2.50
1539765054782,34.51,36.89,-2.38,-2.50
1539765054982,34.45,36.87,-2.42,-2.50
1539765055193,34.45,36.89,-2.44,-2.50
1539765055380,34.45,36.89,-2.44,-2.50
1539765055580,34.47,36.93,-2.46,-2.50
1539765055781,34.51,36.89,-2.38,-2.50
1539765055977,34.55,36.87,-2.32,-2.50
1539765056179,34.63,36.87,-2.24,-2.49
1539765056383,34.77,36.89,-2.12,-2.49
1539765056580,34.63,36.85,-2.22,-2.49
1539765056780,34.55,36.85,-2.30,-2.49
1539765056978,34.45,36.81,-2.36,-2.48
1539765057182,34.37,36.85,-2.48,-2.48
1539765057379,34.31,36.79,-2.48,-2.47
1539765057579,34.33,36.79,-2.46,-2.47
1539765057776,34.47,36.77,-2.30,-2.47
1539765057981,34.53,36.81,-2.28,-2.46
1539765058177,34.53,36.81,-2.28,-2.46
1539765058378,34.53,36.81,-2.28,-2.46
1539765058574,34.63,36.79,-2.16,-2.45
1539765058779,34.71,36.73,-2.02,-2.45
1539765058976,34.77,36.77,-2.00,-2.44
1539765059177,34.91,36.77,-1.86,-2.43
1539765059381,34.85,36.77,-1.92,-2.43
1539765059578,34.89,36.79,-1.90,-2.41
1539765059779,34.89,36.73,-1.84,-2.41
1539765059976,34.77,36.77,-2.00,-2.40
1539765060180,34.59,36.79,-2.20,-2.38
1539765060377,34.59,36.81,-2.22,-2.37
1539765060577,34.67,36.79,-2.12,-2.36
1539765060774,34.75,36.79,-2.04,-2.35
1539765060979,34.69,36.77,-2.08,-2.34
1539765061175,34.63,36.71,-2.08,-2.33
