1539764485647,34.55,-0.90,-1.17
1539764485648,34.83,35.81,-0.98,-1.16
1539764485649,34.83,35.71,-0.88,-1.15
1539764485816,8
1539764485820,34.89,35.77,-0.88,-1.18
1539764485824,34.85,35.71,-0.86,-1.17
1539764485828,34.85,35.75,-0.90,-1.17
1539764485833,34.83,35.81,-0.98,-1.16
1539764485837,34.83,35.71,-0.88,-1.15
1539764485841,34.89,35.81,-0.92,-1.15
1539764486020,34.83,35.71,-0.88,-1.14
1539764486025,34.83,35.75,-0.92,-1.13
1539764486218,34.83,35.77,-0.94,-1.13
1539764486418,34.81,35.75,-0.94,-1.12
1539764486615,34.81,35.71,-0.90,-1.11
1539764486820,34.75,35.75,-1.00,-1.11
1539764487016,34.75,35.81,-1.06,-1.10
1539764487217,34.77,35.77,-1.00,-1.09
1539764487414,34.83,35.77,-0.94,-1.09
1539764487618,34.83,35.71,-0.88,-1.08
1539764487815,34.81,35.81,-1.00,-1.08
1539764488016,34.77,35.75,-0.98,-1.07
1539764488217,34.83,35.69,-0.86,-1.07
1539764488417,34.83,35.69,-0.86,-1.06
1539764488614,34.83,35.71,-0.88,-1.06
1539764488815,34.89,35.75,-0.86,-1.05
1539764489015,34.91,35.75,-0.84,-1.05
1539764489215,34.85,35.69,-0.84,-1.04
1539764489412,34.89,35.77,-0.88,-1.04
1539764489613,34.89,35.75,-0.86,-1.03
1539764489814,34.89,35.71,-0.82,-1.03
1539764490014,34.97,35.83,-0.86,-1.02
1539764490215,34.93,35.85,-0.92,-1.02
1539764490412,34.89,35.77,-0.88,-1.01
1539764490617,34.83,35.83,-1.00,-1.00
1539764490813,34.89,35.75,-0.86,-1.00
1539764491014,34.89,35.77,-0.88,-0.99
1539764491211,34.89,35.77,-0.88,-0.99
1539764491415,34.81,35.69,-0.88,-0.99
1539764491612,34.63,35.81,-1.18,-0.98
1539764491812,34.77,35.77,-1.00,-0.98
1539764492009,34.81,35.81,-1.00,-0.98
1539764492214,34.81,35.77,-0.96,-0.97
1539764492410,34.85,35.81,-0.96,-0.97
1539764492612,34.83,35.83,-1.00,-0.97
1539764492817,34.83,35.85,-1.02,-0.97
1539764493013,34.71,35.83,-1.12,-0.97
1539764493214,34.67,35.91,-1.24,-0.97
1539764493409,34.67,35.81,-1.14,-0.97
1539764493615,34.67,35.85,-1.18,-0.97
1539764493812,34.67,35.85,-1.18,-0.97
1539764494012,34.67,35.81,-1.14,-0.97
1539764494209,34.63,35.89,-1.26,-0.97
1539764494413,34.63,35.85,-1.22,-0.97
1539764494610,34.63,35.85,-1.22,-0.98
1539764494811,34.59,35.83,-1.24,-0.98
1539764495007,34.61,35.91,-1.30,-0.99
1539764495212,34.63,35.89,-1.26,-0.99
1539764495408,34.59,35.85,-1.26,-1.00
1539764495610,34.71,35.85,-1.14,-1.00
1539764495814,34.75,35.83,-1.08,-1.01
1539764496011,34.75,35.85,-1.10,-1.01
1539764496212,34.81,35.85,-1.04,-1.02
1539764496408,34.81,35.89,-1.08,-1.02
1539764496613,34.71,35.85,-1.14,-1.03
1539764496810,34.75,35.85,-1.10,-1.03
1539764497010,34.77,35.77,-1.00,-1.03
1539764497207,34.81,35.77,-0.96,-1.04
1539764497411,34.89,35.81,-0.92,-1.04
1539764497609,34.81,35.85,-1.04,-1.04
1539764497809,34.71,35.81,-1.10,-1.05
1539764498006,34.75,35.81,-1.06,-1.05
1539764498210,34.81,35.83,-1.02,-1.05
1539764498407,34.81,35.83,-1.02,-1.05
1539764498608,34.77,35.81,-1.04,-1.05
1539764498804,34.89,35.83,-0.94,-1.05
1539764499009,34.83,35.83,-1.00,-1.05
1539764499205,34.85,35.85,-1.00,-1.05
1539764499406,34.91,35.83,-0.92,-1.05
1539764499611,34.85,35.91,-1.06,-1.05
1539764499808,34.93,35.81,-0.88,-1.05
1539764500010,34.93,35.81,-0.88,-1.05
1539764500205,34.93,35.83,-0.90,-1.05
