1539762654599,315,-1.32,0.04
1539762654599,34.85,36.39,-1.54,0.01
1539762654600,34.85,36.49,-1.64,-0.02
1539762654647,34.77,36.61,-1.84,-0.05
1539762654649,34.81,36.71,-1.90,-0.09
1539762654653,307
1539762654656,34.83,36.15,-1.32,0.04
1539762654661,34.85,36.39,-1.54,0.01
1539762654665,34.85,36.49,-1.64,-0.02
1539762654669,34.77,36.61,-1.84,-0.05
1539762654845,34.81,36.71,-1.90,-0.09
1539762654849,375,36.81,-2.06,-0.13
1539762654854,34.67,36.93,-2.26,-0.17
1539762654858,34.67,37.01,-2.34,-0.22
1539762655041,34.67,37.01,-2.34,-0.27
1539762655247,34.61,36.97,-2.36,-0.32
1539762655443,34.75,36.95,-2.20,-0.37
1539762655644,34.77,36.95,-2.18,-0.43
1539762655840,34.89,37.01,-2.12,-0.48
1539762656045,34.93,37.03,-2.10,-0.54
1539762656246,34.91,36.95,-2.04,-0.59
1539762656443,35.01,37.01,-2.00,-0.64
1539762656643,35.07,37.05,-1.98,-0.70
1539762656848,35.13,37.01,-1.88,-0.75
1539762657045,35.13,36.95,-1.82,-0.80
1539762657246,35.13,36.89,-1.76,-0.85
1539762657442,34.99,36.69,-1.70,-0.90
1539762657643,34.89,36.53,-1.64,-0.94
1539762657843,34.89,36.33,-1.44,-0.99
1539762658040,34.91,36.17,-1.26,-1.02
1539762658245,34.91,36.09,-1.18,-1.06
1539762658442,34.85,35.97,-1.12,-1.09
1539762658642,34.75,36.01,-1.26,-1.12
1539762658847,34.81,35.99,-1.18,-1.14
1539762659043,34.77,36.05,-1.28,-1.17
1539762659244,34.71,36.05,-1.34,-1.19
1539762659441,34.69,36.01,-1.32,-1.20
1539762659642,34.77,36.01,-1.24,-1.22
1539762659847,34.83,36.01,-1.18,-1.23
1539762660042,34.89,36.05,-1.16,-1.25
1539762660243,34.85,35.91,-1.06,-1.26
1539762660441,34.91,35.85,-0.94,-1.26
1539762660641,35.01,35.85,-0.84,-1.27
1539762660842,35.15,35.69,-0.54,-1.27
1539762661042,35.13,35.71,-0.58,-1.27
1539762661238,35.23,35.71,-0.48,-1.27
1539762661440,35.19,35.69,-0.50,-1.27
1539762661644,35.15,35.75,-0.60,-1.26
1539762661841,35.23,35.81,-0.58,-1.25
1539762662041,35.27,35.77,-0.50,-1.24
1539762662238,35.23,35.77,-0.54,-1.22
1539762662443,35.27,35.81,-0.54,-1.21
1539762662639,35.19,35.81,-0.62,-1.19
1539762662840,35.23,35.75,-0.52,-1.18
1539762663037,35.27,35.69,-0.42,-1.16
1539762663242,35.21,35.69,-0.48,-1.14
1539762663443,35.21,35.63,-0.42,-1.12
1539762663639,35.21,35.69,-0.48,-1.11
1539762663844,35.21,35.61,-0.40,-1.09
1539762664041,35.21,35.63,-0.42,-1.07
1539762664241,35.15,35.71,-0.56,-1.05
1539762664438,35.05,35.69,-0.64,-1.03
1539762664643,35.01,35.63,-0.62,-1.01
1539762664839,34.99,35.71,-0.72,-0.99
1539762665039,35.05,35.63,-0.58,-0.97
1539762665240,34.97,35.77,-0.80,-0.95
1539762665437,34.99,35.71,-0.72,-0.94
1539762665642,34.97,35.75,-0.78,-0.92
1539762665839,35.01,35.71,-0.70,-0.91
1539762666039,35.09,35.67,-0.58,-0.90
1539762666236,35.13,35.63,-0.50,-0.89
1539762666440,35.13,35.67,-0.54,-0.87
1539762666641,35.13,35.59,-0.46,-0.86
1539762666838,35.05,35.51,-0.46,-0.85
1539762667039,35.07,35.51,-0.44,-0.84
1539762667240,35.01,35.45,-0.44,-0.83
1539762667440,35.01,35.45,-0.44,-0.81
1539762667637,34.97,35.43,-0.46,-0.80
1539762667837,34.99,35.43,-0.44,-0.79
1539762668042,35.05,35.35,-0.30,-0.78
1539762668239,35.05,35.31,-0.26,-0.76
1539762668439,34.97,35.23,-0.26,-0.75
1539762668636,35.01,35.29,-0.28,-0.74
1539762668841,35.01,35.21,-0.20,-0.73
1539762669038,35.05,35.07,-0.02,-0.71
1539762669238,35.05,35.13,-0.08,-0.70
1539762669435,34.99,35.13,-0.14,-0.68
1539762669639,34.99,35.13,-0.14,-0.67
1539762669836,34.93,35.09,-0.16,-0.65
1539762670037,35.01,35.13,-0.12,-0.63
1539762670234,35.05,35.15,-0.10,-0.62
1539762670438,35.05,35.13,-0.08,-0.60
1539762670639,35.07,35.09,-0.02,-0.58
1539762670836,35.09,35.07,0.02,-0.57
1539762671040,34.99,35.09,-0.10,-0.55
1539762671237,34.91,35.09,-0.18,-0.53
1539762671438,34.89,35.07,-0.18,-0.52
1539762671634,34.93,35.07,-0.14,-0.50
1539762671838,34.93,35.09,-0.16,-0.48
1539762672039,34.99,35.09,-0.10,-0.47
1539762672236,34.99,35.09,-0.10,-0.45
1539762672437,34.99,35.07,-0.08,-0.44
1539762672638,34.97,35.07,-0.10,-0.43
1539762672839,34.91,34.93,-0.02,-0.41
1539762673035,34.89,34.93,-0.04,-0.40
1539762673240,34.89,34.97,-0.08,-0.38
1539762673436,34.93,34.97,-0.04,-0.37
1539762673637,35.01,34.99,0.02,-0.36
1539762673835,35.05,35.07,-0.02,-0.35
1539762674038,35.09,35.07,0.02,-0.34
1539762674238,35.21,35.09,0.12,-0.32
1539762674436,35.19,35.09,0.10,-0.31
1539762674636,35.13,35.05,0.08,-0.30
1539762674833,35.13,35.05,0.08,-0.29
1539762675038,35.13,34.97,0.16,-0.27
1539762675234,35.19,34.85,0.34,-0.26
1539762675435,35.15,34.85,0.30,-0.25
1539762675632,35.23,34.93,0.30,-0.23
1539762675836,35.13,34.91,0.22,-0.22
1539762676033,35.09,34.89,0.20,-0.20
1539762676234,34.97,34.93,0.04,-0.19
1539762676430,35.01,34.91,0.10,-0.18
1539762676635,35.01,34.83,0.18,-0.16
1539762676836,34.91,34.63,0.28,-0.15
1539762677032,34.91,34.63,0.28,-0.14
1539762677237,34.97,34.61,0.36,-0.12
1539762677435,34.91,34.59,0.32,-0.11
1539762677635,34.85,34.63,0.22,-0.10
1539762677831,34.83,34.69,0.14,-0.09
1539762678036,34.91,34.63,0.28,-0.07
1539762678237,34.85,34.63,0.22,-0.06
1539762678433,34.93,34.71,0.22,-0.05
