1539850878905,36.7.29,9.50,9.44
1539850878936,36.85,27.31,9.54,9.44
1539850878967,36.77,27.29,9.48,9.45
1539850878967,36.79,27.25,9.54,9.44
1539850879134,36.79,27.29,9.50,9.45
1539850879150,5,9.60,9.44
1539850879150,36.79,27.29,9.50,9.44
1539850879150,36.85,27.31,9.54,9.44
1539850879150,36.77,27.29,9.48,9.45
1539850879165,36.79,27.25,9.54,9.44
1539850879165,36.79,27.29,9.50,9.45
1539850879353,5,9.60,9.44
1539850879353,36.79,27.29,9.50,9.44
1539850879353,36.85,27.31,9.54,9.44
1539850879353,36.77,27.29,9.48,9.45
1539850879368,36.79,27.25,9.54,9.44
1539850879368,36.79,27.29,9.50,9.45
1539850879540,36.79,27.29,9.50,9.45
1539850879540,36.85,27.29,9.56,9.45
1539850879556,36.79,27.35,9.44,9.46
1539850879556,36.77,27.25,9.52,9.45
1539850879743,36.79,27.25,9.54,9.46
1539850879946,36.77,27.31,9.46,9.46
1539850880134,36.79,27.31,9.48,9.46
1539850880337,36.77,27.37,9.40,9.47
1539850880540,36.77,27.31,9.46,9.46
1539850880743,36.73,27.31,9.42,9.47
1539850880946,36.77,27.31,9.46,9.46
1539850881134,36.77,27.29,9.48,9.47
1539850881337,36.73,27.29,9.44,9.47
1539850881540,36.61,27.31,9.30,9.46
1539850881743,36.79,27.17,9.62,9.47
1539850881931,36.77,27.21,9.56,9.47
1539850882134,36.73,27.23,9.50,9.47
1539850882337,36.77,27.23,9.54,9.47
1539850882540,36.71,27.21,9.50,9.47
1539850882744,36.65,27.25,9.40,9.47
1539850882947,36.73,27.25,9.48,9.47
1539850883134,36.73,27.21,9.52,9.47
1539850883337,36.73,27.23,9.50,9.48
1539850883540,36.71,27.31,9.40,9.47
1539850883744,36.71,27.29,9.42,9.48
1539850883947,36.73,27.29,9.44,9.47
1539850884134,36.73,27.25,9.48,9.47
1539850884337,36.71,27.23,9.48,9.48
1539850884541,36.69,27.29,9.40,9.47
1539850884744,36.73,27.23,9.50,9.48
1539850884931,36.71,27.23,9.48,9.47
1539850885134,36.65,27.29,9.36,9.47
1539850885337,36.65,27.37,9.28,9.48
1539850885541,36.65,27.29,9.36,9.47
1539850885744,36.73,27.25,9.48,9.47
1539850885931,36.71,27.29,9.42,9.47
1539850886134,36.73,27.29,9.44,9.47
1539850886337,36.69,27.25,9.44,9.47
1539850886541,36.65,27.23,9.42,9.46
1539850886728,36.65,27.23,9.42,9.47
1539850886932,36.61,27.23,9.38,9.46
1539850887135,36.69,27.25,9.44,9.46
1539850887338,36.65,27.23,9.42,9.46
1539850887541,36.69,27.25,9.44,9.45
1539850887728,36.63,27.23,9.40,9.46
1539850887931,36.69,27.25,9.44,9.46
1539850888134,36.69,27.29,9.40,9.45
1539850888337,36.69,27.25,9.44,9.46
1539850888526,36.61,27.23,9.38,9.45
1539850888729,36.61,27.25,9.36,9.46
1539850888932,36.63,27.25,9.38,9.45
1539850889135,36.65,27.25,9.40,9.45
1539850889338,36.63,27.23,9.40,9.45
1539850889526,36.63,27.23,9.40,9.44
1539850889729,36.61,27.21,9.40,9.45
1539850889932,36.55,27.25,9.30,9.44
1539850890135,36.57,27.21,9.36,9.44
1539850890338,36.57,27.23,9.34,9.45
1539850890526,36.61,27.23,9.38,9.43
1539850890729,36.61,27.23,9.38,9.44
1539850890932,36.61,27.25,9.36,9.43
1539850891026,0,0,0,0
1539850891135,36.55,27.25,9.30,9.43
1539850891323,36.55,27.25,9.30,9.43
1539850891526,36.57,27.29,9.28,9.42
1539850891727,36.61,27.21,9.40,9.43
1539850891930,36.57,27.23,9.34,9.42
1539850892134,36.61,27.23,9.38,9.42
1539850892337,36.55,27.21,9.34,9.42
1539850892540,36.53,27.21,9.32,9.41
1539850892727,36.61,27.21,9.40,9.41
1539850892930,36.53,27.23,9.30,9.41
1539850893133,36.61,27.23,9.38,9.40
1539850893336,36.57,27.21,9.36,9.41
1539850893525,36.57,27.23,9.34,9.40
1539850893728,36.57,27.21,9.36,9.40
1539850893931,36.57,27.23,9.34,9.39
1539850894134,36.61,27.23,9.38,9.39
1539850894337,36.57,27.21,9.36,9.40
1539850894525,36.57,27.21,9.36,9.38
1539850894728,36.55,27.23,9.32,9.39
1539850894931,36.57,27.23,9.34,9.38
1539850895134,36.57,27.21,9.36,9.38
1539850895321,36.61,27.21,9.40,9.39
1539850895525,36.61,27.17,9.44,9.38
1539850895728,36.61,27.23,9.38,9.38
1539850895931,36.57,27.21,9.36,9.38
1539850896134,36.57,27.23,9.34,9.38
1539850896321,36.63,27.25,9.38,9.38
1539850896525,36.57,27.23,9.34,9.37
1539850896728,36.63,27.23,9.40,9.38
1539850896931,36.55,27.23,9.32,9.37
1539850897119,36.57,27.23,9.34,9.37
1539850897337,36.61,27.23,9.38,9.38
1539850897525,36.57,27.25,9.32,9.37
1539850897728,36.61,27.23,9.38,9.37
1539850897931,36.61,27.23,9.38,9.37
1539850898134,36.63,27.25,9.38,9.37
1539850898322,36.61,27.23,9.38,9.37
1539850898525,36.61,27.23,9.38,9.36
1539850898728,36.63,27.21,9.42,9.37
1539850898931,36.57,27.17,9.40,9.36
1539850899134,36.61,27.25,9.36,9.36
1539850899322,36.61,27.21,9.40,9.37
1539850899525,36.61,27.23,9.38,9.36
1539850899728,36.61,27.21,9.40,9.37
1539850899931,36.61,27.23,9.38,9.36
1539850900119,36.61,27.25,9.36,9.36
1539850900322,36.61,27.23,9.38,9.37
1539850900525,36.61,27.29,9.32,9.36
1539850900729,36.55,27.25,9.30,9.37
1539850900931,36.57,27.23,9.34,9.37
1539850901119,36.57,27.23,9.34,9.37
1539850901322,36.61,27.25,9.36,9.37
1539850901525,36.57,27.25,9.32,9.36
1539850901729,36.57,27.25,9.32,9.37
1539850901916,36.55,27.23,9.32,9.36
1539850902119,36.57,27.23,9.34,9.36
1539850902322,36.57,27.23,9.34,9.37
1539850902525,36.57,27.21,9.36,9.36
1539850902713,36.57,27.23,9.34,9.37
1539850902916,36.55,27.25,9.30,9.36
1539850903119,36.57,27.23,9.34,9.36
1539850903322,36.53,27.21,9.32,9.37
1539850903526,36.55,27.23,9.32,9.36
1539850903713,36.55,27.21,9.34,9.36
1539850903932,36.53,27.21,9.32,9.36
1539850904119,36.55,27.21,9.34,9.36
1539850904322,36.61,27.23,9.38,9.36
1539850904526,36.57,27.23,9.34,9.35
1539850904729,36.53,27.21,9.32,9.36
1539850904916,36.49,27.25,9.24,9.35
1539850905119,36.49,27.17,9.32,9.35
1539850905322,36.55,27.23,9.32,9.36
