1539849719398,359,7.94,7.93
1539849719492,35.63,27.63,8.00,7.94
1539849719492,35.61,27.67,7.94,7.93
1539849719492,35.63,27.67,7.96,7.93
1539849719492,9,7.92,7.93
1539849719492,35.67,27.69,7.98,7.94
1539849719597,35.63,27.69,7.94,7.93
1539849719612,35.63,27.63,8.00,7.94
1539849719614,35.61,27.67,7.94,7.93
1539849719614,35.63,27.67,7.96,7.93
1539849719614,35.69,27.67,8.02,7.94
1539849719614,35.69,27.67,8.02,7.93
1539849719801,35.63,27.69,7.94,7.94
1539849720005,35.67,27.67,8.00,7.94
1539849720192,35.63,27.69,7.94,7.94
1539849720395,35.63,27.73,7.90,7.95
1539849720598,35.69,27.63,8.06,7.94
1539849720801,35.61,27.63,7.98,7.95
1539849720989,35.61,27.69,7.92,7.95
1539849721192,35.63,27.69,7.94,7.94
1539849721395,35.63,27.73,7.90,7.95
1539849721599,35.63,27.63,8.00,7.94
1539849721802,35.59,27.67,7.92,7.95
1539849721990,35.59,27.67,7.92,7.95
1539849722193,35.63,27.67,7.96,7.95
1539849722397,35.67,27.61,8.06,7.95
1539849722600,35.61,27.69,7.92,7.95
1539849722803,35.61,27.67,7.94,7.95
1539849722991,35.67,27.69,7.98,7.95
1539849723194,35.67,27.69,7.98,7.95
1539849723397,35.63,27.69,7.94,7.96
1539849723600,35.61,27.73,7.88,7.95
1539849723787,35.67,27.69,7.98,7.95
1539849723991,35.61,27.75,7.86,7.95
1539849724194,35.63,27.73,7.90,7.95
1539849724397,35.67,27.67,8.00,7.95
1539849724600,35.69,27.69,8.00,7.95
1539849724788,35.67,27.73,7.94,7.95
1539849724991,35.63,27.67,7.96,7.95
1539849725195,35.61,27.75,7.86,7.95
1539849725398,35.63,27.75,7.88,7.95
1539849725601,35.69,27.79,7.90,7.94
1539849725789,35.67,27.87,7.80,7.95
1539849725992,35.63,27.91,7.72,7.95
1539849726195,35.67,27.91,7.76,7.94
1539849726398,35.63,27.93,7.70,7.94
1539849726602,35.63,27.93,7.70,7.93
1539849726789,35.71,27.93,7.78,7.94
1539849726992,35.69,27.91,7.78,7.93
1539849727195,35.67,27.87,7.80,7.92
1539849727399,35.67,27.81,7.86,7.92
1539849727602,35.67,27.85,7.82,7.91
1539849727789,35.67,27.81,7.86,7.91
1539849727993,35.67,27.85,7.82,7.91
1539849728196,35.67,27.87,7.80,7.90
1539849728399,35.67,27.85,7.82,7.90
1539849728602,35.67,27.79,7.88,7.89
1539849728789,35.63,27.81,7.82,7.89
1539849728993,35.63,27.81,7.82,7.89
1539849729196,35.61,27.79,7.82,7.88
1539849729399,35.61,27.81,7.80,7.89
1539849729586,35.67,27.75,7.92,7.88
1539849729790,35.61,27.73,7.88,7.88
1539849729993,35.67,27.69,7.98,7.88
1539849730196,35.61,27.67,7.94,7.87
1539849730399,35.61,27.75,7.86,7.88
1539849730587,35.63,27.67,7.96,7.87
1539849730790,35.63,27.73,7.90,7.87
1539849730993,35.63,27.67,7.96,7.87
1539849731087,0,0,0,0
1539849731196,35.63,27.67,7.96,7.87
1539849731399,35.59,27.63,7.96,7.88
1539849731587,35.59,27.69,7.90,7.87
1539849731790,35.55,27.69,7.86,7.88
1539849731993,35.59,27.73,7.86,7.88
1539849732197,35.59,27.73,7.86,7.87
1539849732400,35.59,27.73,7.86,7.88
1539849732587,35.59,27.73,7.86,7.87
1539849732790,35.63,27.63,8.00,7.88
1539849732994,35.55,27.69,7.86,7.88
1539849733197,35.61,27.69,7.92,7.88
1539849733384,35.55,27.67,7.88,7.88
1539849733587,35.59,27.67,7.92,7.88
1539849733790,35.61,27.69,7.92,7.88
1539849733994,35.55,27.69,7.86,7.88
1539849734197,35.59,27.73,7.86,7.88
1539849734384,35.53,27.67,7.86,7.89
1539849734588,35.61,27.67,7.94,7.88
1539849734791,35.61,27.63,7.98,7.88
1539849734994,35.55,27.69,7.86,7.88
1539849735197,35.61,27.63,7.98,7.88
1539849735385,35.55,27.67,7.88,7.89
1539849735588,35.59,27.69,7.90,7.88
1539849735791,35.61,27.67,7.94,7.89
1539849735994,35.55,27.75,7.80,7.89
1539849736197,35.63,27.67,7.96,7.88
1539849736385,35.53,27.69,7.84,7.89
1539849736588,35.59,27.67,7.92,7.88
1539849736791,35.59,27.69,7.90,7.89
1539849736994,35.59,27.69,7.90,7.89
1539849737197,35.59,27.75,7.84,7.88
1539849737385,35.53,27.67,7.86,7.89
1539849737588,35.53,27.69,7.84,7.88
1539849737791,35.59,27.63,7.96,7.89
1539849737995,35.55,27.61,7.94,7.89
1539849738198,35.59,27.73,7.86,7.88
1539849738385,35.61,27.69,7.92,7.89
1539849738588,35.61,27.63,7.98,7.88
1539849738791,35.59,27.61,7.98,7.89
1539849738995,35.59,27.61,7.98,7.89
1539849739198,35.55,27.59,7.96,7.89
1539849739385,35.61,27.67,7.94,7.90
1539849739588,35.61,27.63,7.98,7.89
1539849739791,35.59,27.61,7.98,7.90
1539849739995,35.55,27.61,7.94,7.90
1539849740198,35.61,27.63,7.98,7.90
1539849740385,35.55,27.59,7.96,7.90
1539849740588,35.59,27.61,7.98,7.90
1539849740791,35.61,27.63,7.98,7.90
1539849740995,35.59,27.67,7.92,7.91
1539849741182,35.63,27.63,8.00,7.90
1539849741385,35.59,27.61,7.98,7.91
1539849741588,35.59,27.63,7.96,7.91
1539849741792,35.61,27.63,7.98,7.91
1539849741995,35.63,27.67,7.96,7.91
1539849742183,35.63,27.63,8.00,7.91
1539849742386,35.63,27.67,7.96,7.92
1539849742589,35.59,27.73,7.86,7.92
