1539849193801,35,8.50,8.28
1539849193941,35.53,26.99,8.54,8.28
1539849193941,35.55,26.99,8.56,8.29
1539849194029,3,8.30,8.28
1539849194029,35.55,27.15,8.40,8.27
1539849194029,35.53,27.09,8.44,8.28
1539849194045,35.55,27.05,8.50,8.28
1539849194045,35.53,26.99,8.54,8.28
1539849194045,35.55,26.99,8.56,8.29
1539849194232,3,8.30,8.28
1539849194232,35.55,27.15,8.40,8.27
1539849194232,35.53,27.09,8.44,8.28
1539849194232,35.55,27.05,8.50,8.28
1539849194248,35.53,26.99,8.54,8.28
1539849194248,35.55,26.99,8.56,8.29
1539849194248,35.59,27.03,8.56,8.29
1539849194419,35.53,27.03,8.50,8.30
1539849194435,35.59,27.03,8.56,8.30
1539849194435,35.55,27.09,8.46,8.30
1539849194623,35.59,27.09,8.50,8.32
1539849194826,35.55,27.11,8.44,8.32
1539849195029,35.55,27.21,8.34,8.32
1539849195232,35.55,27.21,8.34,8.33
1539849195419,35.55,27.23,8.32,8.33
1539849195623,35.61,27.17,8.44,8.34
1539849195826,35.59,27.21,8.38,8.34
1539849196029,35.55,27.11,8.44,8.34
1539849196232,35.59,27.23,8.36,8.35
1539849196420,35.59,27.23,8.36,8.34
1539849196623,35.63,27.23,8.40,8.36
1539849196826,35.63,27.17,8.46,8.35
1539849197029,35.61,27.23,8.38,8.36
1539849197232,35.59,27.23,8.36,8.36
1539849197420,35.63,27.23,8.40,8.36
1539849197623,35.59,27.21,8.38,8.37
1539849197826,35.63,27.21,8.42,8.36
1539849198029,35.59,27.17,8.42,8.37
1539849198217,35.59,27.17,8.42,8.37
1539849198420,35.63,27.11,8.52,8.37
1539849198623,35.61,27.15,8.46,8.38
1539849198826,35.61,27.17,8.44,8.37
1539849199030,35.55,27.17,8.38,8.38
1539849199217,35.63,27.15,8.48,8.38
1539849199420,35.61,27.17,8.44,8.38
1539849199623,35.59,27.25,8.34,8.39
1539849199827,35.59,27.21,8.38,8.38
1539849200030,35.63,27.17,8.46,8.39
1539849200218,35.59,27.15,8.44,8.39
1539849200421,35.61,27.23,8.38,8.38
1539849200624,35.53,27.23,8.30,8.39
1539849200829,35.61,27.17,8.44,8.39
1539849201032,35.59,27.17,8.42,8.39
1539849201220,35.59,27.23,8.36,8.39
1539849201423,35.61,27.23,8.38,8.39
1539849201626,35.59,27.17,8.42,8.40
1539849201829,35.61,27.23,8.38,8.39
1539849202017,35.59,27.23,8.36,8.39
1539849202220,35.55,27.25,8.30,8.40
1539849202423,35.53,27.29,8.24,8.39
1539849202626,35.55,27.21,8.34,8.40
1539849202829,35.61,27.21,8.40,8.39
1539849203017,35.53,27.21,8.32,8.39
1539849203220,35.53,27.21,8.32,8.39
1539849203423,35.55,27.21,8.34,8.39
1539849203626,35.53,27.23,8.30,8.39
1539849203830,35.55,27.23,8.32,8.39
1539849204017,35.53,27.23,8.30,8.39
1539849204220,35.55,27.23,8.32,8.39
1539849204423,35.53,27.23,8.30,8.38
1539849204626,35.55,27.21,8.34,8.39
1539849204814,35.51,27.23,8.28,8.38
1539849205017,35.53,27.17,8.36,8.38
1539849205158,0,0,0,0
1539849205220,35.53,27.21,8.32,8.38
1539849205424,35.51,27.17,8.34,8.37
1539849205627,35.55,27.25,8.30,8.38
1539849205814,35.55,27.21,8.34,8.37
1539849206017,35.55,27.21,8.34,8.37
1539849206221,35.53,27.17,8.36,8.37
1539849206424,35.53,27.17,8.36,8.36
1539849206627,35.53,27.23,8.30,8.37
1539849206815,35.47,27.15,8.32,8.36
1539849207018,35.51,27.17,8.34,8.36
1539849207221,35.53,27.17,8.36,8.36
1539849207424,35.51,27.17,8.34,8.35
1539849207611,35.51,27.17,8.34,8.36
1539849207815,35.51,27.15,8.36,8.35
1539849208018,35.55,27.21,8.34,8.36
1539849208221,35.53,27.17,8.36,8.36
1539849208424,35.47,27.17,8.30,8.35
1539849208612,35.51,27.17,8.34,8.36
1539849208815,35.45,27.23,8.22,8.35
1539849209018,35.53,27.23,8.30,8.35
1539849209221,35.59,27.21,8.38,8.35
1539849209424,35.51,27.23,8.28,8.35
1539849209612,35.43,27.21,8.22,8.35
1539849209815,35.55,27.21,8.34,8.34
1539849210018,35.53,27.21,8.32,8.35
1539849210221,35.51,27.17,8.34,8.35
1539849210424,35.47,27.17,8.30,8.34
1539849210612,35.51,27.21,8.30,8.35
1539849210815,35.53,27.21,8.32,8.34
1539849211018,35.51,27.15,8.36,8.34
1539849211221,35.47,27.21,8.26,8.34
1539849211409,35.47,27.15,8.32,8.34
1539849211612,35.47,27.17,8.30,8.34
1539849211815,35.45,27.15,8.30,8.33
1539849212019,35.47,27.25,8.22,8.33
1539849212222,35.53,27.21,8.32,8.33
1539849212409,35.51,27.21,8.30,8.33
1539849212612,35.45,27.17,8.28,8.33
1539849212816,35.47,27.17,8.30,8.33
1539849213019,35.47,27.21,8.26,8.33
1539849213222,35.51,27.25,8.26,8.33
1539849213409,35.47,27.23,8.24,8.32
1539849213628,35.47,27.15,8.32,8.33
1539849213816,35.45,27.17,8.28,8.32
1539849214019,35.45,27.17,8.28,8.32
1539849214222,35.51,27.17,8.34,8.32
1539849214409,35.47,27.21,8.26,8.31
1539849214613,35.47,27.17,8.30,8.32
1539849214816,35.43,27.21,8.22,8.31
1539849215019,35.43,27.21,8.22,8.31
1539849215206,35.51,27.17,8.34,8.31
1539849215425,35.45,27.15,8.30,8.30
1539849215613,35.45,27.17,8.28,8.31
1539849215816,35.43,27.17,8.26,8.30
1539849216019,35.45,27.25,8.20,8.30
1539849216222,35.51,27.11,8.40,8.30
1539849216425,35.43,27.17,8.26,8.30
1539849216613,35.47,27.17,8.30,8.30
1539849216816,35.45,27.15,8.30,8.30
1539849217019,35.45,27.11,8.34,8.30
1539849217222,35.45,27.21,8.24,8.30
1539849217410,35.43,27.17,8.26,8.29
1539849217613,35.43,27.21,8.22,8.30
1539849217816,35.45,27.17,8.28,8.29
1539849218004,35.45,27.21,8.24,8.30
1539849218222,35.47,27.11,8.36,8.30
