1539151841608,34.432.67,3.02,1.34
1539151841608,7,1.58,1.30
1539151841609,34.25,32.67,1.58,1.31
1539151841609,34.51,32.69,1.82,1.31
1539151841762,34.71,32.71,2.00,1.32
1539151841766,35.13,32.69,2.44,1.33
1539151841770,35.69,32.67,3.02,1.34
1539151841774,36.41,32.69,3.72,1.37
1539151841778,37.11,32.63,4.48,1.39
1539151841959,37.61,32.55,5.06,1.42
1539151842159,38.19,32.45,5.74,1.47
1539151842364,38.59,32.41,6.18,1.52
1539151842561,39.03,32.31,6.72,1.60
1539151842761,39.31,32.19,7.12,1.67
1539151842958,39.81,32.13,7.68,1.77
1539151843163,41.25,32.11,9.14,1.88
1539151843360,40.07,31.99,8.08,1.99
1539151843560,38.59,31.89,6.70,2.13
1539151843757,37.41,31.71,5.70,2.27
1539151843962,36.47,31.69,4.78,2.41
1539151844159,35.83,31.69,4.14,2.54
1539151844360,35.29,31.71,3.58,2.67
1539151844556,34.99,31.67,3.32,2.78
1539151844756,34.71,31.67,3.04,2.89
1539151844962,34.53,31.63,2.90,2.98
1539151845158,34.39,31.61,2.78,3.06
1539151845358,34.17,31.67,2.50,3.13
1539151845556,34.13,31.63,2.50,3.19
1539151845760,34.09,31.67,2.42,3.23
1539151845957,34.01,31.71,2.30,3.27
1539151846157,34.07,31.71,2.36,3.30
1539151846353,34.01,31.75,2.26,3.32
1539151846559,34.01,31.77,2.24,3.34
1539151846755,34.01,31.75,2.26,3.35
1539151846956,33.93,31.81,2.12,3.35
1539151847153,34.01,31.81,2.20,3.35
1539151847357,33.87,31.77,2.10,3.34
1539151847558,33.87,31.77,2.10,3.33
1539151847754,33.91,31.81,2.10,3.31
1539151847960,33.99,31.83,2.16,3.30
1539151848156,33.91,31.75,2.16,3.28
1539151848357,33.93,31.81,2.12,3.25
1539151848554,33.93,31.83,2.10,3.23
1539151848759,33.77,31.81,1.96,3.20
1539151848955,33.73,31.77,1.96,3.17
1539151849156,33.77,31.85,1.92,3.14
1539151849352,33.77,31.89,1.88,3.11
1539151849557,33.73,31.91,1.82,3.08
1539151849754,33.77,32.03,1.74,3.05
1539151849954,33.77,32.09,1.68,3.01
1539151850151,33.79,32.05,1.74,2.98
1539151850356,33.83,32.11,1.72,2.94
1539151850556,33.83,32.13,1.70,2.90
1539151850753,33.83,32.21,1.62,2.86
1539151850958,33.77,32.19,1.58,2.83
1539151851154,33.83,32.27,1.56,2.79
1539151851355,33.79,32.27,1.52,2.75
1539151851551,33.65,32.31,1.34,2.71
1539151851756,33.73,32.35,1.38,2.67
1539151851953,33.71,32.35,1.36,2.63
1539151852153,33.83,32.39,1.44,2.59
1539151852350,33.77,32.41,1.36,2.55
1539151852555,33.77,32.47,1.30,2.51
1539151852751,33.83,32.47,1.36,2.47
1539151852952,33.79,32.49,1.30,2.43
1539151853149,33.83,32.45,1.38,2.39
1539151853354,33.73,32.49,1.24,2.35
1539151853554,33.71,32.45,1.26,2.32
1539151853751,33.69,32.47,1.22,2.28
1539151853952,33.63,32.47,1.16,2.24
1539151854152,33.63,32.47,1.16,2.20
1539151854353,33.71,32.41,1.30,2.17
1539151854550,33.71,32.33,1.38,2.13
1539151854751,33.77,32.31,1.46,2.09
1539151854951,33.69,32.31,1.38,2.06
1539151855151,33.65,32.31,1.34,2.03
1539151855348,33.61,32.25,1.36,2.00
1539151855549,33.61,32.27,1.34,1.97
1539151855745,33.63,32.21,1.42,1.94
1539151855951,33.57,32.27,1.30,1.92
1539151856151,33.51,32.19,1.32,1.89
1539151856347,33.49,32.25,1.24,1.86
1539151856553,33.57,32.25,1.32,1.84
1539151856749,33.51,32.25,1.26,1.82
1539151856950,33.55,32.19,1.36,1.80
1539151857147,33.61,32.27,1.34,1.77
1539151857351,33.63,32.33,1.30,1.75
1539151857548,33.57,32.21,1.36,1.73
1539151857749,33.63,32.31,1.32,1.71
1539151857949,33.57,32.31,1.26,1.69
1539151858150,33.61,32.33,1.28,1.68
1539151858351,33.63,32.33,1.30,1.66
1539151858547,33.63,32.31,1.32,1.64
1539151858748,33.61,32.35,1.26,1.62
1539151858948,33.79,32.33,1.46,1.61
1539151859149,33.71,32.39,1.32,1.59
1539151859345,33.73,32.35,1.38,1.58
1539151859546,33.71,32.39,1.32,1.57
1539151859743,33.71,32.49,1.22,1.55
1539151859948,33.65,32.47,1.18,1.54
1539151860149,33.63,32.49,1.14,1.53
1539151860345,33.65,32.45,1.20,1.52
1539151860551,33.57,32.39,1.18,1.50
1539151860747,33.63,32.41,1.22,1.49
1539151860947,33.69,32.47,1.22,1.48
1539151861144,33.71,32.53,1.18,1.47
1539151861345,33.69,32.53,1.16,1.46
1539151861546,33.69,32.55,1.14,1.45
1539151861746,33.69,32.69,1.00,1.44
1539151861947,33.63,32.77,0.86,1.43
1539151862143,33.61,32.83,0.78,1.41
1539151862348,33.63,32.85,0.78,1.40
1539151862545,33.63,32.81,0.82,1.39
1539151862746,33.63,32.83,0.80,1.37
1539151862941,33.61,32.89,0.72,1.36
1539151863147,33.57,32.83,0.74,1.34
1539151863343,33.49,32.85,0.64,1.33
1539151863543,33.57,32.83,0.74,1.31
1539151863741,33.55,32.89,0.66,1.29
1539151863946,33.55,32.83,0.72,1.27
