Subject,Level,Order,relax_last_min_avg,begin_task,begin_time,task_first_min_avg,Peak,peak_time,task_peak_min_avg,task_last_min_avg,mental_demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,slope
1,3,1,-2.763,-2.72,1539313293065,-2.1131,-1.57,1539313394822,-1.7714,-2.2407,65,15,90,35,60,40,1.13014E-05
1,1,2,-2.6496,-2.89,1539313873992,-2.5385,-1.89,1539314060716,-2.023,-2.023,,,,,,,5.3555E-06
1,4,3,-2.7613,-2.65,1539314329511,-1.56,-1.6579,1539314414850,-1.6579,-1.9954,,,,,,,1.16254E-05
1,2,4,-2.5684,-2.9,1539314787363,-2.3947,-1.05,1539314974816,-1.1904,-1.1904,,,,,,,9.86914E-06
2,1,1,0.670728,0.48,1540166176205,0.507641,1.46,1540166354718,1.265615,1.265615,,,,,,,5.4898E-06
2,2,2,0.267939,0.15,1540166684960,0.371694,1.57,1540166865477,1.385482,1.385482,,,,,,,7.8663E-06
2,3,3,1.245551,1.13,1540167117103,1.221661,2.14,1540167297161,1.980698,1.980698,,,,,,,5.6093E-06
2,4,4,0.936231,0.63,1540167629503,0.961661,1.99,1540167812954,1.782757,1.782757,,,,,,,7.41342E-06
3,3,1,4.3024,4.57,1540343576189,4.39495,5.04,1540343750708,4.772724,4.772724,,,,,,,2.69312E-06
3,1,2,4.64584,4.93,1540344017173,4.814222,5.74,1540344120491,5.338904,4.898584,,,,,,,7.83987E-06
3,4,3,5.029408,5.3,1540344474817,5.356379,5.59,1540344524179,5.316578,5.200066,,,,,,,5.87496E-06
3,2,4,5.315649,5.36,1540344905285,5.499369,6.17,1540345065557,5.883522,5.883522,,,,,,,5.05391E-06
4,4,1,-1.77294,-1.84,1540333096842,-0.90894,0.71,1540333274704,0.496379,0.496379,,,,,,,1.4337E-05
4,3,2,-0.93322,-0.6,1540333604045,-0.04458,1.66,1540333786501,1.433953,1.433953,,,,,,,1.23865E-05
4,2,3,0.167436,0.04,1540334046299,0.46186,2.33,1540334224157,2.147076,2.147076,,,,,,,1.28754E-05
4,1,4,1.281748,1.15,1540334485750,1.792957,3.29,1540334665409,3.11412,3.11412,,,,,,,1.19115E-05
5,4,1,-3.18595,-3.1,1539817136825,-2.39392,-1.73,1539817206386,-1.84654,-2.29107,,,,,,,1.96949E-05
5,3,2,-2.49242,-2.59,1539817625452,-1.88516,-0.15,1539817787565,-0.33465,-0.33465,,,,,,,1.50512E-05
5,2,3,-2.68878,-3.1,1539818061631,-2.14571,0.56,1539818247356,0.148937,0.148937,,,,,,,1.97066E-05
5,1,4,-2.08299,-2.65,1539818486811,-1.91357,0.06,1539818670868,-0.32857,-0.32857,,,,,,,1.47237E-05
6,2,1,-2.67,-2.32,1539674268691,-2.44229,-2.17,1539674271092,-2.44229,-2.70329,,,,,,,6.2474E-05
6,4,2,-2.9499,-2.84,1539674713267,-2.70794,-2.57,1539674734458,-2.70794,-2.8615,,,,,,,1.27413E-05
6,1,3,-2.77358,-2.68,1539675165859,-2.56286,-2.35,1539675188652,-2.56286,-2.92007,,,,,,,1.44781E-05
6,3,4,-3.12552,-2.8,1539675620543,-2.7104,-2.58,1539675778822,-2.69824,-2.69824,,,,,,,1.38995E-06
7,2,1,-0.28039,0.01,1539745661348,0.345648,0.7,1539745772898,0.63289,0.608405,,,,,,,6.18557E-06
7,4,2,-0.06098,0.16,1539746196698,0.331163,1.08,1539746338831,0.991894,0.991894,,,,,,,6.47281E-06
7,1,3,0.120926,0.27,1539746713182,0.252326,0.6,1539746819497,0.476877,0.300465,,,,,,,3.10398E-06
7,3,4,-0.12668,-0.06,1539747166429,0.29794,0.91,1539747344290,0.701927,0.701927,,,,,,,5.4537E-06
