1541907606961,33.1,-0.64,-0.28
1541907606961,33.25,33.95,-0.70,-0.28
1541907606961,33.19,33.93,-0.74,-0.29
1541907606961,7
1541907607109,33.33,33.77,-0.44,-0.27
1541907607109,33.35,33.79,-0.44,-0.27
1541907607109,33.27,33.91,-0.64,-0.28
1541907607109,33.25,33.95,-0.70,-0.28
1541907607125,33.19,33.93,-0.74,-0.29
1541907607125,33.27,33.93,-0.66,-0.29
1541907607125,33.33,33.93,-0.60,-0.30
1541907607297,33.29,34.01,-0.72,-0.31
1541907607500,33.33,33.95,-0.62,-0.31
1541907607703,33.33,33.99,-0.66,-0.32
1541907607906,33.27,33.95,-0.68,-0.33
1541907608109,33.25,33.83,-0.58,-0.34
1541907608297,33.33,33.83,-0.50,-0.35
1541907608500,33.27,33.71,-0.44,-0.36
1541907608703,33.41,33.73,-0.32,-0.37
1541907608906,33.41,33.83,-0.42,-0.38
1541907609094,33.47,33.91,-0.44,-0.38
1541907609297,33.55,33.95,-0.40,-0.39
1541907609500,33.65,33.99,-0.34,-0.39
1541907609703,33.69,34.07,-0.38,-0.40
1541907609906,33.65,34.09,-0.44,-0.40
1541907610094,33.71,34.07,-0.36,-0.41
1541907610297,33.61,33.99,-0.38,-0.41
1541907610500,33.61,34.03,-0.42,-0.41
1541907610703,33.61,33.95,-0.34,-0.41
1541907610890,33.55,33.95,-0.40,-0.42
1541907611094,33.51,33.99,-0.48,-0.42
1541907611297,33.51,33.87,-0.36,-0.42
1541907611500,33.49,33.93,-0.44,-0.42
1541907611703,33.55,33.93,-0.38,-0.42
1541907611907,33.51,33.87,-0.36,-0.42
1541907612094,33.51,33.95,-0.44,-0.42
1541907612297,33.47,33.93,-0.46,-0.42
1541907612500,33.47,34.01,-0.54,-0.42
1541907612703,33.51,34.09,-0.58,-0.43
1541907612891,33.49,34.07,-0.58,-0.43
1541907613102,33.51,34.21,-0.70,-0.43
1541907613305,33.57,34.09,-0.52,-0.43
1541907613492,33.55,34.17,-0.62,-0.43
1541907613696,33.61,34.21,-0.60,-0.44
1541907613899,33.65,34.15,-0.50,-0.44
1541907614102,33.71,34.07,-0.36,-0.45
1541907614289,33.71,34.09,-0.38,-0.45
1541907614492,33.63,34.21,-0.58,-0.45
1541907614695,33.63,34.09,-0.46,-0.45
1541907614899,33.63,34.09,-0.46,-0.45
1541907615102,33.65,34.09,-0.44,-0.46
1541907615289,33.65,34.13,-0.48,-0.46
1541907615492,33.65,34.13,-0.48,-0.46
1541907615695,33.65,34.17,-0.52,-0.46
1541907615899,33.71,34.23,-0.52,-0.46
1541907616086,33.71,34.43,-0.72,-0.46
1541907616305,33.83,34.43,-0.60,-0.46
1541907616492,33.83,34.39,-0.56,-0.46
1541907616695,33.87,34.51,-0.64,-0.47
1541907616899,33.87,34.51,-0.64,-0.47
1541907617102,33.85,34.55,-0.70,-0.47
1541907617290,33.87,34.61,-0.74,-0.48
1541907617493,33.87,34.47,-0.60,-0.48
1541907617696,33.85,34.55,-0.70,-0.49
1541907617899,33.91,34.59,-0.68,-0.49
1541907618086,33.87,34.51,-0.64,-0.49
1541907618290,33.87,34.47,-0.60,-0.50
1541907618493,33.91,34.45,-0.54,-0.50
1541907618696,33.87,34.45,-0.58,-0.51
1541907618899,33.83,34.45,-0.62,-0.51
1541907619087,33.79,34.43,-0.64,-0.51
1541907619290,33.85,34.43,-0.58,-0.52
1541907619493,33.85,34.45,-0.60,-0.52
1541907619696,33.85,34.37,-0.52,-0.53
1541907619884,33.87,34.33,-0.46,-0.53
1541907620102,33.85,34.31,-0.46,-0.53
1541907620290,33.85,34.33,-0.48,-0.53
1541907620493,33.83,34.31,-0.48,-0.53
1541907620696,33.85,34.29,-0.44,-0.53
1541907620899,33.79,34.29,-0.50,-0.53
1541907621087,33.83,34.25,-0.42,-0.53
1541907621290,33.71,34.29,-0.58,-0.53
1541907621493,33.65,34.17,-0.52,-0.53
1541907621696,33.57,34.21,-0.64,-0.53
1541907621884,33.55,34.21,-0.66,-0.53
1541907622087,33.61,34.23,-0.62,-0.53
1541907622290,33.61,34.25,-0.64,-0.53
1541907622321,0,0,0,0
1541907622493,33.61,34.23,-0.62,-0.53
1541907622680,33.63,34.23,-0.60,-0.53
1541907622899,33.73,34.33,-0.60,-0.53
1541907623087,33.69,34.29,-0.60,-0.54
1541907623290,33.77,34.23,-0.46,-0.54
1541907623493,33.77,34.21,-0.44,-0.54
1541907623696,33.77,34.23,-0.46,-0.54
1541907623884,33.87,34.29,-0.42,-0.54
1541907624087,33.85,34.15,-0.30,-0.54
1541907624290,33.77,34.15,-0.38,-0.54
1541907624493,33.79,34.17,-0.38,-0.53
