1541907993708,33.
1541907993708,.14,0.31
1541907993708,3,0.36,0.31
1541907993708,33.71,33.43,0.28,0.31
1541907993739,33.63,33.39,0.24,0.31
1541907993817,33.61,33.43,0.18,0.31
1541907993817,33.61,33.41,0.20,0.31
1541907993833,33.57,33.43,0.14,0.31
1541907993833,3,0.36,0.31
1541907993833,33.71,33.43,0.28,0.31
1541907993833,33.63,33.39,0.24,0.31
1541907994021,33.61,33.43,0.18,0.31
1541907994021,33.61,33.41,0.20,0.31
1541907994036,33.57,33.43,0.14,0.31
1541907994036,33.65,33.39,0.26,0.31
1541907994036,33.65,33.41,0.24,0.31
1541907994036,33.49,33.43,0.06,0.31
1541907994208,33.63,33.43,0.20,0.30
1541907994427,33.61,33.43,0.18,0.30
1541907994614,33.63,33.47,0.16,0.30
1541907994817,33.69,33.43,0.26,0.30
1541907995021,33.71,33.41,0.30,0.29
1541907995224,33.69,33.39,0.30,0.29
1541907995411,33.63,33.39,0.24,0.29
1541907995614,33.57,33.35,0.22,0.29
1541907995817,33.63,33.39,0.24,0.28
1541907996021,33.63,33.39,0.24,0.28
1541907996208,33.65,33.35,0.30,0.28
1541907996411,33.65,33.29,0.36,0.28
1541907996615,33.65,33.33,0.32,0.28
1541907996818,33.69,33.33,0.36,0.28
1541907997005,33.63,33.35,0.28,0.28
1541907997208,33.69,33.29,0.40,0.27
1541907997411,33.71,33.33,0.38,0.28
1541907997615,33.69,33.27,0.42,0.28
1541907997818,33.63,33.39,0.24,0.28
1541907998005,33.65,33.43,0.22,0.28
1541907998224,33.71,33.43,0.28,0.28
1541907998412,33.73,33.55,0.18,0.28
1541907998615,33.69,33.47,0.22,0.28
1541907998818,33.71,33.43,0.28,0.28
1541907999021,33.65,33.43,0.22,0.28
1541907999209,33.71,33.47,0.24,0.28
1541907999412,33.71,33.49,0.22,0.28
1541907999615,33.69,33.47,0.22,0.28
1541907999818,33.71,33.43,0.28,0.28
1541908000006,33.65,33.43,0.22,0.28
1541908000209,33.79,33.39,0.40,0.28
1541908000412,33.83,33.41,0.42,0.28
1541908000615,33.83,33.41,0.42,0.28
1541908000803,33.91,33.43,0.48,0.28
1541908001006,33.77,33.41,0.36,0.28
1541908001209,33.71,33.39,0.32,0.28
1541908001412,33.73,33.39,0.34,0.28
1541908001615,33.73,33.41,0.32,0.29
1541908001803,33.83,33.43,0.40,0.29
1541908002022,33.91,33.41,0.50,0.29
1541908002209,33.91,33.35,0.56,0.29
1541908002413,33.91,33.43,0.48,0.30
1541908002615,33.95,33.39,0.56,0.30
1541908002819,33.93,33.41,0.52,0.31
1541908003007,33.95,33.49,0.46,0.31
1541908003210,33.95,33.49,0.46,0.32
1541908003413,33.91,33.43,0.48,0.32
1541908003616,33.87,33.39,0.48,0.33
1541908003803,33.83,33.41,0.42,0.33
1541908004007,33.73,33.35,0.38,0.34
1541908004210,33.69,33.35,0.34,0.34
1541908004413,33.69,33.39,0.30,0.34
1541908004616,33.69,33.35,0.34,0.35
1541908004803,33.61,33.39,0.22,0.35
1541908005007,33.63,33.33,0.30,0.35
1541908005210,33.61,33.33,0.28,0.35
1541908005413,33.61,33.39,0.22,0.35
1541908005600,33.61,33.35,0.26,0.35
1541908005804,33.65,33.39,0.26,0.35
1541908006007,33.65,33.43,0.22,0.35
1541908006210,33.61,33.35,0.26,0.35
1541908006397,33.73,33.29,0.44,0.35
1541908006616,33.73,33.41,0.32,0.35
1541908006804,33.69,33.35,0.34,0.35
1541908007007,33.65,33.27,0.38,0.35
1541908007210,33.65,33.29,0.36,0.35
1541908007413,33.73,33.29,0.44,0.35
1541908007616,33.65,33.35,0.30,0.35
1541908007804,33.65,33.33,0.32,0.35
1541908008005,33.63,33.39,0.24,0.35
1541908008208,33.63,33.33,0.30,0.35
1541908008412,33.65,33.39,0.26,0.35
1541908008599,33.61,33.35,0.26,0.35
1541908008802,33.65,33.33,0.32,0.35
1541908009005,33.79,33.41,0.38,0.34
1541908009208,33.83,33.29,0.54,0.34
1541908009396,33.79,33.33,0.46,0.34
1541908009614,33.77,33.41,0.36,0.34
1541908009802,33.77,33.35,0.42,0.34
1541908010006,33.83,33.39,0.44,0.35
1541908010209,33.87,33.33,0.54,0.35
1541908010412,33.79,33.35,0.44,0.35
1541908010615,33.69,33.35,0.34,0.35
1541908010802,33.65,33.35,0.30,0.35
1541908011006,33.61,33.33,0.28,0.35
1541908011209,33.69,33.33,0.36,0.35
1541908011412,33.73,33.39,0.34,0.35
1541908011599,33.73,33.41,0.32,0.35
1541908011630,0,0,0,0
1541908011802,33.65,33.41,0.24,0.35
1541908012005,33.73,33.39,0.34,0.35
1541908012208,33.77,33.39,0.38,0.35
1541908012396,33.79,33.41,0.38,0.35
1541908012599,33.77,33.35,0.42,0.35
1541908012802,33.85,33.41,0.44,0.35
1541908013006,33.65,33.39,0.26,0.35
1541908013194,33.65,33.41,0.24,0.35
1541908013412,33.63,33.39,0.24,0.35
1541908013600,33.63,33.35,0.28,0.35
1541908013803,33.63,33.39,0.24,0.35
