1541908213012,33.40.68,0.88
1541908213012,5,0.96,0.86
1541908213012,34.45,33.49,0.96,0.86
1541908213052,34.45,33.49,0.96,0.87
1541908213052,34.51,33.51,1.00,0.87
1541908213068,34.45,33.55,0.90,0.87
1541908213068,34.45,33.77,0.68,0.88
1541908213068,34.37,34.15,0.22,0.88
1541908213083,34.43,34.23,0.20,0.88
1541908213255,34.45,34.13,0.32,0.88
1541908213458,34.43,34.03,0.40,0.87
1541908213661,34.47,34.03,0.44,0.87
1541908213849,34.39,33.99,0.40,0.86
1541908214052,34.39,33.95,0.44,0.85
1541908214255,34.33,33.95,0.38,0.84
1541908214458,34.31,33.85,0.46,0.83
1541908214645,34.25,33.83,0.42,0.82
1541908214848,34.39,33.83,0.56,0.81
1541908215052,34.25,33.71,0.54,0.80
1541908215255,34.33,33.71,0.62,0.79
1541908215459,34.29,33.71,0.58,0.78
1541908215646,34.31,33.73,0.58,0.77
1541908215849,34.23,33.85,0.38,0.76
1541908216053,34.29,33.79,0.50,0.75
1541908216256,34.29,33.91,0.38,0.74
1541908216443,34.25,33.85,0.40,0.74
1541908216662,34.23,33.93,0.30,0.73
1541908216849,34.17,33.87,0.30,0.72
1541908217053,34.21,33.87,0.34,0.70
1541908217256,34.21,33.85,0.36,0.69
1541908217459,34.25,33.87,0.38,0.68
1541908217646,34.23,33.87,0.36,0.67
1541908217849,34.25,33.93,0.32,0.66
1541908218053,34.21,33.83,0.38,0.65
1541908218256,34.23,33.85,0.38,0.64
1541908218443,34.21,33.85,0.36,0.63
1541908218662,34.17,33.87,0.30,0.62
1541908218850,34.21,33.83,0.38,0.61
1541908219053,34.25,33.85,0.40,0.60
1541908219256,34.23,33.83,0.40,0.59
1541908219459,34.21,33.85,0.36,0.58
1541908219646,34.21,33.83,0.38,0.57
1541908219850,34.21,33.87,0.34,0.56
1541908220053,34.15,33.91,0.24,0.56
1541908220256,34.09,33.91,0.18,0.55
1541908220459,34.09,33.95,0.14,0.54
1541908220647,34.15,33.95,0.20,0.53
1541908220850,34.13,33.93,0.20,0.52
1541908221053,34.15,33.95,0.20,0.51
1541908221256,34.09,33.95,0.14,0.50
1541908221444,34.15,33.99,0.16,0.49
1541908221647,34.13,33.93,0.20,0.48
1541908221850,34.15,33.93,0.22,0.47
1541908222053,34.17,33.95,0.22,0.46
1541908222241,34.17,33.93,0.24,0.45
1541908222459,34.17,33.87,0.30,0.44
1541908222647,34.17,33.93,0.24,0.43
1541908222850,34.21,33.87,0.34,0.42
1541908223038,34.17,33.85,0.32,0.41
1541908223257,34.15,33.83,0.32,0.41
1541908223444,34.17,33.85,0.32,0.40
1541908223647,34.21,33.79,0.42,0.39
1541908223850,34.13,33.83,0.30,0.39
1541908224054,34.15,33.79,0.36,0.38
1541908224241,34.15,33.77,0.38,0.38
1541908224444,34.09,33.79,0.30,0.38
1541908224647,34.09,33.71,0.38,0.38
1541908224850,34.13,33.79,0.34,0.37
1541908225038,34.09,33.79,0.30,0.37
1541908225241,34.15,33.77,0.38,0.37
1541908225444,34.13,33.73,0.40,0.37
1541908225647,34.13,33.65,0.48,0.36
1541908225850,33.99,33.69,0.30,0.36
1541908226038,34.01,33.69,0.32,0.36
1541908226241,34.01,33.69,0.32,0.36
1541908226444,34.13,33.69,0.44,0.36
1541908226648,34.01,33.69,0.32,0.36
1541908226835,34.03,33.69,0.34,0.36
1541908227054,34.09,33.77,0.32,0.36
1541908227241,34.01,33.71,0.30,0.36
1541908227445,34.07,33.71,0.36,0.35
1541908227648,34.01,33.69,0.32,0.35
1541908227851,33.99,33.69,0.30,0.35
1541908228038,33.95,33.69,0.26,0.35
1541908228242,33.93,33.69,0.24,0.35
1541908228445,33.93,33.69,0.24,0.35
1541908228648,34.01,33.69,0.32,0.35
1541908228851,34.01,33.65,0.36,0.35
1541908229039,33.99,33.63,0.36,0.35
1541908229242,34.03,33.63,0.40,0.35
1541908229445,34.07,33.65,0.42,0.35
1541908229648,34.03,33.61,0.42,0.35
1541908229835,34.09,33.63,0.46,0.35
1541908230039,34.03,33.63,0.40,0.35
1541908230242,34.09,33.63,0.46,0.35
1541908230445,34.03,33.61,0.42,0.35
1541908230632,34.01,33.57,0.44,0.35
1541908230851,34.01,33.63,0.38,0.35
1541908231039,33.95,33.63,0.32,0.35
1541908231242,33.99,33.61,0.38,0.35
1541908231445,34.03,33.61,0.42,0.35
1541908231648,33.99,33.61,0.38,0.35
1541908231835,34.01,33.65,0.36,0.35
1541908232039,34.03,33.63,0.40,0.35
1541908232242,33.99,33.63,0.36,0.36
1541908232445,34.01,33.65,0.36,0.36
1541908232648,34.01,33.63,0.38,0.36
1541908232836,33.99,33.63,0.36,0.36
1541908233039,33.99,33.65,0.34,0.36
1541908233242,33.99,33.65,0.34,0.36
1541908233445,34.03,33.69,0.34,0.36
1541908233633,34.01,33.65,0.36,0.36
1541908233836,34.01,33.63,0.38,0.36
1541908234039,34.03,33.63,0.40,0.36
1541908234242,33.99,33.61,0.38,0.36
1541908234445,34.07,33.63,0.44,0.36
1541908234633,34.01,33.63,0.38,0.36
1541908234836,33.91,33.57,0.34,0.36
1541908235039,33.99,33.63,0.36,0.36
1541908235242,34.03,33.61,0.42,0.36
1541908235446,33.95,33.63,0.32,0.36
1541908235633,34.01,33.65,0.36,0.36
1541908235836,34.01,33.63,0.38,0.36
1541908236039,33.95,33.61,0.34,0.36
1541908236243,33.95,33.65,0.30,0.36
1541908236446,33.93,33.61,0.32,0.36
1541908236633,33.95,33.63,0.32,0.36
1541908236836,33.91,33.57,0.34,0.36
1541908237040,33.91,33.61,0.30,0.36
1541908237243,33.85,33.63,0.22,0.36
1541908237430,33.85,33.63,0.22,0.36
1541908237633,33.85,33.63,0.22,0.36
1541908237836,33.85,33.63,0.22,0.36
1541908238040,33.87,33.65,0.22,0.35
1541908238243,33.91,33.63,0.28,0.35
1541908238430,33.95,33.61,0.34,0.35
1541908238633,33.91,33.61,0.30,0.35
1541908238837,33.85,33.57,0.28,0.34
1541908239040,33.83,33.63,0.20,0.34
1541908239243,33.83,33.61,0.22,0.34
1541908239430,33.87,33.61,0.26,0.34
1541908239634,33.85,33.57,0.28,0.33
1541908239837,33.91,33.57,0.34,0.33
1541908240040,33.95,33.57,0.38,0.33
1541908240228,33.91,33.55,0.36,0.33
1541908240431,33.87,33.55,0.32,0.32
1541908240634,33.91,33.55,0.36,0.32
1541908240837,33.93,33.51,0.42,0.32
1541908241040,33.93,33.51,0.42,0.32
1541908241243,33.93,33.55,0.38,0.32
1541908241431,33.91,33.55,0.36,0.32
1541908241634,33.95,33.55,0.40,0.32
1541908241837,33.93,33.55,0.38,0.32
1541908242040,33.95,33.57,0.38,0.32
1541908242228,33.99,33.63,0.36,0.32
1541908242431,33.93,33.55,0.38,0.32
1541908242634,33.91,33.57,0.34,0.32
1541908242837,33.83,33.57,0.26,0.32
1541908243041,33.87,33.55,0.32,0.32
1541908243228,33.87,33.57,0.30,0.32
1541908243431,33.87,33.61,0.26,0.32
1541908243634,33.93,33.55,0.38,0.32
1541908243837,33.91,33.55,0.36,0.33
1541908244025,33.91,33.49,0.42,0.33
1541908244244,33.91,33.47,0.44,0.33
1541908244431,33.91,33.47,0.44,0.33
1541908244634,33.83,33.43,0.40,0.33
1541908244837,33.85,33.51,0.34,0.33
1541908245029,33.85,33.49,0.36,0.33
1541908245232,33.87,33.51,0.36,0.33
1541908245435,33.91,33.47,0.44,0.34
1541908245623,33.93,33.49,0.44,0.34
1541908245841,33.95,33.51,0.44,0.34
1541908246029,33.95,33.49,0.46,0.34
1541908246232,33.99,33.49,0.50,0.34
1541908246435,33.95,33.49,0.46,0.34
1541908246638,33.91,33.57,0.34,0.35
1541908246826,33.85,33.49,0.36,0.35
1541908247029,33.83,33.47,0.36,0.35
1541908247232,33.87,33.47,0.40,0.35
1541908247435,33.87,33.49,0.38,0.35
1541908247638,33.91,33.51,0.40,0.35
1541908247826,33.87,33.51,0.36,0.35
1541908248029,33.93,33.55,0.38,0.36
1541908248232,33.87,33.55,0.32,0.36
1541908248435,33.93,33.57,0.36,0.36
1541908248623,33.95,33.55,0.40,0.36
1541908248826,33.95,33.51,0.44,0.36
1541908249029,33.99,33.57,0.42,0.36
1541908249233,33.93,33.55,0.38,0.36
1541908249420,34.01,33.57,0.44,0.36
1541908249639,33.95,33.51,0.44,0.36
1541908249826,33.95,33.63,0.32,0.36
1541908250029,33.93,33.55,0.38,0.36
1541908250233,33.99,33.55,0.44,0.36
1541908250436,34.01,33.57,0.44,0.36
1541908250623,33.95,33.51,0.44,0.37
1541908250826,33.95,33.47,0.48,0.37
1541908251029,33.87,33.47,0.40,0.37
1541908251233,33.79,33.57,0.22,0.37
1541908251436,33.83,33.49,0.34,0.37
1541908251623,33.83,33.47,0.36,0.37
1541908251826,33.79,33.49,0.30,0.37
1541908252029,33.77,33.51,0.26,0.37
1541908252233,33.85,33.55,0.30,0.37
1541908252420,33.85,33.57,0.28,0.37
1541908252623,33.87,33.49,0.38,0.37
1541908252826,33.93,33.47,0.46,0.37
1541908253030,33.85,33.49,0.36,0.37
1541908253233,33.91,33.49,0.42,0.37
1541908253420,33.87,33.43,0.44,0.37
1541908253623,33.93,33.55,0.38,0.37
1541908253827,33.91,33.49,0.42,0.37
1541908254030,33.91,33.55,0.36,0.37
1541908254217,33.87,33.51,0.36,0.37
1541908254420,33.91,33.49,0.42,0.37
1541908254624,33.87,33.41,0.46,0.37
1541908254827,33.93,33.43,0.50,0.37
1541908255014,33.85,33.49,0.36,0.37
1541908255233,33.83,33.47,0.36,0.37
1541908255421,33.85,33.41,0.44,0.38
1541908255623,33.83,33.51,0.32,0.38
1541908255827,33.85,33.49,0.36,0.38
1541908256030,33.85,33.49,0.36,0.38
1541908256233,33.79,33.47,0.32,0.38
1541908256421,33.85,33.47,0.38,0.38
1541908256624,33.85,33.49,0.36,0.38
1541908256827,33.87,33.49,0.38,0.38
1541908257030,33.87,33.47,0.40,0.38
1541908257217,33.93,33.51,0.42,0.38
1541908257421,33.87,33.43,0.44,0.38
1541908257624,33.93,33.41,0.52,0.38
1541908257827,33.87,33.39,0.48,0.38
1541908258014,33.85,33.41,0.44,0.38
1541908258218,33.83,33.39,0.44,0.38
1541908258421,33.87,33.41,0.46,0.39
1541908258624,33.79,33.39,0.40,0.39
1541908258827,33.77,33.47,0.30,0.39
1541908259030,33.77,33.47,0.30,0.39
1541908259218,33.85,33.39,0.46,0.39
1541908259421,33.79,33.41,0.38,0.39
1541908259624,33.77,33.43,0.34,0.40
1541908259827,33.79,33.39,0.40,0.40
1541908260014,33.73,33.41,0.32,0.40
1541908260218,33.77,33.43,0.34,0.40
1541908260421,33.79,33.43,0.36,0.40
1541908260624,33.79,33.41,0.38,0.40
1541908260827,33.83,33.39,0.44,0.40
1541908261014,33.85,33.43,0.42,0.40
1541908261218,33.79,33.43,0.36,0.39
1541908261421,33.83,33.43,0.40,0.39
1541908261624,33.87,33.39,0.48,0.39
1541908261827,33.85,33.33,0.52,0.39
1541908262015,33.85,33.33,0.52,0.40
1541908262218,33.85,33.41,0.44,0.40
1541908262421,33.83,33.35,0.48,0.40
1541908262624,33.79,33.41,0.38,0.40
1541908262811,33.85,33.39,0.46,0.40
1541908263015,33.85,33.33,0.52,0.40
1541908263218,33.79,33.39,0.40,0.40
1541908263421,33.79,33.33,0.46,0.40
1541908263624,33.77,33.39,0.38,0.40
1541908263812,33.83,33.35,0.48,0.40
1541908264015,33.87,33.29,0.58,0.40
1541908264218,33.85,33.35,0.50,0.40
1541908264421,33.87,33.39,0.48,0.41
1541908264624,33.91,33.39,0.52,0.41
1541908264812,33.95,33.35,0.60,0.41
1541908265015,33.87,33.35,0.52,0.41
1541908265218,33.85,33.39,0.46,0.42
1541908265421,33.73,33.33,0.40,0.42
1541908265624,33.73,33.39,0.34,0.42
1541908265812,33.71,33.35,0.36,0.42
1541908266015,33.77,33.41,0.36,0.42
1541908266218,33.77,33.29,0.48,0.42
1541908266421,33.73,33.39,0.34,0.43
1541908266609,33.83,33.35,0.48,0.43
1541908266812,33.85,33.29,0.56,0.43
1541908267015,33.91,33.29,0.62,0.43
1541908267218,33.83,33.35,0.48,0.43
1541908267421,33.87,33.33,0.54,0.43
1541908267609,33.85,33.33,0.52,0.43
1541908267812,33.83,33.29,0.54,0.44
1541908268015,33.85,33.33,0.52,0.44
1541908268218,33.77,33.29,0.48,0.44
1541908268421,33.85,33.33,0.52,0.44
1541908268609,33.87,33.35,0.52,0.45
1541908268812,33.99,33.33,0.66,0.45
1541908269015,33.85,33.27,0.58,0.45
1541908269218,33.87,33.33,0.54,0.45
1541908269421,33.83,33.35,0.48,0.46
1541908269609,33.83,33.33,0.50,0.46
1541908269812,33.77,33.29,0.48,0.46
1541908270015,33.77,33.27,0.50,0.47
1541908270218,33.69,33.29,0.40,0.47
1541908270406,33.65,33.35,0.30,0.47
1541908270609,33.69,33.29,0.40,0.47
1541908270812,33.71,33.29,0.42,0.47
1541908271015,33.65,33.29,0.36,0.47
1541908271219,33.73,33.35,0.38,0.47
1541908271422,33.77,33.33,0.44,0.47
1541908271609,33.77,33.33,0.44,0.47
1541908271812,33.73,33.33,0.40,0.47
1541908272015,33.77,33.35,0.42,0.47
1541908272219,33.79,33.39,0.40,0.47
1541908272406,33.77,33.29,0.48,0.46
1541908272609,33.83,33.29,0.54,0.46
1541908272812,33.79,33.33,0.46,0.46
1541908273015,33.79,33.27,0.52,0.46
1541908273203,33.79,33.27,0.52,0.46
1541908273406,33.73,33.27,0.46,0.46
1541908273609,33.71,33.25,0.46,0.46
1541908273812,33.71,33.25,0.46,0.46
1541908274015,33.65,33.21,0.44,0.46
1541908274203,33.69,33.25,0.44,0.46
1541908274406,33.71,33.25,0.46,0.46
1541908274609,33.73,33.29,0.44,0.46
1541908274812,33.73,33.25,0.48,0.46
1541908275016,33.79,33.33,0.46,0.46
1541908275203,33.73,33.33,0.40,0.46
1541908275406,33.73,33.27,0.46,0.46
