1541905594196,33,-0.46,-0.47
1541905594211,33.51,33.93,-0.42,-0.47
1541905594243,33.55,33.87,-0.32,-0.47
1541905594359,33.57,33.83,-0.26,-0.47
1541905594359,33.55,33.79,-0.24,-0.47
1541905594359,7
1541905594359,33.55,34.01,-0.46,-0.47
1541905594375,33.51,33.93,-0.42,-0.47
1541905594375,33.55,33.87,-0.32,-0.47
1541905594375,33.57,33.83,-0.26,-0.47
1541905594375,33.55,33.79,-0.24,-0.47
1541905594562,33.63,33.77,-0.14,-0.47
1541905594562,33.65,33.83,-0.18,-0.47
1541905594562,33.69,33.77,-0.08,-0.46
1541905594750,33.69,33.93,-0.24,-0.46
1541905594953,33.65,33.93,-0.28,-0.45
1541905595156,33.71,33.95,-0.24,-0.45
1541905595359,33.79,33.91,-0.12,-0.44
1541905595563,33.79,33.85,-0.06,-0.44
1541905595750,33.73,33.85,-0.12,-0.43
1541905595953,33.71,33.93,-0.22,-0.42
1541905596156,33.65,33.99,-0.34,-0.41
1541905596359,33.73,33.99,-0.26,-0.41
1541905596547,33.69,34.03,-0.34,-0.40
1541905596750,33.65,34.09,-0.44,-0.39
1541905596953,33.57,34.13,-0.56,-0.39
1541905597156,33.61,34.09,-0.48,-0.38
1541905597353,33.57,34.07,-0.50,-0.38
1541905597556,33.63,34.03,-0.40,-0.38
1541905597743,33.63,34.03,-0.40,-0.38
1541905597962,33.51,33.99,-0.48,-0.37
1541905598150,33.57,33.99,-0.42,-0.37
1541905598353,33.57,33.91,-0.34,-0.37
1541905598556,33.51,33.87,-0.36,-0.37
1541905598744,33.49,33.95,-0.46,-0.37
1541905598962,33.49,33.93,-0.44,-0.37
1541905599150,33.49,33.99,-0.50,-0.37
1541905599353,33.49,34.01,-0.52,-0.37
1541905599556,33.51,33.93,-0.42,-0.37
1541905599759,33.57,33.99,-0.42,-0.37
1541905599947,33.61,33.87,-0.26,-0.37
1541905600150,33.57,33.87,-0.30,-0.37
1541905600353,33.65,33.85,-0.20,-0.37
1541905600541,33.57,33.87,-0.30,-0.37
1541905600635,0,0,0,0
1541905600760,33.55,33.85,-0.30,-0.37
1541905600947,33.57,33.83,-0.26,-0.37
1541905601150,33.57,33.91,-0.34,-0.37
1541905601353,33.61,33.91,-0.30,-0.37
1541905601541,33.57,33.93,-0.36,-0.37
1541905601760,33.65,33.93,-0.28,-0.37
1541905601947,33.55,33.91,-0.36,-0.36
1541905602150,33.49,33.95,-0.46,-0.36
1541905602354,33.57,34.01,-0.44,-0.36
1541905602541,33.63,33.93,-0.30,-0.36
1541905602744,33.55,33.87,-0.32,-0.36
1541905602956,33.55,33.99,-0.44,-0.36
1541905603143,33.63,33.99,-0.36,-0.36
1541905603346,33.61,33.99,-0.38,-0.36
1541905603549,33.55,33.95,-0.40,-0.36
1541905603752,33.51,33.99,-0.48,-0.36
1541905603955,33.57,33.93,-0.36,-0.36
1541905604143,33.49,33.99,-0.50,-0.36
1541905604346,33.49,34.03,-0.54,-0.36
1541905604549,33.51,33.99,-0.48,-0.36
1541905604753,33.55,33.95,-0.40,-0.37
1541905604940,33.57,33.99,-0.42,-0.37
1541905605143,33.55,33.91,-0.36,-0.37
1541905605346,33.61,33.99,-0.38,-0.37
1541905605550,33.61,33.93,-0.32,-0.37
1541905605753,33.51,33.95,-0.44,-0.37
1541905605940,33.57,33.95,-0.38,-0.37
1541905606143,33.57,33.91,-0.34,-0.37
1541905606346,33.55,33.99,-0.44,-0.37
1541905606550,33.63,33.91,-0.28,-0.37
1541905606753,33.63,33.93,-0.30,-0.38
1541905606940,33.61,33.91,-0.30,-0.38
1541905607143,33.51,33.85,-0.34,-0.38
1541905607347,33.55,33.91,-0.36,-0.38
1541905607550,33.61,33.87,-0.26,-0.37
1541905607753,33.61,33.93,-0.32,-0.37
1541905607940,33.51,33.93,-0.42,-0.37
1541905608143,33.49,33.93,-0.44,-0.37
1541905608347,33.51,33.95,-0.44,-0.37
1541905608550,33.49,33.91,-0.42,-0.37
1541905608753,33.49,33.95,-0.46,-0.37
1541905608941,33.49,33.95,-0.46,-0.37
1541905609144,33.57,33.87,-0.30,-0.37
1541905609347,33.65,33.95,-0.30,-0.37
1541905609550,33.63,33.95,-0.32,-0.37
1541905609738,33.63,33.93,-0.30,-0.37
1541905609941,33.63,33.95,-0.32,-0.37
1541905610159,33.63,33.95,-0.32,-0.37
1541905610347,33.61,33.99,-0.38,-0.37
1541905610550,33.63,33.91,-0.28,-0.37
1541905610738,33.57,33.93,-0.36,-0.37
1541905610941,33.55,33.95,-0.40,-0.37
1541905611144,33.55,33.93,-0.38,-0.37
1541905611347,33.57,33.91,-0.34,-0.37
