1541906319460,33..73,-0.26,-0.08
1541906319538,33.47,33.85,-0.38,-0.08
1541906319538,33.49,33.79,-0.30,-0.09
1541906319538,7
1541906319538,33.47,33.83,-0.36,-0.07
1541906319632,33.43,33.79,-0.36,-0.07
1541906319632,33.47,33.73,-0.26,-0.08
1541906319632,33.47,33.85,-0.38,-0.08
1541906319632,33.49,33.79,-0.30,-0.09
1541906319648,33.57,33.77,-0.20,-0.09
1541906319648,33.57,33.83,-0.26,-0.10
1541906319819,33.57,33.83,-0.26,-0.10
1541906320022,33.63,33.79,-0.16,-0.11
1541906320226,33.57,33.77,-0.20,-0.11
1541906320429,33.61,33.73,-0.12,-0.12
1541906320632,33.61,33.69,-0.08,-0.12
1541906320819,33.49,33.77,-0.28,-0.12
1541906321023,33.55,33.77,-0.22,-0.13
1541906321226,33.61,33.77,-0.16,-0.13
1541906321429,33.63,33.79,-0.16,-0.13
1541906321632,33.69,33.85,-0.16,-0.14
1541906321819,33.69,33.79,-0.10,-0.14
1541906322023,33.71,33.77,-0.06,-0.14
1541906322226,33.63,33.83,-0.20,-0.14
1541906322430,33.57,33.77,-0.20,-0.14
1541906322618,33.55,33.73,-0.18,-0.15
1541906322821,33.51,33.71,-0.20,-0.15
1541906323024,33.47,33.69,-0.22,-0.15
1541906323227,33.43,33.63,-0.20,-0.15
1541906323430,33.47,33.65,-0.18,-0.15
1541906323617,33.43,33.69,-0.26,-0.15
1541906323820,33.43,33.71,-0.28,-0.16
1541906324024,33.43,33.69,-0.26,-0.16
1541906324227,33.49,33.71,-0.22,-0.16
1541906324430,33.51,33.77,-0.26,-0.16
1541906324617,33.55,33.71,-0.16,-0.17
1541906324820,33.63,33.71,-0.08,-0.17
1541906325025,33.55,33.71,-0.16,-0.17
1541906325228,33.61,33.77,-0.16,-0.17
1541906325415,33.55,33.83,-0.28,-0.17
1541906325618,33.55,33.77,-0.22,-0.17
1541906325821,33.61,33.79,-0.18,-0.18
1541906326025,33.63,33.77,-0.14,-0.18
1541906326228,33.63,33.73,-0.10,-0.18
1541906326415,33.65,33.77,-0.12,-0.18
1541906326634,33.69,33.79,-0.10,-0.18
1541906326821,33.63,33.71,-0.08,-0.18
1541906327025,33.77,33.85,-0.08,-0.18
1541906327228,33.73,33.79,-0.06,-0.18
1541906327431,33.63,33.79,-0.16,-0.18
1541906327619,33.65,33.77,-0.12,-0.17
1541906327822,33.57,33.79,-0.22,-0.17
1541906328025,33.61,33.79,-0.18,-0.17
1541906328228,33.55,33.83,-0.28,-0.17
1541906328431,33.57,33.79,-0.22,-0.17
1541906328619,33.61,33.83,-0.22,-0.17
1541906328822,33.63,33.79,-0.16,-0.17
1541906329025,33.61,33.91,-0.30,-0.17
1541906329228,33.61,33.83,-0.22,-0.17
1541906329416,33.65,33.85,-0.20,-0.17
1541906329619,33.61,33.79,-0.18,-0.17
1541906329822,33.63,33.87,-0.24,-0.17
1541906330026,33.71,33.91,-0.20,-0.17
1541906330229,33.65,33.85,-0.20,-0.17
1541906330416,33.73,33.83,-0.10,-0.17
1541906330619,33.65,33.87,-0.22,-0.17
1541906330822,33.73,33.85,-0.12,-0.17
1541906331026,33.71,33.79,-0.08,-0.17
1541906331213,33.63,33.79,-0.16,-0.17
1541906331416,33.55,33.83,-0.28,-0.17
1541906331619,33.47,33.83,-0.36,-0.17
1541906331822,33.47,33.83,-0.36,-0.17
1541906332026,33.49,33.83,-0.34,-0.17
1541906332229,33.55,33.87,-0.32,-0.17
1541906332416,33.51,33.83,-0.32,-0.18
1541906332619,33.43,33.85,-0.42,-0.18
1541906332822,33.49,33.85,-0.36,-0.18
1541906333010,33.49,33.85,-0.36,-0.18
1541906333213,33.49,33.83,-0.34,-0.19
1541906333416,33.49,33.87,-0.38,-0.19
1541906333619,33.49,33.77,-0.28,-0.19
1541906333822,33.49,33.79,-0.30,-0.20
1541906334026,33.49,33.83,-0.34,-0.20
1541906334213,33.55,33.77,-0.22,-0.20
1541906334416,33.51,33.79,-0.28,-0.21
1541906334619,33.49,33.85,-0.36,-0.21
1541906334823,33.49,33.85,-0.36,-0.21
1541906335026,33.55,33.79,-0.24,-0.22
1541906335214,33.57,33.79,-0.22,-0.22
1541906335417,33.57,33.83,-0.26,-0.22
1541906335620,33.55,33.83,-0.28,-0.23
1541906335823,33.63,33.87,-0.24,-0.23
1541906336011,33.55,33.79,-0.24,-0.23
1541906336229,33.65,33.83,-0.18,-0.23
1541906336417,33.65,33.83,-0.18,-0.24
1541906336620,33.65,33.77,-0.12,-0.24
1541906336823,33.63,33.83,-0.20,-0.24
1541906337026,33.63,33.87,-0.24,-0.24
1541906337213,33.65,33.83,-0.18,-0.24
1541906337417,33.69,33.79,-0.10,-0.24
1541906337620,33.63,33.79,-0.16,-0.24
1541906337823,33.55,33.85,-0.30,-0.24
1541906338026,33.49,33.83,-0.34,-0.24
1541906338214,33.51,33.79,-0.28,-0.23
1541906338417,33.43,33.73,-0.30,-0.23
1541906338620,33.47,33.85,-0.38,-0.24
1541906338823,33.43,33.85,-0.42,-0.24
1541906339011,33.47,33.85,-0.38,-0.24
1541906339214,33.47,33.83,-0.36,-0.24
1541906339417,33.47,33.85,-0.38,-0.24
1541906339620,33.55,33.83,-0.28,-0.24
1541906339823,33.51,33.83,-0.32,-0.25
1541906340011,33.51,33.79,-0.28,-0.25
1541906340214,33.51,33.87,-0.36,-0.25
1541906340417,33.55,33.85,-0.30,-0.25
1541906340620,33.57,33.87,-0.30,-0.25
1541906340808,33.55,33.87,-0.32,-0.26
1541906341027,33.57,33.87,-0.30,-0.26
1541906341214,33.57,33.85,-0.28,-0.26
1541906341417,33.61,33.91,-0.30,-0.26
1541906341620,33.69,33.91,-0.22,-0.26
1541906341808,33.63,33.83,-0.20,-0.26
1541906342011,33.71,33.87,-0.16,-0.26
1541906342214,33.61,33.85,-0.24,-0.27
1541906342417,33.63,33.95,-0.32,-0.27
1541906342620,33.55,33.87,-0.32,-0.27
1541906342823,33.49,33.85,-0.36,-0.27
1541906343011,33.43,33.91,-0.48,-0.27
1541906343214,33.49,33.87,-0.38,-0.27
1541906343417,33.49,33.83,-0.34,-0.27
1541906343620,33.51,33.85,-0.34,-0.27
1541906343824,33.49,33.85,-0.36,-0.28
1541906344011,33.47,33.91,-0.44,-0.28
1541906344214,33.49,33.91,-0.42,-0.28
1541906344417,33.51,33.91,-0.40,-0.28
1541906344621,33.47,33.95,-0.48,-0.29
1541906344823,33.47,33.87,-0.40,-0.29
1541906345011,33.43,33.87,-0.44,-0.29
1541906345214,33.41,33.87,-0.46,-0.30
1541906345418,33.43,33.87,-0.44,-0.30
1541906345621,33.43,33.87,-0.44,-0.31
1541906345808,33.33,33.93,-0.60,-0.31
1541906346011,33.47,33.85,-0.38,-0.32
1541906346214,33.39,33.87,-0.48,-0.32
1541906346418,33.41,33.85,-0.44,-0.33
1541906346621,33.41,33.95,-0.54,-0.33
1541906346808,33.43,33.93,-0.50,-0.34
1541906347011,33.49,33.93,-0.44,-0.34
1541906347215,33.51,33.91,-0.40,-0.34
1541906347418,33.55,33.91,-0.36,-0.35
1541906347621,33.61,33.91,-0.30,-0.35
1541906347808,33.57,33.85,-0.28,-0.36
1541906348011,33.61,33.87,-0.26,-0.36
1541906348215,33.63,33.91,-0.28,-0.36
1541906348417,33.61,33.93,-0.32,-0.36
1541906348621,33.57,33.87,-0.30,-0.36
1541906348808,33.61,33.91,-0.30,-0.36
1541906349011,33.61,33.91,-0.30,-0.36
1541906349215,33.61,33.91,-0.30,-0.36
1541906349418,33.55,33.93,-0.38,-0.36
1541906349605,33.51,33.87,-0.36,-0.36
1541906349808,33.49,33.85,-0.36,-0.36
1541906350011,33.47,33.83,-0.36,-0.36
1541906350214,33.47,33.85,-0.38,-0.36
1541906350417,33.49,33.87,-0.38,-0.36
1541906350605,33.47,33.85,-0.38,-0.36
1541906350808,33.49,33.85,-0.36,-0.36
