1539078746297,369,2.54,2.72
1539078746298,34.17,31.69,2.48,2.72
1539078746321,7,2.70,2.74
1539078746345,34.39,31.63,2.76,2.73
1539078746349,34.33,31.67,2.66,2.73
1539078746353,34.29,31.67,2.62,2.73
1539078746357,34.23,31.69,2.54,2.72
1539078746362,34.17,31.69,2.48,2.72
1539078746365,7,2.70,2.74
1539078746545,34.39,31.63,2.76,2.73
1539078746549,34.33,31.67,2.66,2.73
1539078746553,34.29,31.67,2.62,2.73
1539078746557,34.23,31.69,2.54,2.72
1539078746561,34.17,31.69,2.48,2.72
1539078746565,34.23,31.81,2.42,2.72
1539078746746,34.33,31.81,2.52,2.72
1539078746750,34.47,31.75,2.72,2.71
1539078746754,34.45,31.77,2.68,2.71
1539078746942,34.43,31.75,2.68,2.70
1539078747147,34.47,31.67,2.80,2.70
1539078747344,34.43,31.67,2.76,2.70
1539078747544,34.43,31.67,2.76,2.70
1539078747741,34.37,31.69,2.68,2.70
1539078747945,34.37,31.67,2.70,2.70
1539078748142,34.25,31.69,2.56,2.69
1539078748344,34.23,31.69,2.54,2.69
1539078748548,34.25,31.75,2.50,2.69
1539078748744,34.33,31.71,2.62,2.69
1539078748946,34.31,31.75,2.56,2.69
1539078749142,34.33,31.69,2.64,2.68
1539078749347,34.33,31.75,2.58,2.68
1539078749544,34.39,31.75,2.64,2.68
1539078749744,34.39,31.71,2.68,2.68
1539078749941,34.39,31.77,2.62,2.67
1539078750142,34.47,31.83,2.64,2.67
1539078750342,34.39,31.81,2.58,2.67
1539078750543,34.33,31.81,2.52,2.67
1539078750739,34.31,31.83,2.48,2.67
1539078750940,34.37,31.81,2.56,2.66
1539078751144,34.31,31.81,2.50,2.66
1539078751342,34.31,31.85,2.46,2.66
1539078751542,34.37,31.89,2.48,2.65
1539078751739,34.37,31.83,2.54,2.65
1539078751943,34.31,31.85,2.46,2.65
1539078752140,34.29,31.89,2.40,2.64
1539078752341,34.17,31.81,2.36,2.64
1539078752538,34.31,31.77,2.54,2.63
1539078752743,34.21,31.71,2.50,2.63
1539078752939,34.23,31.69,2.54,2.62
1539078753140,34.23,31.77,2.46,2.62
1539078753336,34.21,31.77,2.44,2.61
1539078753541,34.23,31.67,2.56,2.61
1539078753741,34.25,31.69,2.56,2.60
1539078753939,34.33,31.77,2.56,2.60
1539078754146,34.25,31.75,2.50,2.59
1539078754339,34.29,31.71,2.58,2.59
1539078754541,34.25,31.69,2.56,2.59
1539078754737,34.21,31.63,2.58,2.58
1539078754942,34.13,31.69,2.44,2.58
1539078755138,34.09,31.67,2.42,2.58
1539078755339,34.15,31.63,2.52,2.57
1539078755536,34.17,31.71,2.46,2.57
1539078755740,34.13,31.63,2.50,2.57
1539078755937,34.15,31.69,2.46,2.56
1539078756137,34.15,31.67,2.48,2.56
1539078756335,34.15,31.75,2.40,2.56
1539078756539,34.21,31.75,2.46,2.55
1539078756739,34.23,31.75,2.48,2.55
1539078756936,34.29,31.81,2.48,2.55
1539078757141,34.33,31.83,2.50,2.54
1539078757338,34.33,31.85,2.48,2.54
1539078757539,34.47,31.85,2.62,2.53
1539078757735,34.37,31.89,2.48,2.53
1539078757936,34.39,31.89,2.50,2.53
1539078758136,34.37,31.89,2.48,2.53
1539078758337,34.37,31.85,2.52,2.53
1539078758534,34.43,31.81,2.62,2.53
1539078758734,34.37,31.85,2.52,2.53
1539078758935,34.37,31.77,2.60,2.53
1539078759136,34.43,31.85,2.58,2.52
1539078759337,34.47,31.81,2.66,2.53
1539078759533,34.53,31.81,2.72,2.52
1539078759738,34.55,31.81,2.74,2.53
1539078759934,34.39,31.85,2.54,2.53
1539078760136,34.31,31.83,2.48,2.53
1539078760332,34.31,31.77,2.54,2.53
1539078760537,34.25,31.83,2.42,2.53
1539078760733,34.21,31.77,2.44,2.53
1539078760934,34.29,31.75,2.54,2.53
1539078761133,34.23,31.63,2.60,2.53
