1539080199709,33..26,1.43
1539080199765,5,1.28,1.46
1539080199765,34.23,32.99,1.24,1.45
1539080199871,34.17,32.99,1.18,1.45
1539080199875,34.23,33.03,1.20,1.44
1539080199879,34.33,32.99,1.34,1.43
1539080199883,34.31,33.05,1.26,1.43
1539080199887,34.29,33.11,1.18,1.42
1539080199892,34.37,33.05,1.32,1.41
1539080200072,34.37,33.13,1.24,1.41
1539080200277,34.39,33.17,1.22,1.40
1539080200474,34.33,33.07,1.26,1.40
1539080200674,34.33,33.05,1.28,1.39
1539080200871,34.37,33.07,1.30,1.39
1539080201076,34.33,32.95,1.38,1.38
1539080201272,34.37,33.03,1.34,1.38
1539080201473,34.43,33.03,1.40,1.37
1539080201674,34.33,33.11,1.22,1.37
1539080201870,34.37,33.11,1.26,1.36
1539080202076,34.39,33.11,1.28,1.36
1539080202272,34.47,33.03,1.44,1.36
1539080202473,34.47,33.07,1.40,1.35
1539080202670,34.53,32.99,1.54,1.35
1539080202874,34.51,32.91,1.60,1.35
1539080203075,34.51,32.97,1.54,1.35
1539080203272,34.53,33.05,1.48,1.35
1539080203472,34.55,33.05,1.50,1.35
1539080203668,34.59,33.07,1.52,1.35
1539080203874,34.55,32.95,1.60,1.36
1539080204074,34.47,32.97,1.50,1.36
1539080204270,34.45,32.95,1.50,1.36
1539080204471,34.45,32.97,1.48,1.36
1539080204668,34.45,32.99,1.46,1.37
1539080204873,34.39,32.99,1.40,1.37
1539080205074,34.51,32.99,1.52,1.37
1539080205270,34.51,32.95,1.56,1.38
1539080205474,34.53,32.97,1.56,1.38
1539080205672,34.45,32.95,1.50,1.38
1539080205872,34.53,32.89,1.64,1.39
1539080206069,34.53,32.85,1.68,1.39
1539080206269,34.39,32.95,1.44,1.40
1539080206474,34.29,32.95,1.34,1.40
1539080206671,34.25,32.95,1.30,1.41
1539080206872,34.25,32.97,1.28,1.41
1539080207068,34.31,33.05,1.26,1.41
1539080207269,34.33,32.95,1.38,1.41
1539080207474,34.33,32.99,1.34,1.41
1539080207670,34.43,33.05,1.38,1.42
1539080207871,34.43,33.03,1.40,1.42
1539080208068,34.39,33.05,1.34,1.42
1539080208268,34.39,32.97,1.42,1.42
1539080208473,34.33,33.03,1.30,1.42
1539080208670,34.25,33.05,1.20,1.42
1539080208870,34.21,33.03,1.18,1.42
1539080209067,34.09,32.97,1.12,1.41
1539080209272,34.17,32.95,1.22,1.41
1539080209468,34.15,32.99,1.16,1.41
1539080209669,34.17,32.97,1.20,1.40
1539080209870,34.21,32.91,1.30,1.40
1539080210067,34.23,32.91,1.32,1.40
1539080210271,34.25,32.95,1.30,1.39
1539080210468,34.21,32.89,1.32,1.39
1539080210668,34.23,32.83,1.40,1.38
1539080210865,34.25,32.81,1.44,1.38
1539080211070,34.17,32.81,1.36,1.38
1539080211270,34.29,32.81,1.48,1.38
1539080211468,34.23,32.77,1.46,1.37
1539080211667,34.21,32.71,1.50,1.37
1539080211865,34.23,32.75,1.48,1.37
1539080212069,34.31,32.61,1.70,1.37
1539080212270,34.33,32.55,1.78,1.37
1539080212466,34.23,32.59,1.64,1.38
1539080212671,34.21,32.59,1.62,1.38
1539080212867,34.25,32.71,1.54,1.38
1539080213069,34.21,32.61,1.60,1.39
1539080213265,34.13,32.61,1.52,1.39
1539080213466,34.15,32.69,1.46,1.40
1539080213671,34.15,32.71,1.44,1.40
1539080213867,34.17,32.81,1.36,1.40
1539080214068,34.15,32.83,1.32,1.41
1539080214265,34.09,32.89,1.20,1.41
1539080214465,34.23,32.81,1.42,1.41
1539080214670,34.29,32.95,1.34,1.41
1539080214867,34.23,32.89,1.34,1.41
1539080215068,34.33,32.95,1.38,1.41
1539080215264,34.29,32.95,1.34,1.41
1539080215469,34.23,32.91,1.32,1.41
1539080215669,34.23,32.85,1.38,1.41
1539080215866,34.31,32.83,1.48,1.41
1539080216067,34.29,32.71,1.58,1.41
1539080216264,34.23,32.69,1.54,1.41
1539080216468,34.17,32.63,1.54,1.41
1539080216668,34.17,32.69,1.48,1.41
1539080216866,34.17,32.71,1.46,1.42
1539080217066,34.17,32.75,1.42,1.42
1539080217263,34.23,32.85,1.38,1.42
1539080217468,34.25,32.85,1.40,1.42
1539080217668,34.21,32.89,1.32,1.42
